date,open_NO2,sate_NO2,"T T Nagar, Bhopal - MPPCB"
2021-03-06,13.610416666666666,5101070000000000.0,47.51
2021-03-07,5.00625,5203320000000000.0,33.89
2021-03-08,6.157499999999999,3933616000000000.0,21.32
2021-03-09,6.806250000000001,3154830000000000.0,27.81
2021-03-10,14.931666666666665,3931608000000000.0,31.64
2021-03-11,15.60875,4367800000000000.0,32.75
2021-03-12,5.482916666666667,4374550000000000.0,19.82
2021-03-13,8.721666666666668,4789420000000000.0,20.59
2021-03-14,19.97260869565218,4140772000000000.0,24.54
2021-03-15,12.503333333333332,4179920000000000.0,22.69
2021-03-16,21.29125,4480650000000000.0,19.54
2021-03-17,19.03041666666666,4921360000000000.0,16.64
2021-03-18,7.9675,5698430000000000.0,12.14
2021-03-19,13.618333333333338,4189352000000000.0,10.69
2021-03-20,10.262916666666667,5543610000000000.0,11.99
2021-03-21,4.574583333333334,4626240000000000.0,16.86
2021-03-22,8.886666666666668,6084830000000000.0,19.38
2021-03-23,6.24125,5479500000000000.0,25.13
2021-03-24,15.242916666666668,5659460000000000.0,35.8
2021-03-25,8.127083333333333,5110410000000000.0,26.86
2021-03-26,17.83,5192590000000000.0,23.91
2021-03-27,15.669583333333334,4220440000000000.0,72.55
2021-03-28,16.65041666666667,4912862000000000.0,46.06
2021-03-29,6.405,6277090000000000.0,45.46
2021-03-30,3.863333333333333,4115660000000000.0,37.26
2021-03-31,4.354583333333333,7113200000000000.0,28.18
2021-04-01,17.75708333333333,4676220000000000.0,30.29
2021-04-02,20.418750000000003,4158250000000000.0,30.52
2021-04-03,9.212916666666668,6509420000000000.0,52.26
2021-04-04,12.168333333333331,3492668000000000.0,29.78
2021-04-05,14.261666666666663,5659150000000000.0,41.11
2021-04-06,4.592916666666666,4361464000000000.0,21.56
2021-04-07,7.476666666666666,6056290000000000.0,28.61
2021-04-08,7.615416666666666,4941300000000000.0,38.93
2021-04-09,13.02375,5779910000000000.0,30.4
2021-04-10,7.672916666666668,5811010000000000.0,23.0
2021-04-11,5.515416666666667,5457190000000000.0,18.16
2021-04-12,15.89,5962990000000000.0,34.28
2021-04-13,13.424583333333333,5093326000000000.0,28.34
2021-04-14,6.505416666666666,4957400000000000.0,16.18
2021-04-15,8.756666666666666,4230142000000000.0,16.75
2021-04-16,6.516666666666666,7401640000000000.0,15.1
2021-04-17,6.484166666666666,3513620000000000.0,16.54
2021-04-18,9.728333333333332,6228970000000000.0,20.96
2021-04-19,18.6,4820340000000000.0,25.01
2021-04-20,5.306666666666666,4271250000000000.0,15.54
2021-04-21,5.93625,5170860000000000.0,17.76
2021-04-22,26.58833333333334,4639410000000000.0,14.49
2021-04-23,5.547083333333334,5756690000000000.0,16.21
2021-04-24,4.123333333333333,4429200000000000.0,13.22
2021-04-25,6.539166666666667,4428540000000000.0,14.17
2021-04-26,14.520833333333334,4399650000000000.0,9.33
2021-04-27,22.54416666666667,5771610000000000.0,35.56
2021-04-28,8.74375,5291550000000000.0,41.31
2021-04-29,11.208750000000002,4801124000000000.0,21.05
2021-04-30,10.628333333333332,5609850000000000.0,20.5
2021-05-01,4.990833333333334,3691194000000000.0,18.8
2021-05-02,6.8762500000000015,6321430000000000.0,17.19
2021-05-03,13.26125,2733550000000000.0,19.56
2021-05-04,8.868333333333332,4509110000000000.0,18.29
2021-05-05,5.477083333333333,5470190000000000.0,14.08
2021-05-06,3.922083333333333,4351146000000000.0,16.92
2021-05-07,11.492916666666666,4971450000000000.0,17.33
2021-05-08,12.468749999999998,4218150000000000.0,16.1
2021-05-09,3.432500000000001,4692090000000000.0,16.02
2021-05-10,9.325833333333334,7515970000000000.0,16.93
2021-05-11,3.787916666666668,6229600000000000.0,15.4
2021-05-12,5.947916666666668,5451530000000000.0,16.57
2021-05-13,8.524166666666668,5925030000000000.0,16.85
2021-05-14,6.984583333333332,4137140000000000.0,15.58
2021-05-15,3.231666666666667,4487466000000000.0,15.24
2021-05-16,4.444583333333333,5029890000000000.0,14.08
2021-05-17,4.808750000000001,2839014000000000.0,15.88
2021-05-18,4.019583333333334,4525352000000000.0,14.92
2021-05-19,2.4195833333333336,4357270000000000.0,15.28
2021-05-20,10.254583333333333,6354780000000000.0,17.42
2021-05-21,12.918749999999998,5366520000000000.0,18.51
2021-05-22,5.675833333333334,3752312000000000.0,18.55
2021-05-23,7.498333333333332,3753960000000000.0,16.81
2021-05-24,6.310416666666666,4295648000000000.0,15.83
2021-05-25,4.847916666666667,5695930000000000.0,15.9
2021-05-26,5.295833333333333,4398250000000000.0,13.54
2021-05-27,3.1075,5858590000000000.0,13.56
2021-05-28,10.097916666666665,5498240000000000.0,16.2
2021-05-29,3.724166666666667,4708480000000000.0,17.21
2021-05-30,3.793750000000001,4561400000000000.0,16.15
2021-05-31,3.2691666666666666,4879900000000000.0,22.21
2021-06-01,5.930833333333335,5208530000000000.0,51.7
2021-06-02,8.453750000000001,4341606000000000.0,14.29
2021-06-03,12.813333333333333,5651410000000000.0,18.1
2021-06-04,3.832083333333333,5545190000000000.0,17.61
2021-06-05,4.502916666666667,4208926000000000.0,16.67
2021-06-06,4.101666666666667,4541600000000000.0,13.65
2021-06-07,4.0320833333333335,2784250000000000.0,14.31
2021-06-08,4.406666666666666,5964070000000000.0,11.88
2021-06-09,3.9670833333333335,4641946000000000.0,13.83
2021-06-10,5.550416666666667,4365060000000000.0,15.2
2021-06-11,11.600416666666668,5577000000000000.0,19.04
2021-06-12,3.843333333333332,5969610000000000.0,23.22
2021-06-13,7.642500000000001,6058060000000000.0,19.87
2021-06-14,5.0025,4216040000000000.0,21.85
2021-06-15,4.257500000000001,3691170000000000.0,22.78
2021-06-16,4.1570833333333335,4685968000000000.0,31.89
2021-06-17,4.042916666666667,5253090000000000.0,24.02
2021-06-18,5.523333333333334,4288258000000000.0,26.89
2021-06-19,4.670416666666667,5006260000000000.0,27.57
2021-06-20,3.467916666666667,2903360000000000.0,22.27
