date,open_NO2,sate_NO2,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
2021-08-16,16.037083333333335,5270656000000000.0,1.51
2021-08-17,13.082083333333332,5311758000000000.0,1.53
2021-08-18,8.698749999999999,4684230000000000.0,1.53
2021-08-19,10.710833333333332,4640580000000000.0,1.53
2021-08-20,10.446666666666667,3011530000000000.0,1.54
2021-08-21,9.715833333333334,5020760000000000.0,1.51
2021-08-22,16.865000000000002,2463880000000000.0,1.53
2021-08-23,14.17416666666667,5150922000000000.0,1.54
2021-08-24,12.255416666666669,4870560000000000.0,1.54
2021-08-25,11.96,5575132000000000.0,1.47
2021-08-26,10.017083333333334,6185954000000000.0,1.44
2021-08-27,16.21625,3844791200000000.0,1.5
2021-08-28,9.407916666666663,2134055200000000.0,1.53
2021-08-29,6.106666666666666,5272722000000000.0,1.5
2021-08-30,9.48625,232326000000000.0,1.46
2021-08-31,13.09875,2959590000000000.0,1.49
2021-09-01,15.865,4431884000000000.0,1.5
2021-09-02,18.628750000000004,5283780000000000.0,1.48
2021-09-03,18.7475,6660110000000000.0,1.49
2021-09-04,11.932916666666666,4781870000000000.0,1.51
2021-09-05,11.547083333333337,5357820000000000.0,1.49
2021-09-06,7.725416666666667,5867240000000000.0,1.52
2021-09-07,6.634166666666668,4859440000000000.0,1.49
2021-09-08,9.725,4644724000000000.0,1.45
2021-09-09,10.250416666666668,4338270000000000.0,1.47
2021-09-10,12.229166666666666,4781988000000000.0,1.5
2021-09-11,7.871666666666666,4306710000000000.0,1.5
2021-09-12,9.939583333333331,4411070000000000.0,1.51
2021-09-13,5.489583333333333,4707954000000000.0,1.52
2021-09-14,4.626250000000001,2624160000000000.0,1.5
2021-09-15,6.515833333333333,4428698000000000.0,1.46
2021-09-16,11.722499999999998,5232922000000000.0,1.47
2021-09-17,14.887500000000005,5013738000000000.0,1.52
2021-09-18,13.112916666666663,4384404000000000.0,1.51
2021-09-19,12.768333333333333,4568180000000000.0,1.45
2021-09-20,10.793333333333331,3108797200000000.0,1.49
2021-09-21,8.664583333333335,6909600000000000.0,1.53
2021-09-22,7.65625,5968720000000000.0,1.56
2021-09-23,8.160416666666665,4639210000000000.0,1.45
2021-09-24,11.75625,3895024000000000.0,1.54
2021-09-25,10.014583333333336,4796392000000000.0,1.51
2021-09-26,11.972499999999998,4568124000000000.0,1.49
2021-09-27,9.234583333333337,4385390000000000.0,1.53
2021-09-28,9.895833333333334,4393710000000000.0,1.49
2021-09-29,8.674583333333333,5150294000000000.0,1.51
2021-09-30,7.414583333333335,4794460000000000.0,1.56
2021-10-01,6.607916666666667,5150844000000000.0,1.5
2021-10-02,7.9925,5420654000000000.0,1.5
2021-10-03,7.922499999999999,5492266000000000.0,1.54
2021-10-04,12.482083333333334,4914580000000000.0,1.55
2021-10-05,17.175833333333333,5094678000000000.0,1.51
2021-10-06,20.21583333333333,6186030000000000.0,1.51
2021-10-07,14.699583333333338,5747730000000000.0,1.58
2021-10-08,13.1675,3995760000000000.0,1.59
2021-10-09,13.53375,5212780000000000.0,1.56
2021-10-10,20.641666666666666,5251958000000000.0,1.55
2021-10-11,28.078750000000003,5913050000000000.0,1.51
2021-10-12,18.426666666666662,4997746000000000.0,1.53
2021-10-13,17.764999999999997,4548740000000000.0,1.5
2021-10-14,18.618333333333336,4800830000000000.0,1.54
2021-10-15,24.41666666666667,4225290000000000.0,1.51
2021-10-16,8.60375,4029430000000000.0,1.56
2021-10-17,7.185416666666668,4658960000000000.0,1.56
2021-10-18,7.077499999999998,5604802000000000.0,1.54
2021-10-19,14.886250000000002,4888176000000000.0,1.55
2021-10-20,15.916666666666664,5529108000000000.0,1.56
2021-10-21,9.710416666666664,4891428000000000.0,1.56
2021-10-22,15.451666666666668,6550780000000000.0,1.49
2021-10-23,9.1225,6877780000000000.0,1.54
2021-10-24,22.28125,4707754000000000.0,1.54
2021-10-25,11.902083333333335,4202780000000000.0,1.52
2021-10-26,12.512083333333331,4712984000000000.0,1.54
2021-10-27,14.154166666666669,5264960000000000.0,1.52
2021-10-28,20.115,6310598000000000.0,1.52
2021-10-29,18.44125,5088010000000000.0,1.51
2021-10-30,10.737916666666663,4622210000000000.0,1.52
2021-10-31,20.12125,4134552000000000.0,1.53
2021-11-01,45.38041666666667,6734040000000000.0,1.55
2021-11-02,46.67625,4936428000000000.0,1.48
2021-11-03,18.375833333333336,4023700000000000.0,1.55
2021-11-04,16.92875,5063520000000000.0,1.55
2021-11-05,13.505416666666669,5579960000000000.0,1.5
2021-11-06,13.730833333333331,5952428000000000.0,1.51
2021-11-07,24.0924,4519910000000000.0,1.52
2021-11-08,39.28791666666667,6524550000000000.0,1.52
2021-11-09,45.53124999999999,4658758000000000.0,1.47
2021-11-10,34.99166666666667,6409180000000000.0,1.48
2021-11-11,25.87375,4838196000000000.0,1.44
2021-11-12,34.31166666666667,6075430000000000.0,1.41
2021-11-13,23.26708333333333,5867018000000000.0,1.44
2021-11-14,23.699583333333337,5307180000000000.0,1.49
2021-11-15,27.63208333333333,6854300000000000.0,1.51
2021-11-16,26.02124999999999,3829844000000000.0,1.47
2021-11-17,40.21,6717540000000000.0,1.44
2021-11-18,22.945000000000004,5283558000000000.0,1.49
2021-11-19,21.64208333333333,5047204000000000.0,1.51
2021-11-20,13.703333333333331,4666078000000000.0,1.49
2021-11-21,11.985833333333334,4772610000000000.0,1.51
2021-11-22,14.756666666666666,4955388000000000.0,1.53
2021-11-23,22.67708333333334,7060730000000000.0,1.5
2021-11-24,40.847916666666656,6303060000000000.0,1.47
2021-11-25,33.6425,5365770000000000.0,1.52
2021-11-26,39.230833333333344,4881590000000000.0,1.5
2021-11-27,29.402916666666663,5046500000000000.0,1.51
2021-11-28,26.170416666666668,4285630000000000.0,1.54
2021-11-29,20.422083333333337,5091654000000000.0,1.55
2021-11-30,36.550416666666656,5316500000000000.0,1.55
2021-12-01,28.2225,8415510000000000.0,1.42
2021-12-02,27.8,5376126000000000.0,1.53
2021-12-03,18.62125,6202018000000000.0,1.49
2021-12-04,17.283749999999998,5572528000000000.0,1.56
2021-12-05,17.306250000000002,5750870000000000.0,1.53
2021-12-06,16.188749999999995,7009480000000000.0,1.55
2021-12-07,14.627916666666666,4375060000000000.0,1.55
2021-12-08,32.0725,5009770000000000.0,1.54
2021-12-09,20.22958333333333,7406950000000000.0,1.53
2021-12-10,12.829166666666664,9226960000000000.0,1.48
2021-12-11,17.646666666666672,4828364000000000.0,1.5
2021-12-12,34.96458333333333,7148180000000000.0,1.46
2021-12-13,28.37833333333333,5470132000000000.0,1.49
2021-12-14,26.40375,5146460000000000.0,1.54
2021-12-15,15.253749999999998,5487616000000000.0,1.48
2021-12-16,14.04208333333333,5508300000000000.0,1.52
2021-12-17,11.8025,4319590000000000.0,1.52
2021-12-18,9.662083333333332,5488016000000000.0,1.47
2021-12-19,13.805,5754180000000000.0,1.48
2021-12-20,16.150833333333335,5782882000000000.0,1.52
2021-12-21,21.36875,5212100000000000.0,1.55
2021-12-22,26.178749999999997,5027784000000000.0,1.51
2021-12-23,32.20416666666666,4716190000000000.0,1.55
2021-12-24,29.67958333333333,5503074000000000.0,1.47
2021-12-25,17.706250000000004,7332960000000000.0,1.54
2021-12-26,20.53916666666667,5646650000000000.0,1.53
2021-12-27,31.87666666666665,5386570000000000.0,1.51
2021-12-28,10.07125,6201636000000000.0,1.49
2021-12-29,12.466666666666669,4583198000000000.0,1.54
2021-12-30,32.86541666666667,4525492000000000.0,1.55
2021-12-31,17.71541666666667,5457556000000000.0,1.47
