date,open_SO2,sate_SO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2021-03-06,18.279166666666665,0.058976062,8.09,6.45,21.804,10.95,6.72
2021-03-07,24.572083333333328,0.0480116486,8.4,5.95,23.548,10.64,6.76
2021-03-08,21.24375,0.344988555,7.36,6.06,18.622,17.54,7.95
2021-03-09,26.11125,0.0269117076,7.17,6.31,19.130000000000003,14.59,8.76
2021-03-10,27.69625,-0.038041621,7.02,6.04,21.382,11.54,10.25
2021-03-11,26.156666666666663,0.1476693392,5.62,6.05,23.488000000000003,9.52,9.79
2021-03-12,22.480416666666667,-0.0558920507999999,5.05,6.2,17.075999999999997,9.59,10.17
2021-03-13,14.339999999999998,0.1197404064,4.3,6.13,23.626,8.89,10.75
2021-03-14,13.747391304347826,0.164703429,4.04,5.76,21.43,8.9,11.31
2021-03-15,19.99333333333333,-0.067048907,5.08,5.47,21.966,10.58,13.47
2021-03-16,19.471666666666668,0.010714449,6.01,5.92,23.304,11.65,14.78
2021-03-17,20.34583333333333,0.239342362,7.77,5.86,25.916000000000004,11.81,15.73
2021-03-18,18.88041666666667,-0.0769413765999999,7.67,5.89,25.98,11.51,12.29
2021-03-19,15.872916666666669,0.0393902012,4.6,7.05,25.472,12.55,9.99
2021-03-20,11.26625,0.0079823034,4.46,5.44,24.028,12.93,15.25
2021-03-21,14.730833333333337,-0.519895911,3.91,6.1,21.852000000000004,12.0,15.87
2021-03-22,23.87708333333333,0.187105104,4.42,6.62,21.78,11.21,14.66
2021-03-23,20.043333333333333,-0.044443807,7.33,6.3,21.406,12.62,14.36
2021-03-24,17.0725,-0.121273674,7.08,7.97,24.834,11.82,14.42
2021-03-25,18.22,0.090789386,7.73,15.63,17.524,10.89,12.69
2021-03-26,17.31083333333334,-0.394672215,7.45,13.16,22.69,12.03,11.19
2021-03-27,18.74083333333333,-0.1047901882,10.39,14.91,18.34,11.27,8.81
