date,open_SO2,sate_SO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-04-01,8.707916666666668,0.074881636,8.39,3.55,0.61,9.05,5.26,6.86,7.92,6.06,5.14,3.89
2021-04-02,9.812916666666665,0.259934515,5.73,2.91,0.55,7.25,6.05,7.46,4.59,4.68,4.8,3.17
2021-04-03,8.562499999999998,-0.07,8.02,3.6,2.13,6.99,3.53,7.52,6.29,4.22,6.99,3.11
2021-04-04,11.00625,-0.0490881408,10.2,5.59,0.44,8.1,5.9,7.43,6.55,5.21,8.1,3.37
2021-04-05,10.82375,-0.1050176264,8.58,3.67,1.36,10.26,4.95,7.01,6.72,5.19,36.25,3.15
2021-04-06,9.645416666666666,-0.069005541,2.75,3.53,1.63,9.48,4.99,7.22,7.06,5.33,58.99,3.24
2021-04-07,10.905833333333332,0.055067997,9.89,3.37,2.11,10.04,5.55,7.63,6.28,6.21,13.42,3.33
2021-04-08,13.47,-0.0250226592,11.48,6.33,3.2,9.88,5.06,7.62,8.48,5.85,22.34,3.96
2021-04-09,11.282916666666669,-0.49000001,10.4,4.24,1.54,8.34,4.84,7.91,7.38,5.2,4.51,4.62
2021-04-10,11.717083333333337,0.105073035,15.87,2.3,3.83,8.3,4.68,8.55,9.01,5.47,11.84,4.58
2021-04-11,8.950000000000001,-0.1039889172,12.86,4.06,1.43,8.09,5.3,7.75,8.26,4.13,8.09,4.67
2021-04-12,13.754166666666668,0.0719224352,9.63,3.49,1.6,9.52,5.68,7.29,7.22,5.33,19.58,4.5
2021-04-13,12.909999999999998,0.0209098458,9.41,3.04,0.83,9.65,5.42,8.36,7.6,5.52,17.41,4.66
2021-04-14,16.590416666666673,-0.0470821004,9.4,3.8,0.49,9.43,6.52,7.78,5.76,6.38,9.43,4.61
2021-04-15,18.820833333333336,0.0300876379999999,5.58,4.63,1.16,9.31,6.44,6.98,5.32,5.33,4.32,4.58
2021-04-16,9.15,-0.0070136002,4.17,4.78,1.8,8.37,6.31,6.99,4.96,6.58,2.21,5.38
2021-04-17,9.509166666666664,0.0270075599999999,5.55,2.41,1.15,8.8,5.37,7.29,6.28,6.32,4.61,5.95
2021-04-18,9.19875,0.189999998,5.73,3.42,1.96,8.17,6.09,8.0,4.09,4.31,8.17,6.09
2021-04-19,7.677499999999999,0.0280050375999999,4.81,3.08,1.28,9.94,6.75,7.07,6.87,7.48,2.71,5.89
2021-04-20,12.236666666666665,0.0219939556,3.7,3.66,1.71,3.96,4.96,6.62,4.37,6.03,3.96,5.58
2021-04-21,21.077500000000004,-0.1389924422,3.71,2.49,2.32,13.08,5.02,6.98,4.6,5.6,13.08,5.81
2021-04-22,18.749166666666664,-0.0570387806,3.64,3.03,1.73,13.26,5.68,7.02,6.79,6.08,13.26,6.8
2021-04-23,12.34666666666667,0.0969984944,4.23,2.76,1.03,9.7,5.42,7.71,5.12,5.42,9.7,2.76
2021-04-24,18.55875,-0.0780453292,3.76,2.39,1.63,4.07,5.82,6.69,4.39,5.42,4.07,2.39
2021-04-25,9.525416666666668,0.0109763275999999,6.58,2.58,1.74,6.36,5.81,8.2,8.2,5.08,6.36,2.58
2021-04-26,16.22791666666667,0.059984893,6.87,1.95,2.21,4.92,5.0,8.21,9.5,6.47,4.92,1.95
2021-04-27,15.543333333333331,-0.0150266966,7.93,1.78,2.15,6.07,4.78,6.69,6.03,6.75,6.07,1.78
2021-04-28,13.468750000000002,0.200236738,10.78,3.53,3.13,4.85,4.84,8.45,4.59,6.94,4.85,3.53
2021-04-29,16.185000000000006,-0.1160564056,6.05,3.25,2.96,5.25,5.01,6.01,5.41,7.45,5.25,3.43
2021-04-30,11.41125,0.0350095736,4.05,2.21,1.91,8.59,6.26,6.42,6.04,6.76,8.59,2.97
2021-05-01,9.67875,0.090000004,12.88,2.74,2.83,14.5,5.43,5.93,7.25,4.82,5.45,3.0
2021-05-02,9.2,-0.0610579192,8.12,2.63,1.7,12.27,5.77,6.74,6.44,4.67,4.65,3.29
2021-05-03,11.981666666666667,0.0509944661999999,6.91,3.88,1.46,7.0,5.97,4.91,4.91,5.44,3.45,3.27
2021-05-04,18.512916666666666,0.0260342564,7.01,2.74,1.98,7.0,5.47,5.79,5.79,4.25,7.48,2.94
2021-05-05,17.541249999999998,0.219964743,9.08,3.45,1.51,31.61,5.59,6.23,6.23,4.72,31.61,3.3
2021-05-06,13.120833333333332,-0.0219607168,8.03,4.12,1.47,48.41,5.55,10.75,5.53,5.34,48.41,3.2
2021-05-07,14.92791666666667,0.0349984906,9.04,2.65,1.91,8.02,5.58,7.11,5.1,5.85,11.44,3.25
2021-05-08,8.237916666666669,-0.0250518754,7.52,5.01,1.51,8.22,6.18,7.57,5.56,5.01,8.22,2.92
2021-05-09,10.41375,0.0019899249999999,7.55,3.1,1.35,8.85,5.69,6.33,5.59,6.14,10.04,3.28
2021-05-10,14.087083333333332,-0.0040705122,6.66,2.6,1.39,5.72,6.01,6.76,5.22,6.42,12.96,3.19
2021-05-11,11.333333333333334,-0.409999996,5.16,3.18,1.02,4.52,4.7,6.02,5.78,4.66,4.52,3.0
2021-05-12,11.028333333333334,0.0459909348,6.37,4.12,1.3,4.53,4.78,6.83,6.65,4.97,10.35,2.99
2021-05-13,14.683333333333335,0.147007563,4.13,4.78,2.96,3.88,5.14,6.4,6.76,4.39,2.7,2.96
2021-05-14,5.758749999999999,0.0469884164,3.44,4.95,4.95,4.42,5.04,6.87,5.9,5.58,25.52,4.95
2021-05-15,4.6308333333333325,0.244996477,6.52,4.55,4.55,2.77,5.86,6.27,6.43,4.86,3.83,4.55
2021-05-16,5.86625,-0.1290005047999999,4.18,4.83,4.83,4.68,5.64,7.14,5.71,4.54,4.68,4.83
2021-05-17,7.259583333333333,0.07,1.77,6.42,6.42,4.68,6.57,7.13,6.63,3.75,8.95,6.42
2021-05-18,6.145416666666667,0.0700382764,3.77,5.52,5.52,5.73,6.1,7.4,5.05,5.17,3.21,5.52
2021-05-19,6.770833333333333,0.290020168,2.38,5.25,5.25,4.85,5.77,7.5,6.15,5.2,2.86,5.25
2021-05-20,5.829999999999999,-0.0339586981999999,6.53,4.41,2.99,4.3,6.35,8.0,8.34,4.32,4.3,2.99
2021-05-21,5.063750000000001,-0.0610004975999999,9.71,5.63,2.9,4.73,6.39,6.63,5.15,4.48,31.29,2.9
2021-05-22,4.071666666666668,-0.1520956914,14.66,4.35,2.93,4.33,5.45,7.91,6.37,4.73,4.33,2.93
2021-05-23,4.077916666666667,-0.0049894189999999,6.32,5.3,2.86,6.32,5.35,7.61,5.71,5.44,7.61,2.86
2021-05-24,4.156666666666667,0.0010236785999999,6.68,4.65,19.16,3.64,5.75,7.59,5.21,4.02,3.64,2.62
2021-05-25,4.165,-0.0039959669999999,7.99,4.03,11.42,4.23,6.76,8.33,5.4,4.63,4.23,2.96
2021-05-26,3.360416666666666,0.0860614504,11.15,3.97,0.02,2.6,6.33,8.19,6.33,4.78,4.42,3.0
2021-05-27,3.504583333333333,0.094947115,5.85,5.59,0.95,4.74,6.67,7.76,5.55,6.84,5.46,2.71
2021-05-28,3.9104166666666655,-0.019969778,6.53,5.23,1.86,5.99,6.06,6.84,5.53,5.9,9.21,2.81
2021-05-29,3.3783333333333325,0.085078065,4.53,3.72,2.22,4.45,6.55,6.77,5.77,5.8,3.61,2.79
2021-05-30,3.449583333333333,0.1180392868,3.25,5.12,2.94,3.07,6.44,3.37,7.07,5.4,3.51,2.99
2021-05-31,4.642916666666666,-0.0519677614,6.31,3.3,2.09,4.49,5.86,5.83,6.53,5.67,8.86,2.83
2021-06-01,6.7825,0.0330105821999999,5.43,4.74,2.0,3.04,6.76,6.31,6.64,5.87,20.76,2.89
2021-06-02,11.160833333333334,-0.039999999,4.13,3.32,1.37,3.3,6.58,6.36,6.47,5.97,7.37,2.7
2021-06-03,13.802916666666665,0.0050115927999999,7.69,4.18,1.71,5.66,6.29,6.75,5.52,4.77,18.21,2.84
2021-06-04,9.29625,0.0309924445999999,8.3,2.4,0.99,6.23,6.02,6.0,4.31,4.87,3.72,2.6
2021-06-05,5.733750000000001,-0.239999995,6.14,2.71,2.22,6.64,7.02,5.7,6.65,5.43,6.64,2.71
2021-06-06,4.979583333333332,-0.08398489,7.73,2.68,1.75,5.18,7.0,6.44,5.94,3.99,5.18,2.68
2021-06-07,5.268749999999999,-0.0350095704,7.03,2.63,1.66,6.02,5.93,6.1,6.27,4.96,4.66,2.63
2021-06-08,4.737916666666667,0.1189823734,6.18,7.01,2.6,5.98,6.23,5.96,6.39,4.55,5.14,2.77
2021-06-09,3.5191666666666666,-0.0939939569999999,7.05,6.98,2.63,6.0,6.59,5.42,6.42,4.72,6.38,2.64
2021-06-10,3.3683333333333345,-0.0359758166,7.98,7.02,2.53,6.01,7.07,5.58,5.52,5.23,8.96,2.79
2021-06-11,2.7329166666666667,-0.1509692788,6.61,6.98,3.0,6.0,6.66,6.18,4.68,4.95,4.38,2.81
2021-06-12,1.89625,0.1040211566,7.84,7.02,1.77,6.0,7.01,5.75,5.85,5.63,4.55,2.49
2021-06-13,2.1179166666666664,0.0620543977999999,6.41,7.04,1.59,6.01,8.49,6.51,4.73,4.21,4.53,2.79
2021-06-14,2.9062500000000004,0.1120282097999999,6.54,7.02,1.46,5.99,8.21,6.77,6.02,5.6,33.44,2.82
2021-06-15,2.822083333333333,0.0570146082,10.21,6.99,0.96,6.0,7.88,6.11,6.24,5.1,22.43,2.87
2021-06-16,2.7204166666666665,-0.0870760429999999,11.24,6.99,2.15,6.03,7.12,5.93,7.09,4.69,2.96,2.59
2021-06-17,2.5266666666666664,0.1539919454,5.62,7.0,2.28,6.0,7.63,6.45,9.24,4.82,11.81,2.85
2021-06-18,2.555,0.0299889195999999,6.86,7.92,2.03,6.0,6.73,5.99,7.3,6.03,5.71,2.82
2021-06-19,2.3545833333333333,0.1219979874,9.54,8.51,2.53,5.99,6.71,6.26,5.26,4.91,6.23,3.02
2021-06-20,2.9658333333333338,-0.0580120864,8.16,8.5,1.8,5.99,6.82,6.62,5.53,4.68,3.56,2.76
2021-06-21,4.255416666666667,-0.050000001,8.58,8.5,1.92,5.99,6.74,5.7,7.08,5.15,14.83,2.85
