date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2021-01-24,10.30625,-0.219999999,9.124444444444444,12.3,15.943333333333332
2021-01-25,15.102083333333338,0.0741722025999999,12.076000000000002,13.28,16.87333333333333
2021-01-26,14.9245,-0.0860034916,9.004000000000001,14.4,15.909999999999998
2021-01-27,13.4125,-0.1491096938,10.017,23.32,15.753333333333336
2021-01-28,22.767083333333336,-0.163317557,8.665000000000001,13.21,15.116666666666667
2021-01-29,14.349583333333335,-0.08176636,9.75,18.47,15.468333333333332
2021-01-30,12.897083333333333,-0.1220279263999999,10.118,31.98,14.839999999999998
2021-01-31,17.16166666666667,0.102840841,10.285,39.6,15.360000000000005
2021-02-01,27.880416666666672,-0.0404170441999999,9.595000000000002,26.7,15.583333333333334
2021-02-02,29.167083333333338,-0.120742679,9.81,32.31,19.45
2021-02-03,14.879583333333334,-0.0183857467999999,14.320999999999998,19.74,20.611666666666668
2021-02-04,15.50208333333333,0.0447356302,12.171,22.36,18.33833333333333
2021-02-05,12.065,-0.075908916,10.988000000000005,17.27,17.641428571428573
2021-02-06,13.468333333333328,0.133776993,13.063,14.62,17.10142857142857
2021-02-07,15.825416666666662,-0.053041887,7.900000000000001,24.35,15.96
2021-02-08,19.859166666666667,0.102013359,9.143,42.15,14.866666666666667
2021-02-09,27.905,-0.142139882,10.245,31.79,20.72428571428572
2021-02-10,32.68833333333334,0.0576428961999999,10.497,29.77,20.97571428571429
2021-02-11,22.504999999999992,0.074795343,11.110000000000005,17.68,19.764285714285712
2021-02-12,18.89625000000001,0.0951128104,10.388,18.53,20.515714285714285
2021-02-13,15.390416666666669,0.368887007,10.873,32.27,17.391428571428573
2021-02-14,16.776666666666664,-0.082966901,8.427,22.45,16.701428571428572
2021-02-15,23.442083333333333,0.0569127833999999,8.036,21.82,16.68285714285714
2021-02-16,18.457083333333333,0.340000004,9.139,18.58,16.035714285714285
2021-02-17,14.581666666666663,-0.1066872398,9.447,22.59,17.295714285714286
2021-02-18,17.06666666666667,0.236631647,9.333,17.84,25.82714285714286
2021-02-19,23.53958333333333,0.0513584977999999,9.068,14.81,20.39333333333333
2021-02-20,14.697916666666671,-0.25,10.041999999999998,16.03,18.58333333333333
2021-02-21,19.187916666666663,-0.200000003,11.239,19.96,27.13833333333333
2021-02-22,18.34625,0.076908,11.521,37.95,21.691666666666663
2021-02-23,23.15375,0.014012669,11.996,47.61,25.826666666666668
2021-02-24,17.32708333333333,0.1421283268,11.501,49.45,26.98833333333333
2021-02-25,15.935416666666669,0.192152187,12.734,32.05,23.695
2021-02-26,14.4425,-0.0521455263999999,10.202,30.07,18.343333333333334
2021-02-27,13.576250000000002,0.150455311,9.361999999999998,22.63,15.937142857142858
2021-02-28,19.764166666666664,-0.0098570413999999,9.754444444444443,19.11,17.815
2021-03-01,21.765416666666667,0.091680393,8.318999999999999,22.91,15.537142857142856
2021-03-02,17.266250000000003,-0.079224438,8.358,19.0,16.3
2021-03-03,24.512083333333337,0.3150303038,11.406,28.8,21.953333333333333
2021-03-04,27.31833333333333,-0.144356713,13.727777777777778,28.22,19.42285714285714
2021-03-05,19.20833333333333,0.1501598196,8.33111111111111,36.31,18.59857142857143
2021-03-06,15.960416666666667,0.393249929,7.522,25.95,17.39833333333333
2021-03-07,18.637916666666666,0.6111207744,6.867,25.14,19.666
2021-03-08,16.877083333333335,0.310000002,8.433,24.61,19.2
2021-03-09,17.094583333333333,0.039999999,7.946000000000001,23.46,19.43857142857143
2021-03-10,18.995,0.018429166,6.314,32.93,17.445714285714285
