date,open_NO2,sate_NO2,"Shrinath Puram, Kota - RSPCB"
2021-07-05,4.276666666666667,3928270000000000.0,23.28
2021-07-06,4.290416666666666,5095880000000000.0,21.74
2021-07-07,4.162916666666668,5940320000000000.0,16.15
2021-07-08,4.212916666666668,3911520000000000.0,15.05
2021-07-09,5.730416666666666,5197772000000000.0,32.73
2021-07-10,10.26375,4992310000000000.0,28.82
2021-07-11,26.015416666666663,3764416600000000.0,24.19
2021-07-12,10.831666666666663,4397920000000000.0,24.35
2021-07-13,10.075416666666667,6435530000000000.0,19.2
2021-07-14,19.38,5460012000000000.0,16.03
2021-07-15,9.519166666666663,3509170000000000.0,7.89
2021-07-16,4.741666666666666,-95933000000000.0,6.38
2021-07-17,5.366666666666667,3734350000000000.0,4.87
2021-07-18,5.588333333333335,4419554000000000.0,4.59
2021-07-19,7.883333333333333,5487964000000000.0,4.75
2021-07-20,5.213749999999998,4750058000000000.0,3.98
2021-07-21,4.452500000000001,3779360000000000.0,4.21
2021-07-22,6.402083333333335,4739760000000000.0,4.34
2021-07-23,5.726666666666667,5767380000000000.0,6.08
2021-07-24,8.888749999999998,4506068000000000.0,7.9
2021-07-25,5.284166666666668,5039464000000000.0,7.5
2021-07-26,5.329166666666667,4624920000000000.0,16.44
2021-07-27,6.586666666666666,4075498600000000.0,18.73
2021-07-28,5.502083333333332,4645254000000000.0,14.99
2021-07-29,4.716666666666666,5001284000000000.0,13.44
2021-07-30,3.968750000000001,3946352000000000.0,15.13
2021-07-31,2.6695833333333336,4430700000000000.0,14.93
2021-08-01,3.28125,5584452000000000.0,25.45
2021-08-02,3.044583333333333,4257238000000000.0,18.09
2021-08-03,3.3383333333333343,4960484000000000.0,19.55
2021-08-04,3.7116666666666673,4264576000000000.0,17.09
2021-08-05,5.958333333333335,4860032000000000.0,16.14
2021-08-06,5.5633333333333335,4376340000000000.0,15.83
2021-08-07,4.496666666666666,4256364000000000.0,15.44
2021-08-08,4.648333333333333,5355064000000000.0,14.53
2021-08-09,5.056250000000001,5672580000000000.0,14.65
2021-08-10,4.711250000000001,5398306000000000.0,13.94
2021-08-11,4.902499999999999,3894812000000000.0,13.28
2021-08-12,4.829583333333334,4226416000000000.0,13.15
2021-08-13,4.584166666666666,4695440000000000.0,12.97
2021-08-14,3.588750000000001,4674910000000000.0,12.91
2021-08-15,4.067916666666667,5049754000000000.0,13.23
2021-08-16,8.224166666666664,5619760000000000.0,13.75
2021-08-17,7.554166666666666,5527470000000000.0,13.96
2021-08-18,10.329999999999998,3422100000000000.0,13.96
2021-08-19,5.021250000000001,5183886000000000.0,13.79
2021-08-20,5.335000000000001,4372362000000000.0,14.59
2021-08-21,5.354166666666668,5588708000000000.0,14.55
2021-08-22,4.70625,5137190000000000.0,15.12
2021-08-23,4.7,4147690000000000.0,15.95
2021-08-24,5.015833333333334,4487814000000000.0,16.53
2021-08-25,4.759583333333334,3492740000000000.0,17.59
2021-08-26,5.0945833333333335,4579296000000000.0,18.41
2021-08-27,6.167916666666669,4935570000000000.0,20.08
