date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-02-25,83.44666666666667,-0.0579999992,9.06,5.44,9.06,9.36,3.13,3.13
2021-02-26,26.80250000000001,-0.1319999942,16.07,5.67,16.07,14.05,5.02,5.02
2021-02-27,27.339583333333334,0.689999998,34.14,13.25,34.14,18.64,6.24,6.24
2021-02-28,42.53333333333333,-0.540000021,20.09,6.5,20.09,9.31,4.46,4.46
2021-03-01,32.017916666666665,0.161999999,15.13,3.9,15.13,7.07,3.83,3.83
2021-03-02,43.81375,0.25999999,7.98,3.37,7.98,6.5,2.84,2.84
2021-03-03,46.71166666666667,0.0360000002,10.26,7.31,10.26,8.14,2.36,2.36
2021-03-04,32.79208333333334,-0.670000017,10.47,6.16,10.47,7.76,1.92,1.92
2021-03-05,42.60208333333334,-0.1020000014,9.74,3.97,9.74,5.78,2.32,2.32
2021-03-06,34.267916666666665,-0.0479999998,14.12,3.31,14.12,8.95,3.63,3.63
2021-03-07,25.937916666666663,0.109999999,6.37,1.98,6.37,8.32,1.24,1.24
2021-03-08,23.419583333333332,-0.039999999,6.24,2.13,6.24,8.05,2.28,2.28
2021-03-09,21.736666666666665,0.07,4.63,3.08,4.63,8.08,2.37,2.37
2021-03-10,20.597916666666663,-0.0399999998,4.32,1.75,4.32,8.76,3.0,3.0
2021-03-11,21.291666666666668,0.109999999,6.32,1.26,6.32,6.31,1.97,1.97
2021-03-12,23.72791666666667,0.248000007,3.28,1.56,3.28,6.75,1.2,1.2
2021-03-13,25.21333333333333,0.1080000012,5.07,2.31,5.07,8.36,4.17,4.17
2021-03-14,22.30782608695652,-1.999999996171731e-09,5.51,2.31,5.51,7.46,1.4,1.4
2021-03-15,28.709166666666665,-0.310000002,7.02,2.38,7.02,8.2,1.73,1.73
2021-03-16,25.795,-0.289999992,4.91,1.39,4.91,7.43,2.45,2.45
2021-03-17,25.814166666666665,0.1299999988,6.2,1.42,6.2,7.64,0.76,0.76
2021-03-18,25.84333333333333,-0.003999999,4.58,1.33,4.58,8.25,1.51,1.51
2021-03-19,23.996249999999996,0.1899999983999999,6.46,2.08,6.46,7.61,1.94,1.94
2021-03-20,22.60958333333333,-0.289999992,5.73,1.89,5.73,11.57,1.31,1.31
2021-03-21,31.53625000000001,0.0360000002,7.42,2.75,7.42,11.7,3.32,3.32
2021-03-22,32.35125,0.1859999953999999,15.18,4.34,15.18,10.13,2.54,2.54
2021-03-23,29.375,-0.170000002,13.68,2.87,13.68,21.06,3.99,3.99
2021-03-24,28.819583333333338,0.01,12.94,5.33,12.94,19.06,3.55,3.55
2021-03-25,44.27583333333334,0.07,15.99,5.52,15.99,15.72,5.01,5.01
2021-03-26,38.38625,0.330000013,12.99,2.19,12.99,10.55,2.51,2.51
2021-03-27,28.883333333333336,0.289999992,15.82,7.51,15.82,12.48,4.88,4.88
2021-03-28,32.47458333333333,0.5139999803999998,13.89,2.39,13.89,10.88,4.72,4.72
2021-03-29,39.0125,0.094000002,9.4,2.19,9.4,9.26,2.77,2.77
2021-03-30,22.78166666666667,0.0800847872743142,22.06,6.21,22.06,8.08,3.97,3.97
2021-03-31,25.31125,0.02,42.12,9.42,42.12,10.03,5.18,5.18
2021-04-01,52.022083333333335,-0.119999997,36.32,3.18,36.32,9.79,3.81,3.81
