date,open_NO2,sate_NO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2021-04-29,9.523333333333332,6400400000000000.0,31.36,27.03,61.97,17.07,31.36
2021-04-30,14.892500000000004,7497890000000000.0,32.32,28.88,58.9,21.17,32.32
2021-05-01,8.07375,6769790000000000.0,35.36,29.01,57.33,21.5,35.36
2021-05-02,16.366249999999997,6968100000000000.0,32.59,25.35,61.0,18.34,32.59
2021-05-03,17.850833333333334,4084430000000000.0,35.18,29.5,58.1,24.51,35.18
2021-05-04,11.22958333333333,7120590000000000.0,33.67,28.85,56.44,19.83,33.67
2021-05-05,9.519166666666663,5057208000000000.0,18.98,24.91,54.45,18.84,30.82
2021-05-06,9.754583333333333,8730850000000000.0,18.93,24.18,57.9,18.28,29.23
2021-05-07,11.030416666666666,5666450000000000.0,26.98,22.57,56.33,17.59,26.98
2021-05-08,8.331666666666667,6294360000000000.0,19.05,22.71,56.32,16.68,25.86
2021-05-09,10.094166666666666,6420480000000000.0,18.85,23.41,56.59,17.01,25.54
2021-05-10,20.68833333333333,7188710000000000.0,18.19,24.71,60.92,19.63,27.32
2021-05-11,11.592916666666666,7138140000000000.0,17.23,26.35,58.21,18.21,25.74
2021-05-12,12.562083333333334,5743790000000000.0,17.23,23.6,41.15,19.08,18.86
2021-05-13,18.07791666666667,5900120000000000.0,16.88,26.56,37.17,19.96,27.53
2021-05-14,26.110833333333336,5735744000000000.0,18.19,31.85,42.81,21.65,25.47
2021-05-15,19.018749999999997,7597230000000000.0,23.97,34.58,48.96,22.68,23.97
2021-05-16,22.05666666666667,6705260000000000.0,23.37,31.03,49.97,19.71,23.37
2021-05-17,20.707083333333333,7434600000000000.0,20.35,29.3,50.28,19.34,20.35
2021-05-18,13.001666666666663,6088680000000000.0,21.63,25.36,44.96,20.0,21.63
2021-05-19,21.31916666666667,-4931030000000000.0,21.84,24.37,41.85,19.85,21.84
2021-05-20,18.321666666666665,6863144000000000.0,19.73,21.33,26.51,15.31,19.73
2021-05-21,37.46124999999999,4842878000000000.0,21.93,21.28,20.44,18.66,21.93
2021-05-22,15.04916666666667,5989950000000000.0,20.61,24.02,50.87,19.76,20.61
2021-05-23,18.889166666666664,5003710000000000.0,23.14,30.83,27.48,21.31,23.14
2021-05-24,16.982083333333335,6351620000000000.0,21.8,27.99,42.12,25.44,21.8
2021-05-25,14.93458333333333,5153418000000000.0,21.29,23.43,43.84,17.46,21.29
2021-05-26,8.460416666666667,4325050000000000.0,17.66,17.94,37.21,14.91,17.66
2021-05-27,8.245416666666666,4979660000000000.0,2.69,15.07,60.69200000000001,12.12,2.69
2021-05-28,15.940416666666666,5497836000000000.0,2.7,18.08,40.768,12.13,2.7
2021-05-29,11.681666666666665,5834134000000000.0,2.69,20.86,38.564,14.85,2.69
2021-05-30,19.660833333333333,5147500000000000.0,2.69,25.32,42.662,18.67,2.69
2021-05-31,18.101666666666667,5128330000000000.0,2.69,23.36,60.74,20.7,2.69
2021-06-01,21.074583333333337,5364490000000000.0,2.67,20.92,46.41,15.61,2.67
2021-06-02,29.02500000000001,5089660000000000.0,10.64,33.25,57.428,22.63,10.64
2021-06-03,33.78625,4691680000000000.0,17.65,29.47,56.016,27.69,17.65
2021-06-04,21.57208333333333,4238800000000000.0,19.01,25.94,51.008,24.63,19.01
2021-06-05,9.61875,6384000000000000.0,18.53,25.33,52.914,27.76,18.53
2021-06-06,9.75125,4689068000000000.0,17.97,29.6,59.35,19.67,17.97
2021-06-07,13.11875,6017050000000000.0,22.63,29.59,63.172,26.24,22.63
2021-06-08,21.88666666666667,6126240000000000.0,23.09,21.8,57.67999999999999,17.99,23.09
2021-06-09,19.774583333333336,5358846000000000.0,17.02,17.85,45.984,16.81,17.02
2021-06-10,14.705833333333333,4681566000000000.0,13.72,21.6,40.488,16.07,13.72
2021-06-11,15.751249999999995,5693390000000000.0,15.24,18.97,47.538,17.02,15.24
2021-06-12,8.786666666666667,4813644000000000.0,13.56,17.08,44.290000000000006,11.62,13.56
2021-06-13,10.164583333333336,5210752000000000.0,12.86,16.99,51.59599999999999,12.86,12.86
