date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-04-03,46.0325,1.09e+16,45.51,65.11,39.97
2021-04-04,59.39124999999999,7643550000000000.0,48.82,64.1,40.56
2021-04-05,22.691666666666663,1.11e+16,65.79,132.23,46.76
2021-04-06,25.497916666666665,8741706000000000.0,39.28,42.15,26.51
2021-04-07,45.79749999999999,7639970000000000.0,43.32,38.82,27.73
2021-04-08,45.42624999999999,7230542000000000.0,52.79,53.74,35.64
2021-04-09,44.41208333333333,9163100000000000.0,59.18,105.13,40.6
2021-04-10,34.1875,1.35e+16,63.19,75.3,48.62
2021-04-11,51.615833333333335,9634230000000000.0,61.28,78.28,49.62
2021-04-12,45.46125,1e+16,70.84,121.14,57.55
2021-04-13,38.86416666666667,9897562000000000.0,62.17,74.16,56.24
2021-04-14,44.14166666666667,6834790000000000.0,44.45,61.42,43.74
2021-04-15,59.07166666666668,9849494000000000.0,44.62,82.54,53.11
2021-04-16,35.607083333333335,1.06e+16,30.69,95.6,41.08
2021-04-17,39.7425,8204620000000000.0,17.02,54.08,27.72
2021-04-18,46.68999999999999,8333890000000000.0,23.26,37.36,33.01
2021-04-19,43.74041666666668,1.06e+16,33.29,45.06,45.82
2021-04-20,19.965,7222940000000000.0,18.23,34.52,34.79
2021-04-21,39.4,8929550000000000.0,11.97,45.75,25.16
2021-04-22,25.412916666666664,6371398000000000.0,8.88,32.68,20.01
2021-04-23,21.08833333333333,7313010000000000.0,10.07,23.11,21.3
2021-04-24,24.54833333333333,7468170000000000.0,17.48,33.96,24.03
2021-04-25,46.36083333333334,7947810000000000.0,43.4,71.17,46.95
2021-04-26,80.28333333333333,1e+16,61.56,141.37,72.38
2021-04-27,60.62041666666667,1.01e+16,60.98,155.81,83.12
2021-04-28,69.41666666666667,1.04e+16,54.09,122.73,77.37
2021-04-29,37.69958333333333,7158732000000000.0,28.54,50.93,44.71
2021-04-30,44.392083333333325,8324370000000000.0,41.74,66.78,44.58
2021-05-01,29.417916666666667,6484088000000000.0,15.33,35.83,23.8
2021-05-02,29.946250000000003,7519220000000000.0,21.88,43.49,33.1
2021-05-03,41.55583333333333,7925910000000000.0,25.21,42.0,30.84
2021-05-04,33.677083333333336,9062892000000000.0,19.16,41.35,28.73
2021-05-05,24.655,9639740000000000.0,4.08,23.27,16.32
2021-05-06,26.29125,6433370000000000.0,11.71,23.61,15.33
2021-05-07,93.3658333333333,7225970000000000.0,12.85,36.78,25.55
2021-05-08,25.326666666666664,1.7742314e+16,21.25,36.42,29.34
2021-05-09,36.54375000000001,6775830000000000.0,11.19,32.18,16.52
2021-05-10,25.119999999999997,7744290000000000.0,7.92,35.59,20.73
2021-05-11,38.614583333333336,9406290000000000.0,6.9,33.96,15.82
2021-05-12,47.58208333333334,7042660000000000.0,8.37,28.29,17.06
2021-05-13,39.82791666666667,9179770000000000.0,8.91,25.98,18.39
2021-05-14,44.85458333333335,8648420000000000.0,14.65,38.41,25.22
2021-05-15,81.02708333333334,7279454000000000.0,26.79,45.74,35.55
2021-05-16,33.424166666666665,7438110000000000.0,45.66,52.29,41.39
2021-05-17,97.04208333333332,4474782000000000.0,58.14,106.36,60.88
2021-05-18,44.49125000000001,7838504000000000.0,25.2,58.34,25.04
2021-05-19,18.410833333333333,8151668000000000.0,23.68,20.58,29.35
2021-05-20,39.598333333333336,7994220000000000.0,25.32,19.5,36.74
