date,open_NO2,sate_NO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2021-01-31,35.05291666666667,6524860000000000.0,117.51,117.51,117.51,34.536652533817886
2021-02-01,43.86499999999999,5482070000000000.0,120.37,120.37,120.37,27.792845028986765
2021-02-02,55.197083333333325,6766240000000000.0,121.01,121.01,121.01,27.302857142857142
2021-02-03,63.33583333333334,5535784000000000.0,121.59,121.59,121.59,30.798571428571428
2021-02-04,34.155,6051390000000000.0,135.68,135.68,135.68,30.10571428571429
2021-02-05,17.893749999999997,5198214000000000.0,139.47,139.47,139.47,28.7925
2021-02-06,23.91708333333333,6009000000000000.0,97.97,97.97,97.97,29.7325
2021-02-07,25.350000000000005,4872960000000000.0,94.92,94.92,94.92,26.50375
2021-02-08,30.8875,7712790000000000.0,102.39,102.39,102.39,33.865
2021-02-09,42.09583333333333,6057160000000000.0,128.34,128.34,128.34,42.4025
2021-02-10,51.43250000000001,4810544000000000.0,120.53,120.53,120.53,34.294285714285714
2021-02-11,58.74666666666667,4523020000000000.0,123.39,123.39,123.39,38.53625
2021-02-12,57.97875000000001,5147364000000000.0,116.96,116.96,116.96,36.26375
2021-02-13,53.19958333333333,4912470000000000.0,100.68,100.68,100.68,35.5525
2021-02-14,40.836666666666666,4920784000000000.0,102.13,102.13,102.13,30.87
2021-02-15,51.87416666666666,5169530000000000.0,111.62,111.62,111.62,26.395714285714284
2021-02-16,64.26875000000001,4930500000000000.0,122.65,122.65,122.65,21.20142857142857
2021-02-17,35.018750000000004,5052386000000000.0,125.77,125.77,125.77,29.218333333333337
2021-02-18,21.215416666666663,5381290000000000.0,126.26,126.26,126.26,29.292500000000004
2021-02-19,36.60166666666667,4525460000000000.0,113.1,113.1,113.1,25.882857142857144
2021-02-20,40.1175,6494040000000000.0,119.05,119.05,119.05,26.514285714285712
2021-02-21,25.02375,4958872000000000.0,125.93,125.93,125.93,26.592857142857145
2021-02-22,26.91291666666667,5657500000000000.0,120.36,120.36,120.36,28.898571428571422
2021-02-23,28.192916666666665,4454760000000000.0,105.57,105.57,105.57,28.822500000000005
2021-02-24,21.1725,6600616000000000.0,97.67,97.67,97.67,32.4275
2021-02-25,16.818749999999998,3586210000000000.0,96.77,96.77,96.77,29.651428571428568
2021-02-26,18.039166666666667,5163784000000000.0,94.65,94.65,94.65,30.012857142857143
2021-02-27,17.472083333333334,4808750000000000.0,87.51,87.51,87.51,27.37857142857143
2021-02-28,20.08125,6902196000000000.0,88.36,88.36,88.36,26.53857142857143
2021-03-01,16.597499999999997,7457720000000000.0,96.13,96.13,96.13,28.787142857142857
2021-03-02,16.367500000000003,4838290000000000.0,100.77,100.77,100.77,28.825714285714287
2021-03-03,23.972916666666663,5647740000000000.0,108.72,108.72,108.72,34.55333333333333
2021-03-04,28.965833333333336,4150680000000000.0,109.14,109.14,109.14,36.12
2021-03-05,15.325833333333335,5283560000000000.0,59.328,59.328,59.328,33.145
2021-03-06,18.81041666666667,4384930000000000.0,66.65400000000001,66.65400000000001,66.65400000000001,28.93166666666666
2021-03-07,23.91958333333333,4337820000000000.0,68.47200000000001,68.47200000000001,68.47200000000001,24.52
2021-03-08,20.925833333333337,9807750000000000.0,50.282,50.282,50.282,23.451666666666668
2021-03-09,33.550000000000004,5227148000000000.0,59.82600000000001,59.82600000000001,59.82600000000001,26.758571428571432
2021-03-10,22.361666666666668,5088040000000000.0,69.85,69.85,69.85,27.85
2021-03-11,31.347916666666663,5900580000000000.0,76.024,76.024,76.024,22.708571428571428
2021-03-12,19.78833333333333,4508378000000000.0,60.35999999999999,60.35999999999999,60.35999999999999,24.198571428571427
2021-03-13,23.311666666666667,7803600000000000.0,65.93199999999999,65.93199999999999,65.93199999999999,27.585714285714285
2021-03-14,18.97347826086957,5818420000000000.0,55.516,55.516,55.516,31.09142857142857
2021-03-15,23.00625,4789240000000000.0,59.146,59.146,59.146,31.63428571428571
2021-03-16,21.78375,6040362000000000.0,56.34599999999999,56.34599999999999,56.34599999999999,28.56571428571428
2021-03-17,34.35083333333333,5252820000000000.0,61.142,61.142,61.142,30.37714285714286
2021-03-18,36.43,4940932000000000.0,72.774,72.774,72.774,31.1025
2021-03-19,24.353750000000005,5757220000000000.0,67.744,67.744,67.744,22.5625
2021-03-20,22.12833333333333,5530790000000000.0,62.364,62.364,62.364,23.375
2021-03-21,24.096666666666668,6716480000000000.0,70.896,70.896,70.896,20.271666666666665
2021-03-22,40.55708333333333,1.2e+16,55.968,55.968,55.968,23.02666666666667
2021-03-23,26.79625000000001,5729352000000000.0,57.646,57.646,57.646,26.191666666666663
2021-03-24,14.65333333333333,6126410000000000.0,54.776,54.776,54.776,26.85
2021-03-25,14.353333333333332,5043232000000000.0,39.720000000000006,39.720000000000006,39.720000000000006,28.723333333333333
2021-03-26,24.517916666666668,6155760000000000.0,51.192,51.192,51.192,35.35666666666667
2021-03-27,57.12083333333333,5103250000000000.0,56.97,56.97,56.97,46.24333333333333
2021-03-28,32.07583333333333,7323410000000000.0,99.89,99.89,99.89,31.76666666666667
2021-03-29,33.069583333333334,7160360000000000.0,113.0,113.0,113.0,21.697142857142858
2021-03-30,13.580416666666665,5076700000000000.0,107.78,107.78,107.78,20.78
2021-03-31,13.615416666666668,5294970000000000.0,79.69,79.69,79.69,19.11
2021-04-01,22.758750000000003,6141300000000000.0,88.12,88.12,88.12,17.26875
2021-04-02,26.76833333333333,5912290000000000.0,96.07,96.07,96.07,20.06625
2021-04-03,28.68916666666667,4904948000000000.0,103.53,103.53,103.53,22.645
2021-04-04,27.62583333333333,5769950000000000.0,111.94,111.94,111.94,18.35998788612962
2021-04-05,32.005833333333335,6739120000000000.0,120.58,120.58,120.58,33.18125
2021-04-06,17.51,9796610000000000.0,107.33,107.33,107.33,18.0225
2021-04-07,18.232083333333332,6043340000000000.0,90.2,90.2,90.2,18.6575
2021-04-08,37.92333333333333,5915312000000000.0,82.99,82.99,82.99,18.227500000000003
2021-04-09,28.81041666666667,5181490000000000.0,73.74,73.74,73.74,17.51125
2021-04-10,26.806249999999995,5169588000000000.0,85.29,85.29,85.29,15.62125
2021-04-11,15.439583333333331,6613470000000000.0,102.9,102.9,102.9,14.5925
2021-04-12,34.62499999999999,6214120000000000.0,107.17,107.17,107.17,19.4425
2021-04-13,32.724999999999994,6822720000000000.0,91.94,91.94,91.94,18.4875
2021-04-14,40.23125,6150820000000000.0,89.81,89.81,89.81,15.12375
2021-04-15,18.1375,4998280000000000.0,66.89,66.89,66.89,15.951250000000002
2021-04-16,16.93375,5614400000000000.0,65.0,65.0,65.0,15.332499999999998
2021-04-17,18.830416666666668,6514834000000000.0,61.58,61.58,61.58,16.450000000000003
2021-04-18,10.691666666666668,7025020000000000.0,64.22,64.22,64.22,17.25
2021-04-19,21.73958333333333,5001268000000000.0,79.36,79.36,79.36,17.9675
2021-04-20,40.500416666666666,4364850000000000.0,91.2,91.2,91.2,14.27125
2021-04-21,15.448333333333332,6133400000000000.0,72.09,72.09,72.09,14.1375
2021-04-22,28.850833333333338,6428240000000000.0,61.94,61.94,61.94,13.97625
2021-04-23,35.86958333333334,4504630000000000.0,70.74,70.74,70.74,17.736250000000002
2021-04-24,9.41,5929192000000000.0,85.75,85.75,85.75,15.15375
2021-04-25,23.965,6020930000000000.0,86.24,86.24,86.24,15.29375
2021-04-26,42.895,6268836000000000.0,90.74,90.74,90.74,15.055
2021-04-27,54.10416666666666,7817100000000000.0,90.93,90.93,90.93,18.44875
2021-04-28,20.14625,7576970000000000.0,94.75,94.75,94.75,18.9525
2021-04-29,11.727916666666667,6556430000000000.0,61.97,61.97,61.97,15.2275
2021-04-30,14.4075,4096800000000000.0,58.9,58.9,58.9,14.4775
2021-05-01,10.138333333333334,7261820000000000.0,57.33,57.33,57.33,13.63375
2021-05-02,13.675000000000002,7973830000000000.0,61.0,61.0,61.0,15.5325
2021-05-03,33.366249999999994,5006916000000000.0,58.1,58.1,58.1,17.9
2021-05-04,8.314583333333333,7385230000000000.0,56.44,56.44,56.44,16.995
2021-05-05,7.740416666666666,5620512000000000.0,54.45,54.45,54.45,16.41875
2021-05-06,9.097083333333334,7706210000000000.0,57.9,57.9,57.9,16.08125
2021-05-07,16.73,5350530000000000.0,56.33,56.33,56.33,17.2375
2021-05-08,8.664583333333333,6690150000000000.0,56.32,56.32,56.32,17.3175
2021-05-09,22.395416666666662,9429290000000000.0,56.59,56.59,56.59,17.43285714285714
2021-05-10,32.19833333333334,5388480000000000.0,60.92,60.92,60.92,16.174999999999997
2021-05-11,20.63458333333333,7699170000000000.0,58.21,58.21,58.21,16.66375
2021-05-12,14.675833333333337,7191722000000000.0,41.15,41.15,41.15,16.915
2021-05-13,18.237916666666667,5936500000000000.0,37.17,37.17,37.17,18.715
2021-05-14,40.94416666666666,7027950000000000.0,42.81,42.81,42.81,18.79625
2021-05-15,38.36166666666667,6797920000000000.0,48.96,48.96,48.96,20.965
2021-05-16,31.911666666666665,7591800000000000.0,49.97,49.97,49.97,16.265
2021-05-17,23.820416666666663,6399450000000000.0,50.28,50.28,50.28,15.1725
2021-05-18,21.265000000000004,4227640000000000.0,44.96,44.96,44.96,14.31
2021-05-19,9.717083333333331,5447694000000000.0,41.85,41.85,41.85,17.0225
2021-05-20,17.785416666666666,5541520000000000.0,26.51,26.51,26.51,16.28
2021-05-21,25.35625,5061398000000000.0,20.44,20.44,20.44,16.21875
2021-05-22,35.27708333333333,6136380000000000.0,50.87,50.87,50.87,17.537499999999998
2021-05-23,24.6575,4801560000000000.0,27.48,27.48,27.48,17.53875
2021-05-24,24.199583333333337,5914160000000000.0,42.12,42.12,42.12,17.642500000000002
2021-05-25,12.050416666666663,5559370000000000.0,43.84,43.84,43.84,17.2025
2021-05-26,7.510416666666668,4348954000000000.0,37.21,37.21,37.21,15.63
2021-05-27,6.458333333333333,4331342000000000.0,60.69200000000001,60.69200000000001,60.69200000000001,14.1925
2021-05-28,13.809583333333334,5825102000000000.0,40.768,40.768,40.768,14.04625
2021-05-29,17.986666666666668,5016062000000000.0,38.564,38.564,38.564,13.52875
2021-05-30,20.602083333333336,5687490000000000.0,42.662,42.662,42.662,14.70857142857143
2021-05-31,23.66,5909320000000000.0,60.74,60.74,60.74,17.33285714285714
2021-06-01,24.659166666666668,4721976000000000.0,46.41,46.41,46.41,23.882857142857144
2021-06-02,35.87375,5871530000000000.0,15.03,15.03,15.03,14.623333333333337
2021-06-03,28.27291666666667,6046310000000000.0,9.44,9.44,9.44,14.97777777777778
2021-06-04,23.69291666666666,5528864000000000.0,9.27,9.27,9.27,13.789090909090907
2021-06-05,9.747916666666669,6256490000000000.0,5.74,5.74,5.74,13.103636363636362
2021-06-06,8.582916666666668,4890332000000000.0,7.78,7.78,7.78,10.50777777777778
2021-06-07,11.056666666666665,5181930000000000.0,5.69,5.69,5.69,11.503636363636362
2021-06-08,14.679583333333332,4757430000000000.0,5.44,5.44,5.44,10.146000000000004
2021-06-09,20.485000000000003,5717650000000000.0,5.47,5.47,5.47,10.203
2021-06-10,12.699166666666663,4882118000000000.0,4.2,4.2,4.2,10.547999999999998
2021-06-11,13.137916666666664,5571668000000000.0,5.62,5.62,5.62,12.723
2021-06-12,11.1175,4313050000000000.0,4.6,4.6,4.6,13.015
2021-06-13,11.437916666666668,5762706000000000.0,7.16,7.16,7.16,12.855555555555556
2021-06-14,15.148749999999998,6465742000000000.0,6.39,6.39,6.39,12.858
2021-06-15,35.10791666666666,5256026000000000.0,8.49,8.49,8.49,11.933
2021-06-16,20.029166666666665,7605810000000000.0,4.35,4.35,4.35,14.406
2021-06-17,11.014583333333333,5006494000000000.0,9.3,9.3,9.3,13.534545454545457
2021-06-18,16.43333333333333,4764670000000000.0,7.4,7.4,7.4,12.254545454545456
2021-06-19,12.717083333333331,5609344000000000.0,4.77,4.77,4.77,13.116363636363635
2021-06-20,13.712083333333338,5660874000000000.0,10.71,10.71,10.71,12.59909090909091
2021-06-21,19.555,4777800000000000.0,13.96,13.96,19.27,13.11181818181818
2021-06-22,17.801250000000007,5435156000000000.0,16.68,16.68,19.45,12.88
2021-06-23,13.998333333333331,4468100000000000.0,19.35,19.35,24.7,11.143636363636364
2021-06-24,31.959166666666665,5150528000000000.0,11.34,11.34,27.96,11.224545454545456
2021-06-25,17.658333333333335,5495888000000000.0,15.36,15.36,25.84,11.668181818181818
2021-06-26,12.810000000000004,4755410000000000.0,9.92,9.92,25.44,12.695
2021-06-27,18.78833333333333,5436214000000000.0,5.95,5.95,24.83,13.875
2021-06-28,19.84625,5091450000000000.0,6.35,6.35,23.97,15.666363636363634
2021-06-29,14.855,6022052000000000.0,8.02,8.02,20.73,14.075454545454546
2021-06-30,10.025,5596002000000000.0,6.05,6.05,20.79,12.488181818181818
2021-07-01,10.737499999999995,5278630000000000.0,5.44,5.44,9.86,12.159999999999998
2021-07-02,9.02625,6492428000000000.0,8.97,8.97,17.34,12.405454545454546
2021-07-03,13.04291666666667,5131370000000000.0,13.99,13.99,18.25,13.987272727272726
2021-07-04,18.440416666666664,7386420000000000.0,8.25,8.25,19.26,15.20090909090909
2021-07-05,21.089166666666667,6035650000000000.0,8.87,8.87,18.44,16.182727272727274
2021-07-06,21.28875,5585270000000000.0,12.32,12.32,16.35,13.832727272727272
2021-07-07,19.85833333333333,6647600000000000.0,34.71,6.61,14.12,34.71
2021-07-08,20.02166666666667,4984228000000000.0,20.87,5.34,14.54,20.87
2021-07-09,14.766666666666666,5126910000000000.0,16.76,5.45,10.04,16.76
2021-07-10,10.46125,5395870000000000.0,12.78,3.6,9.94,12.78
2021-07-11,11.956666666666663,4956526000000000.0,22.15,1.84,10.95,22.15
2021-07-12,8.992916666666666,4437440000000000.0,25.05,2.75,11.45,25.05
2021-07-13,9.695,4703676000000000.0,18.21,2.82,11.02,18.21
2021-07-14,8.906666666666665,5240150000000000.0,17.58,2.02,11.07,17.58
2021-07-15,10.455833333333334,5711510000000000.0,13.66,1.62,11.38,13.66
2021-07-16,22.105833333333337,4664810000000000.0,16.72,3.58,15.72,16.72
2021-07-17,14.904583333333337,4569052000000000.0,14.89,3.43,12.25,14.89
2021-07-18,22.68041666666667,5532940000000000.0,15.9,2.62,11.93,15.9
2021-07-19,25.93666666666667,6626880000000000.0,19.23,3.3,13.05,19.23
2021-07-20,22.691250000000007,4414002000000000.0,18.15,4.29,13.88,18.15
2021-07-21,30.99541666666667,4878496000000000.0,18.56,4.06,11.71,18.56
2021-07-22,21.49291666666667,4247566000000000.0,20.87,2.44,10.61,20.87
2021-07-23,10.171666666666669,5631580000000000.0,18.0,2.98,10.1,18.0
2021-07-24,9.8825,5394832000000000.0,12.02,0.63,8.06,12.02
2021-07-25,18.648333333333337,4867302000000000.0,17.31,0.87,13.45,17.31
2021-07-26,18.105,4330630000000000.0,15.46,1.43,13.78,15.46
2021-07-27,24.77083333333333,6160486000000000.0,19.12,2.92,10.65,19.12
2021-07-28,13.97041666666667,4369430000000000.0,12.94,2.62,9.76,12.94
2021-07-29,10.689166666666669,6187334000000000.0,9.85,3.45,9.14,9.85
2021-07-30,21.46041666666667,4632680000000000.0,13.8,5.89,8.61,13.8
2021-07-31,14.560000000000002,4946828000000000.0,13.07,7.96,10.39,13.07
2021-08-01,15.999583333333332,5351964000000000.0,14.84,3.04,14.62,14.84
2021-08-02,33.160000000000004,5497518000000000.0,16.41,2.68,28.71,16.41
2021-08-03,19.99666666666667,4712430000000000.0,11.43,2.47,29.21,11.43
2021-08-04,21.79583333333333,8138260000000000.0,10.98,1.69,37.65,10.98
2021-08-05,17.12666666666667,4493460000000000.0,16.79,1.72,35.78,16.79
2021-08-06,22.22791666666667,5140720000000000.0,18.6,3.33,32.66,18.6
2021-08-07,33.31583333333333,4838764000000000.0,21.49,4.97,34.63,21.49
2021-08-08,16.45833333333333,7267070000000000.0,13.6,2.07,34.73,13.6
2021-08-09,15.869166666666668,5193010000000000.0,10.51,1.99,23.21,10.51
2021-08-10,14.025,4443060000000000.0,9.98,2.58,36.06,9.98
2021-08-11,19.70833333333333,5590630000000000.0,9.77,2.8,40.02,9.77
2021-08-12,15.833333333333336,4669280000000000.0,12.81,4.8,39.44,12.81
2021-08-13,18.82208333333333,2827260000000000.0,14.08,4.41,36.2,14.08
2021-08-14,14.9825,4745196000000000.0,13.73,5.66,36.48,13.73
2021-08-15,19.504999999999995,4151950000000000.0,10.84,4.34,37.27,10.84
2021-08-16,23.47083333333333,5295042000000000.0,18.59,6.54,32.69,18.59
2021-08-17,14.780833333333335,4629060000000000.0,25.47,4.46,28.84,25.47
2021-08-18,15.295416666666666,5178150000000000.0,17.31,4.5,27.3,17.31
2021-08-19,16.44416666666667,5048440000000000.0,15.44,3.19,27.78,15.44
2021-08-20,10.474166666666669,5141460000000000.0,14.09,1.89,25.63,14.09
2021-08-21,12.576666666666668,5190060000000000.0,17.25,3.47,25.19,17.25
2021-08-22,16.57166666666667,4581790000000000.0,12.28,4.98,25.18,12.28
2021-08-23,14.68,4402858000000000.0,12.41,2.45,25.29,12.41
2021-08-24,12.396250000000002,4938650000000000.0,15.16,6.05,25.46,15.16
2021-08-25,12.309583333333334,4798216000000000.0,15.64,3.79,22.95,15.64
2021-08-26,19.075416666666666,5360182000000000.0,15.87,5.98,20.63,15.87
2021-08-27,21.329166666666666,3074400000000000.0,20.1,7.91,22.47,20.1
2021-08-28,17.040833333333335,3282820000000000.0,19.94,4.1,22.25,19.94
2021-08-29,14.260000000000003,5122430000000000.0,13.75,2.6,20.35,13.75
2021-08-30,15.240416666666668,5122672000000000.0,14.55,3.26,18.39,14.55
2021-08-31,13.78458333333333,4586096000000000.0,17.24,4.28,17.65,17.24
2021-09-01,26.855416666666667,4780076000000000.0,23.85,5.77,16.92,23.85
2021-09-02,25.212499999999995,4735720000000000.0,23.34,4.15,14.81,23.34
2021-09-03,46.91791666666666,5198126000000000.0,24.86,8.28,18.13,24.86
2021-09-04,22.3825,5200600000000000.0,18.53,5.36,19.12,18.53
2021-09-05,20.59208333333333,5857450000000000.0,27.28,5.54,18.66,27.28
2021-09-06,13.211249999999994,3656590000000000.0,25.37,6.79,17.41,25.37
2021-09-07,13.057083333333331,4365910000000000.0,15.53,3.54,14.11,15.53
2021-09-08,18.50166666666667,5490606000000000.0,20.97,4.22,12.36,20.97
2021-09-09,11.44625,6087040000000000.0,24.47,5.17,13.78,24.47
2021-09-10,18.07833333333333,4796872000000000.0,22.54,4.02,13.7,22.54
2021-09-11,10.34375,4197830000000000.0,15.09,2.9,12.15,15.09
2021-09-12,11.097083333333336,5960430000000000.0,12.6,3.43,12.02,12.6
2021-09-13,8.4325,4416016000000000.0,13.45,5.16,11.3,13.45
2021-09-14,10.378333333333332,6018370000000000.0,10.39,1.7,8.99,10.39
2021-09-15,16.41541666666667,4423930000000000.0,9.43,1.97,7.73,9.43
2021-09-16,12.441666666666665,5530040000000000.0,14.94,3.31,9.0,14.94
2021-09-17,17.437083333333334,5514114000000000.0,14.08,2.72,9.05,14.08
2021-09-18,21.26458333333333,4384560000000000.0,13.57,5.16,8.89,13.57
2021-09-19,42.90500000000001,5130970000000000.0,14.64,7.32,8.96,14.64
2021-09-20,11.807083333333336,4836820000000000.0,15.57,6.93,8.66,15.57
2021-09-21,11.714166666666666,4738730000000000.0,15.37,4.48,7.38,15.37
2021-09-22,9.611249999999998,4420180000000000.0,14.16,2.89,6.2,14.16
2021-09-23,11.920833333333333,5276108000000000.0,12.87,2.98,6.03,12.87
2021-09-24,19.910416666666663,6440286000000000.0,14.95,3.16,5.73,14.95
2021-09-25,13.124166666666667,5025180000000000.0,14.41,3.68,5.88,14.41
2021-09-26,11.004999999999995,4918292000000000.0,12.82,2.61,5.87,12.82
2021-09-27,8.545416666666666,5999460000000000.0,14.28,4.06,5.27,14.28
2021-09-28,10.809166666666664,4884500000000000.0,12.94,2.86,5.13,12.94
2021-09-29,10.991666666666664,5129054000000000.0,12.45,4.42,4.58,12.45
2021-09-30,11.832499999999998,4289850000000000.0,8.71,5.28,3.01,8.71
2021-10-01,14.035833333333336,5436356000000000.0,8.63,9.24,3.62,8.63
2021-10-02,11.1575,5016940000000000.0,7.55,3.86,4.26,7.55
2021-10-03,19.311666666666667,5137568000000000.0,7.9,3.0,5.0,7.9
2021-10-04,30.26708333333333,5169950000000000.0,10.05,8.84,5.18,10.05
2021-10-05,53.9275,5216290000000000.0,11.34,6.67,5.58,11.34
2021-10-06,32.91875,4851342000000000.0,10.78,7.31,5.61,10.78
2021-10-07,28.105833333333333,7026640000000000.0,8.21,6.56,5.91,8.21
2021-10-08,26.26291666666667,4713288000000000.0,7.98,6.0,5.53,7.98
2021-10-09,22.75208333333333,3978540000000000.0,8.94,6.52,6.22,8.94
2021-10-10,32.0325,5340260000000000.0,13.38,6.91,6.54,13.38
2021-10-11,36.61916666666667,5246900000000000.0,16.39,8.02,6.77,16.39
2021-10-12,45.95708333333334,4725052000000000.0,15.35,6.44,7.3,15.35
2021-10-13,45.26333333333334,4360700000000000.0,15.08,9.04,6.62,15.08
2021-10-14,52.50583333333332,4735870000000000.0,13.19,7.32,6.61,13.19
2021-10-15,62.41458333333335,4399452000000000.0,12.48,7.77,5.97,12.48
2021-10-16,12.07958333333333,4916160000000000.0,20.0,5.84,5.18,20.0
2021-10-17,6.920833333333332,5522870000000000.0,13.73,3.29,4.29,13.73
2021-10-18,13.795000000000002,4745366000000000.0,11.82,2.72,3.37,11.82
2021-10-19,24.58375,5750840000000000.0,10.34,2.82,3.21,10.34
2021-10-20,19.594166666666663,5189060000000000.0,11.12,4.41,4.15,11.12
2021-10-21,18.285,5269400000000000.0,13.13,6.81,5.23,13.13
2021-10-22,21.68458333333333,7644604000000000.0,17.22,8.63,5.95,17.22
2021-10-23,29.960416666666664,4212920000000000.0,24.43,11.51,6.66,24.43
2021-10-24,26.523333333333337,4573738000000000.0,23.91,13.14,7.08,23.91
2021-10-25,31.54875,3310300000000000.0,24.69,16.57,8.6,24.69
2021-10-26,28.212499999999995,6053256000000000.0,21.88,17.29,7.62,21.88
2021-10-27,29.560416666666665,4393360000000000.0,20.9,19.24,8.45,20.9
2021-10-28,59.320833333333326,5133716000000000.0,24.99,22.32,11.75,24.99
2021-10-29,40.94791666666667,4622840000000000.0,35.71,24.87,12.42,35.71
2021-10-30,26.077916666666667,4257730000000000.0,28.92,25.59,11.33,28.92
2021-10-31,33.702083333333334,4552852000000000.0,24.08,22.77,10.63,24.08
2021-11-01,56.02708333333333,5707620000000000.0,34.29,30.41,13.21,34.29
2021-11-02,45.72208333333332,4628140000000000.0,43.02,27.34,12.79,43.02
2021-11-03,47.423333333333325,4880820000000000.0,36.87,23.82,12.5,36.87
2021-11-04,65.77916666666665,4711226000000000.0,34.0,31.47,12.11,34.0
2021-11-05,40.09208333333334,4063580000000000.0,30.68,22.54,12.38,30.68
