date,open_NO2,sate_NO2,"Marhatal, Jabalpur - MPPCB"
2021-05-01,3.4120833333333334,3585102000000000.0,22.36
2021-05-02,11.702916666666669,4811150000000000.0,36.02
2021-05-03,5.476666666666667,4927116000000000.0,36.77
2021-05-04,6.324166666666668,5045610000000000.0,37.02
2021-05-05,9.803333333333336,5088460000000000.0,30.24
2021-05-06,3.5383333333333327,6203200000000000.0,29.98
2021-05-07,3.047916666666667,5579920000000000.0,32.78
2021-05-08,6.490416666666668,3715252000000000.0,32.9
2021-05-09,2.7412500000000004,4914540000000000.0,37.96
2021-05-10,8.830416666666666,4561500000000000.0,36.74
2021-05-11,4.567916666666668,6128050000000000.0,36.27
2021-05-12,4.561249999999999,5429540000000000.0,32.13
2021-05-13,4.0200000000000005,4067660000000000.0,30.49
2021-05-14,4.048749999999999,4122660000000000.0,28.19
2021-05-15,3.235833333333334,3105960000000000.0,27.46
2021-05-16,4.595416666666668,4694890000000000.0,30.11
2021-05-17,5.196666666666666,3789932000000000.0,33.84
2021-05-18,5.505416666666668,6879790000000000.0,36.29
2021-05-19,4.614166666666667,4274002000000000.0,38.42
2021-05-20,9.442083333333333,5613740000000000.0,38.59
2021-05-21,13.475,4088440000000000.0,37.83
2021-05-22,13.637083333333331,3896948000000000.0,35.75
2021-05-23,9.675416666666663,4311550000000000.0,36.76
2021-05-24,4.629166666666667,4275476000000000.0,38.22
2021-05-25,3.39125,4601256000000000.0,34.52
2021-05-26,4.08625,4320094000000000.0,25.89
2021-05-27,5.5475,5719170000000000.0,28.29
2021-05-28,4.827916666666666,5596250000000000.0,27.84
2021-05-29,6.2179166666666665,5226310000000000.0,30.68
2021-05-30,2.6141666666666667,6163220000000000.0,29.64
2021-05-31,6.753333333333334,5068850000000000.0,27.24
2021-06-01,5.854583333333333,4238100000000000.0,26.51
2021-06-02,11.366666666666667,5087714000000000.0,32.81
2021-06-03,5.292916666666668,5480200000000000.0,33.76
2021-06-04,6.63,4225984000000000.0,35.32
2021-06-05,4.572500000000001,4898992000000000.0,37.57
2021-06-06,4.5925,4805880000000000.0,37.52
2021-06-07,2.814583333333333,6232860000000000.0,41.33
2021-06-08,3.266666666666667,5418310000000000.0,44.71
2021-06-09,5.246666666666667,4187122000000000.0,41.77
2021-06-10,4.243333333333333,3693966000000000.0,38.86
2021-06-11,6.285416666666667,4318112000000000.0,40.96
2021-06-12,6.770833333333335,4843938000000000.0,40.09
2021-06-13,3.9466666666666663,4248410000000000.0,37.65
2021-06-14,3.3662499999999995,5505160000000000.0,39.65
2021-06-15,4.046250000000001,6348270000000000.0,39.28
2021-06-16,3.804583333333333,5679080000000000.0,38.69
2021-06-17,4.317916666666666,5482400000000000.0,39.79
2021-06-18,4.377916666666667,4061936000000000.0,39.13
2021-06-19,2.81375,5330576000000000.0,39.06
2021-06-20,2.18,4012308000000000.0,35.52
2021-06-21,3.641666666666667,4197200000000000.0,39.86
2021-06-22,3.589583333333333,5010770000000000.0,38.9
2021-06-23,4.839166666666667,4034348000000000.0,40.14
2021-06-24,4.643333333333334,4232148000000000.0,40.53
2021-06-25,5.176666666666667,4047144000000000.0,41.36
2021-06-26,5.189999999999999,4478510000000000.0,40.2
2021-06-27,10.145,4544636000000000.0,37.8
2021-06-28,4.182083333333334,4313920000000000.0,38.14
2021-06-29,3.1329166666666666,4121000000000000.0,31.01
2021-06-30,4.46875,4497360000000000.0,20.86
