date,open_NO2,sate_NO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2021-04-17,12.24375,5548692000000000.0,12.36,13.788999999999998,12.36
2021-04-18,4.795416666666667,6812740000000000.0,13.29,14.605,13.29
2021-04-19,8.095416666666667,4564750000000000.0,11.26,13.763,11.26
2021-04-20,4.027916666666666,4376890000000000.0,11.46,12.449000000000002,11.46
2021-04-21,8.2475,7647790000000000.0,11.48,13.37,11.48
2021-04-22,8.615416666666667,4531738000000000.0,11.7,17.366999999999997,11.7
2021-04-23,6.081249999999997,5254350000000000.0,14.1,24.197777777777773,14.1
2021-04-24,4.912083333333334,5316720000000000.0,174.99,17.753333333333337,174.99
2021-04-25,6.219166666666666,6666830000000000.0,256.06,17.288888888888888,256.06
2021-04-26,15.964166666666666,5920410000000000.0,14.93,15.578,14.93
2021-04-27,13.074999999999998,7447380000000000.0,36.72,17.990000000000002,36.72
2021-04-28,16.29625,8867970000000000.0,25.49,16.767000000000003,25.49
2021-04-29,12.073333333333332,7088880000000000.0,11.21,16.602,11.21
2021-04-30,17.680833333333336,6295120000000000.0,14.85,14.079,14.85
2021-05-01,16.296249999999997,4650658000000000.0,8.88,13.777,8.88
2021-05-02,13.115,7509350000000000.0,11.7,14.817000000000002,11.7
2021-05-03,12.602083333333336,5669138000000000.0,10.32,15.419,10.32
2021-05-04,6.343333333333333,6236950000000000.0,8.95,15.311999999999998,8.95
2021-05-05,10.180833333333334,7476960000000000.0,10.6,15.463,10.6
2021-05-06,8.014583333333334,7536750000000000.0,10.06,14.368999999999996,10.06
2021-05-07,12.956666666666663,6653080000000000.0,33.39333333333333,13.012,33.39333333333333
2021-05-08,13.54166666666667,7717192000000000.0,35.60333333333333,13.986,35.60333333333333
2021-05-09,13.87625,6912730000000000.0,24.846666666666664,12.691,24.846666666666664
2021-05-10,10.28875,4609888000000000.0,22.42,14.766666666666667,22.42
2021-05-11,12.572083333333335,8033360000000000.0,24.43,13.998888888888889,24.43
2021-05-12,6.954583333333332,5949180000000000.0,6.4,11.669999999999998,6.4
2021-05-13,12.200416666666667,4646960000000000.0,6.7,13.853,6.7
2021-05-14,8.497916666666667,5722200000000000.0,6.73,12.508,6.73
2021-05-15,11.084583333333336,5225620000000000.0,6.6,11.475,6.6
2021-05-16,7.693749999999999,6391740000000000.0,6.25,11.836000000000002,6.25
2021-05-17,6.683333333333334,4661744000000000.0,6.74,9.571,6.74
2021-05-18,7.030000000000001,4284580000000000.0,7.38,8.715,7.38
2021-05-19,6.185833333333332,5920642000000000.0,8.51,12.013,8.51
2021-05-20,11.15,8472696000000000.0,7.39,13.174444444444443,7.39
2021-05-21,16.43041666666667,5209010000000000.0,7.67,12.761111111111113,7.67
2021-05-22,6.153333333333333,6040810000000000.0,6.41,14.436249999999998,6.41
2021-05-23,6.818749999999999,5913710000000000.0,6.59,13.708749999999998,6.59
2021-05-24,5.489166666666666,6298242000000000.0,6.51,35.4,6.51
2021-05-25,13.97875,6661880000000000.0,6.53,35.109,6.53
2021-05-26,13.669583333333328,4538958000000000.0,6.6,14.003,6.6
2021-05-27,11.810833333333331,8140950000000000.0,6.6,33.395,6.6
2021-05-28,7.698749999999999,6451920000000000.0,6.87,17.130000000000003,6.87
2021-05-29,6.984583333333334,8738090000000000.0,6.9,29.235000000000003,6.9
2021-05-30,11.021666666666668,6437710000000000.0,6.72,11.217,6.72
2021-05-31,10.382916666666668,6122900000000000.0,6.41,13.935,6.41
2021-06-01,17.269166666666667,4950780000000000.0,6.79,13.156,6.79
2021-06-02,13.882916666666668,6224548000000000.0,6.61,12.68,6.61
2021-06-03,14.892083333333332,8123480000000000.0,6.71,11.463,6.71
2021-06-04,9.50291666666667,5959244000000000.0,6.25,12.529,6.25
2021-06-05,12.670833333333334,6983170000000000.0,6.11,13.413,6.11
2021-06-06,14.895833333333336,6026350000000000.0,6.64,13.48777777777778,6.64
2021-06-07,9.715416666666668,7002990000000000.0,6.58,12.883,6.58
2021-06-08,14.22,7498020000000000.0,6.4,13.623,6.4
2021-06-09,4.829166666666667,6705938000000000.0,6.92,13.4,6.92
2021-06-10,6.607499999999999,6011450000000000.0,7.11,14.283999999999995,7.11
2021-06-11,5.885833333333333,6268184000000000.0,6.6,16.437,6.6
2021-06-12,5.145416666666667,6709330000000000.0,6.72,15.579999999999998,6.72
2021-06-13,5.896666666666667,4595840000000000.0,6.79,11.011,6.79
2021-06-14,6.24625,8379640000000000.0,6.64,10.954,6.64
2021-06-15,11.065833333333332,6689930000000000.0,6.72,10.834,6.72
2021-06-16,6.073333333333334,6191200000000000.0,7.52,14.65,7.52
2021-06-17,6.709166666666667,7255090000000000.0,8.85,16.105555555555558,8.85
2021-06-18,10.539166666666668,6369660000000000.0,11.17,16.787777777777777,11.17
2021-06-19,12.435,5564308000000000.0,11.42,14.043,11.42
2021-06-20,8.160000000000002,4945744000000000.0,11.51,16.813333333333333,11.51
2021-06-21,8.319583333333332,5140930000000000.0,9.99,15.047777777777776,9.99
2021-06-22,8.195416666666667,6474510000000000.0,7.09,12.993333333333334,7.09
2021-06-23,6.816666666666666,6529850000000000.0,8.02,12.46,8.02
2021-06-24,8.272083333333335,6091760000000000.0,9.36,10.797999999999998,9.36
2021-06-25,7.855833333333333,6652568000000000.0,8.68,10.344,8.68
2021-06-26,7.59875,7584580000000000.0,6.48,13.163,6.48
2021-06-27,10.72625,6276642000000000.0,11.79,10.645,11.79
2021-06-28,10.50375,6667790000000000.0,7.28,11.214000000000002,7.28
2021-06-29,8.0325,7093030000000000.0,4.78,12.676,4.78
2021-06-30,12.9,7706160000000000.0,2.81,18.513,2.81
2021-07-01,15.397916666666667,6234550000000000.0,3.21,12.937,3.21
2021-07-02,9.169166666666667,5364200000000000.0,4.15,10.502,4.15
2021-07-03,11.4975,4778030000000000.0,3.54,8.82,3.54
2021-07-04,6.265833333333333,5407892000000000.0,5.33,9.758999999999997,5.33
2021-07-05,10.83375,7057720000000000.0,2.55,11.089,2.55
2021-07-06,12.258333333333333,6428994000000000.0,2.71,10.69,2.71
2021-07-07,8.194583333333334,6349810000000000.0,2.7,11.247,2.7
2021-07-08,5.496666666666666,7946910000000000.0,5.44,24.219,5.44
2021-07-09,4.84375,6559520000000000.0,5.28,16.353333333333335,5.28
2021-07-10,3.804583333333333,4922480000000000.0,3.2,15.652222222222225,3.2
2021-07-11,3.909583333333333,6084644000000000.0,8.97,9.573333333333332,8.97
2021-07-12,4.772916666666666,4998990000000000.0,8.08,10.238888888888887,8.08
2021-07-13,7.043749999999999,5348940000000000.0,7.57,13.957777777777777,7.57
