date,open_NO2,sate_NO2,"GIFT City, Gandhinagar - IITM","IIPHG Lekawada, Gandhinagar - IITM"
2021-07-17,10.07875,6732972000000000.0,10.83,9.39
2021-07-18,5.217916666666667,4920776000000000.0,10.7,9.42
2021-07-19,5.485416666666667,4550100000000000.0,10.7,9.53
2021-07-20,5.425416666666667,6222070000000000.0,10.84,9.38
2021-07-21,4.57,5679368000000000.0,10.9,9.54
2021-07-22,6.314166666666668,4372410000000000.0,10.52,9.46
2021-07-23,10.454166666666664,5787402000000000.0,10.71,9.39
2021-07-24,5.084166666666667,4582120000000000.0,10.8,9.43
2021-07-25,8.139166666666668,5610214000000000.0,10.7,10.7
2021-07-26,8.08875,4816292000000000.0,10.77,10.89
2021-07-27,7.668750000000002,5812090000000000.0,9.91,9.29
2021-07-28,6.298749999999998,4884402000000000.0,8.63,9.37
2021-07-29,5.410833333333334,5341320000000000.0,8.8,9.53
2021-07-30,5.491250000000001,5222540000000000.0,8.61,9.32
2021-07-31,5.272916666666667,5522916000000000.0,8.8,9.56
2021-08-01,4.588333333333333,6063934000000000.0,8.81,9.45
2021-08-02,7.301666666666666,4575332000000000.0,8.77,9.52
2021-08-03,7.993333333333332,4737218000000000.0,8.77,9.64
2021-08-04,7.887083333333333,5517844000000000.0,8.82,9.72
2021-08-05,13.287916666666668,4271748000000000.0,8.75,9.8
2021-08-06,16.92875,4754812000000000.0,8.57,9.84
2021-08-07,23.038333333333338,5059756000000000.0,8.64,9.71
2021-08-08,14.291666666666666,5503074000000000.0,8.52,9.53
2021-08-09,13.521249999999997,2729190000000000.0,8.63,9.98
2021-08-10,11.238749999999998,4897430000000000.0,8.54,9.98
2021-08-11,11.289583333333333,4921894000000000.0,8.54,10.11
2021-08-12,10.872916666666669,4376050000000000.0,8.54,10.17
2021-08-13,12.001666666666663,3894220000000000.0,8.61,9.87
2021-08-14,7.606250000000003,4251640000000000.0,8.73,10.02
2021-08-15,10.325416666666667,972540000000000.0,8.55,9.77
2021-08-16,20.836250000000003,5828542000000000.0,8.67,9.72
2021-08-17,12.253749999999998,5148360000000000.0,8.65,10.0
2021-08-18,9.032916666666663,6067238000000000.0,8.5,9.82
2021-08-19,12.754999999999995,5331970000000000.0,8.79,10.41
2021-08-20,10.9875,5051148000000000.0,8.69,10.01
2021-08-21,14.644583333333337,5095490000000000.0,8.76,10.26
2021-08-22,11.95166666666667,4917310000000000.0,8.43,10.04
2021-08-23,15.762083333333331,4509230000000000.0,8.64,10.37
2021-08-24,11.087916666666668,5109190000000000.0,8.63,8.63
2021-08-25,9.50875,5185594000000000.0,8.61,8.61
2021-08-26,12.437499999999998,4106640000000000.0,8.81,11.4
2021-08-27,17.659583333333334,4359620000000000.0,8.85,10.91
2021-08-28,16.995,5847250000000000.0,8.64,10.8
2021-08-29,14.330833333333333,5339290000000000.0,8.61,10.66
2021-08-30,16.415833333333335,5613520000000000.0,8.45,10.57
2021-08-31,16.923750000000005,5175020000000000.0,8.37,10.44
2021-09-01,25.73375,4803828000000000.0,8.38,10.4
2021-09-02,26.03333333333333,5407978000000000.0,8.45,10.06
2021-09-03,24.212499999999995,4248156000000000.0,8.35,10.04
2021-09-04,13.7725,5419580000000000.0,8.36,9.96
2021-09-05,21.295416666666664,4582720000000000.0,8.45,10.07
2021-09-06,18.3075,7205500000000000.0,8.45,10.06
2021-09-07,19.931249999999995,4270290000000000.0,8.32,10.06
2021-09-08,29.8325,5305070000000000.0,8.39,9.79
2021-09-09,13.695416666666665,6200138000000000.0,8.38,9.82
2021-09-10,12.645833333333334,4635836000000000.0,8.24,9.6
2021-09-11,12.15,4684262000000000.0,8.42,9.45
2021-09-12,9.130416666666664,5417216000000000.0,8.3,9.62
2021-09-13,20.14333333333333,3695490000000000.0,8.24,9.24
2021-09-14,18.08708333333333,5616070000000000.0,8.39,9.05
2021-09-15,21.92708333333333,5165850000000000.0,8.38,9.48
2021-09-16,30.339583333333337,4298002000000000.0,8.31,9.38
2021-09-17,24.64125,5469700000000000.0,8.33,9.77
2021-09-18,13.58875,4829318000000000.0,8.29,9.3
2021-09-19,13.905833333333334,4324062000000000.0,8.26,9.86
2021-09-20,15.737916666666663,3951140000000000.0,8.32,9.91
2021-09-21,13.334583333333333,6046248000000000.0,8.25,9.86
2021-09-22,15.980416666666668,4967992000000000.0,8.26,9.55
2021-09-23,21.199583333333337,5026460000000000.0,8.18,9.89
2021-09-24,31.03916666666666,4239800000000000.0,8.17,9.79
2021-09-25,17.6475,5044734000000000.0,8.17,9.8
2021-09-26,16.644583333333337,4794562000000000.0,8.19,9.76
2021-09-27,18.279166666666665,4781060000000000.0,8.12,9.85
2021-09-28,12.585,5030430000000000.0,8.12,9.9
2021-09-29,11.870416666666666,4690138000000000.0,8.07,9.59
2021-09-30,28.318750000000005,4581946000000000.0,8.09,9.96
2021-10-01,42.57708333333333,5141280000000000.0,8.26,9.87
2021-10-02,18.13625,4781294000000000.0,8.16,9.76
2021-10-03,12.929166666666662,5612230000000000.0,7.99,9.65
2021-10-04,16.5375,4891166000000000.0,7.96,9.65
2021-10-05,18.1825,4434490000000000.0,7.92,10.13
2021-10-06,21.14958333333334,6313620000000000.0,7.95,9.94
2021-10-07,24.54416666666667,4878056000000000.0,8.1,9.96
2021-10-08,45.36208333333334,6817920000000000.0,8.23,9.76
2021-10-09,26.17583333333334,5441254000000000.0,8.1,9.66
2021-10-10,19.56083333333333,5779200000000000.0,7.93,9.68
2021-10-11,29.991666666666664,5295958000000000.0,8.11,9.57
2021-10-12,25.74750000000001,4976290000000000.0,8.26,9.57
2021-10-13,32.63833333333333,4949734000000000.0,8.37,9.4
2021-10-14,26.46166666666667,5617620000000000.0,8.3,9.1
2021-10-15,33.30875,5178450000000000.0,18.68416666666667,9.27
2021-10-16,27.71,5042556000000000.0,7.64,9.16
2021-10-17,18.582916666666662,4710470000000000.0,7.75,9.09
2021-10-18,16.122083333333332,6216770000000000.0,7.68,9.14
2021-10-19,23.68708333333333,4647660000000000.0,7.71,9.14
2021-10-20,31.210000000000004,4314346000000000.0,7.53,9.16
2021-10-21,43.78708333333335,4924850000000000.0,7.53,9.16
2021-10-22,23.10375,5480510000000000.0,7.63,9.16
2021-10-23,19.14208333333333,5998968000000000.0,7.61,9.09
2021-10-24,31.1475,5088520000000000.0,7.61,9.15
2021-10-25,26.405833333333334,5762736000000000.0,7.61,9.18
2021-10-26,16.019583333333333,4393600000000000.0,7.5,9.14
2021-10-27,14.71,4539988000000000.0,7.49,9.07
2021-10-28,15.808750000000002,4574690000000000.0,7.59,10.15
2021-10-29,26.491250000000004,4831488000000000.0,7.67,9.79
2021-10-30,20.78583333333333,4518880000000000.0,7.54,9.63
2021-10-31,29.227500000000003,5031100000000000.0,7.61,9.51
2021-11-01,27.35041666666667,5257142000000000.0,7.44,9.64
2021-11-02,12.221666666666666,6092810000000000.0,7.46,9.43
2021-11-03,15.604166666666664,4822684000000000.0,12.32,14.28
2021-11-04,14.02375,6382760000000000.0,17.63,19.47
2021-11-05,13.21,5478420000000000.0,21.22,15.0
