date,open_NO2,sate_NO2,"New Industrial Town, Faridabad - HSPCB","Sector 11, Faridabad - HSPCB","Sector 30, Faridabad - HSPCB","Sector- 16A, Faridabad - HSPCB"
2021-09-06,19.210833333333337,7987950000000000.0,1.0,12.53,34.46,34.46
2021-09-07,14.820833333333333,6072824000000000.0,1.01,12.5,28.7,28.7
2021-09-08,10.482916666666666,5373040000000000.0,1.0,12.67,18.47,18.47
2021-09-09,13.316250000000002,5070910000000000.0,1.0,12.69,18.93,18.93
2021-09-10,14.877083333333331,7982040000000000.0,1.0,12.7,25.24,25.24
2021-09-11,12.588750000000005,5196404000000000.0,0.99,12.7,26.14,26.14
2021-09-12,17.494166666666665,5638482000000000.0,0.99,12.69,35.72,35.72
2021-09-13,18.080416666666665,6054526000000000.0,1.0,37.56,46.8,46.8
2021-09-14,20.422083333333337,5431230000000000.0,1.0,31.225,33.36,33.36
2021-09-15,38.48625,8090968000000000.0,1.0,9.68,22.81,22.81
2021-09-16,20.760416666666668,8839546000000000.0,0.98,9.78,36.01,36.01
2021-09-17,15.609999999999998,4065670000000000.0,0.99,10.87,30.71,30.71
2021-09-18,10.591666666666669,1.251943e+16,0.99,10.53,27.37,27.37
2021-09-19,13.975416666666666,5372420000000000.0,1.0,10.57,21.35,21.35
2021-09-20,13.742083333333332,8722408000000000.0,0.99,10.68,26.25,26.25
2021-09-21,11.61875,4571530000000000.0,4.22,10.5,23.23,23.23
2021-09-22,15.972916666666665,8621114000000000.0,19.58,22.4625,25.25,25.25
2021-09-23,16.77625,5999840000000000.0,13.69,0.67,27.15,27.15
2021-09-24,16.02416666666667,3854100000000000.0,18.46,0.63,38.58,38.58
2021-09-25,14.7725,5308836000000000.0,19.58,0.77,30.37,30.37
2021-09-26,12.796250000000002,5659930000000000.0,14.04,23.09,19.22,19.22
2021-09-27,23.99833333333334,9805598000000000.0,17.01,2.09,44.04,44.04
2021-09-28,12.0575,4888470000000000.0,34.16,2.17,34.16,34.16
2021-09-29,11.559166666666668,5751854000000000.0,25.4,2.86,25.4,25.4
2021-09-30,24.63458333333333,5222640000000000.0,33.15,4.3,33.15,33.15
2021-10-01,28.870833333333337,5605396000000000.0,68.46,3.58,68.46,68.46
2021-10-02,41.0525,6601710000000000.0,56.16,2.24,56.16,56.16
2021-10-03,26.94416666666666,6284390000000000.0,39.8,25.608,39.8,39.8
2021-10-04,40.66666666666668,6222862000000000.0,2.84,1.78,49.42,49.42
2021-10-05,85.3,9254640000000000.0,46.52,1.75,46.52,46.52
2021-10-06,89.62375000000002,7605716000000000.0,24.21,1.67,63.81,63.81
2021-10-07,78.90666666666667,6629290000000000.0,10.68,1.77,71.42,71.42
2021-10-08,70.88499999999999,7044920000000000.0,39.57,1.48,83.97,83.97
2021-10-09,61.5375,8692610000000000.0,17.02,1.56,94.53,94.53
2021-10-10,43.37166666666666,9663910000000000.0,41.56,3.14,85.37,85.37
2021-10-11,58.970416666666665,8101658000000000.0,20.24,3.04,91.16,91.16
2021-10-12,83.34000000000002,9083150000000000.0,13.67,1.4,90.38,90.38
2021-10-13,69.61,8973644000000000.0,18.23,1.05,109.17,109.17
2021-10-14,68.21708333333332,6773820000000000.0,16.17,1.19,93.13,93.13
2021-10-15,107.82916666666668,6801734000000000.0,19.2,46.226,104.26,104.26
2021-10-16,41.50208333333333,7457220000000000.0,34.24,4.58,149.22,149.22
2021-10-17,24.860416666666666,5237536000000000.0,24.55,3.16,82.79,82.79
2021-10-18,41.99791666666666,8139710000000000.0,3.95,1.51,50.12,50.12
2021-10-19,46.95416666666665,7865970000000000.0,11.94,1.96,58.12,58.12
2021-10-20,57.40708333333336,7482260000000000.0,14.79,1.87,89.39,89.39
2021-10-21,27.36208333333333,1.01e+16,12.0,2.28,92.55,92.55
2021-10-22,35.96166666666666,6830892000000000.0,19.06,1.94,88.18,88.18
2021-10-23,22.82083333333333,8499760000000000.0,22.36,1.71,79.63,79.63
2021-10-24,21.48583333333333,7169046000000000.0,18.32,33.739999999999995,53.75,53.75
2021-10-25,86.82416666666666,6259600000000000.0,27.35,1.08,78.15,78.15
2021-10-26,87.60291666666666,8767820000000000.0,27.07,16.18,85.78,85.78
2021-10-27,77.35583333333332,2.166e+16,30.45,42.38,101.03,101.03
2021-10-28,94.27791666666668,9823860000000000.0,15.31,51.32,112.38,112.38
2021-10-29,108.74458333333337,7999018000000000.0,11.22,60.2,134.29,134.29
2021-10-30,39.43625,7075770000000000.0,9.8,60.91,113.61,113.61
2021-10-31,97.71333333333337,6332958000000000.0,9.08,55.056,104.92,104.92
2021-11-01,36.76833333333334,5814300000000000.0,13.83,54.49,125.24,125.24
2021-11-02,42.18,9139050000000000.0,32.81,35.91,89.6,89.6
2021-11-03,63.743750000000006,7051750000000000.0,50.55,27.39,110.31,110.31
2021-11-04,161.90916666666666,1.11e+16,38.49,42.65,129.73,129.73
2021-11-05,122.85375,8851912000000000.0,27.79,68.13,112.4,112.4
