file_name,label
"Chandigarh_Chandigarh_Sector-53, Chandigarh - CPCC.csv",12
"Maharashtra_Pune_Mhada Colony, Pune - IITM.csv",12
"Delhi_Delhi_Dwarka-Sector 8, Delhi - DPCC .csv",12
"Uttar Pradesh_Varanasi_Bhelupur, Varanasi - UPPCB.csv",13
"Maharashtra_Mumbai_Borivali East, Mumbai - MPCB.csv",13
"Maharashtra_Mumbai_Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB.csv",13
"Maharashtra_Mumbai_Borivali East, Mumbai - IITM.csv",13
"Chandigarh_Chandigarh_Sector-25, Chandigarh - CPCC.csv",13
"Karnataka_Bengaluru_BTM Layout, Bengaluru - CPCB.csv",13
"Maharashtra_Nashik_Gangapur Road, Nashik - MPCB.csv",13
"Karnataka_Bengaluru_BWSSB Kadabesanahalli, Bengaluru - CPCB.csv",13
"Kerala_Kochi_Vyttila, Kochi - Kerala PCB.csv",13
"Maharashtra_Mumbai_Powai, Mumbai - MPCB.csv",13
"Maharashtra_Mumbai_Vasai West, Mumbai - MPCB.csv",13
"Maharashtra_Mumbai_Khindipada-Bhandup West, Mumbai - IITM.csv",13
"Telangana_Hyderabad_ICRISAT Patancheru, Hyderabad - TSPCB.csv",13
"Telangana_Hyderabad_Central University, Hyderabad - TSPCB.csv",13
"Telangana_Hyderabad_Central University, Hyderabad - TSPCB.csv",13
"Maharashtra_Pune_MIT-Kothrud, Pune - IITM.csv",13
"Maharashtra_Mumbai_Siddharth Nagar-Worli, Mumbai - IITM.csv",13
"Maharashtra_Aurangabad_More Chowk Waluj, Aurangabad - MPCB.csv",13
"Uttar Pradesh_Varanasi_IESD Banaras Hindu University, Varanasi - UPPCB.csv",13
"Uttar Pradesh_Moradabad_Buddhi Vihar, Moradabad - UPPCB.csv",13
"Karnataka_Bengaluru_Bapuji Nagar, Bengaluru - KSPCB.csv",13
"Telangana_Hyderabad_Bollaram Industrial Area, Hyderabad - TSPCB.csv",13
"Karnataka_Bengaluru_Jayanagar 5th Block, Bengaluru - KSPCB.csv",13
"Uttar Pradesh_Gorakhpur_Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB.csv",13
"Meghalaya _Shillong_Lumpyngngad, Shillong - Meghalaya PCB.csv",13
"Tamil Nadu_Chennai_Velachery Res. Area, Chennai - CPCB.csv",13
"Maharashtra_Solapur_Solapur, Solapur - MPCB.csv",13
"Maharashtra_Mumbai_Colaba, Mumbai - MPCB.csv",13
"Karnataka_Bengaluru_Silk Board, Bengaluru - KSPCB.csv",13
"Karnataka_Bengaluru_Peenya, Bengaluru - CPCB.csv",13
"Uttar Pradesh_Lucknow_Kukrail Picnic Spot-1, Lucknow - UPPCB.csv",13
"Maharashtra_Mumbai_Bandra, Mumbai - MPCB.csv",13
"Maharashtra_Mumbai_Navy Nagar-Colaba, Mumbai - IITM.csv",14
"West Bengal_Kolkata_Jadavpur, Kolkata - WBPCB.csv",14
"West Bengal_Kolkata_Ballygunge, Kolkata - WBPCB.csv",14
"Uttar Pradesh_Agra_Shahjahan Garden, Agra - UPPCB.csv",14
"Maharashtra_Mumbai_Vile Parle West, Mumbai - MPCB.csv",14
"Uttar Pradesh_Agra_Shahjahan Garden, Agra - UPPCB.csv",14
"West Bengal_Kolkata_Fort William, Kolkata - WBPCB.csv",14
"Maharashtra_Mumbai_Deonar, Mumbai - IITM.csv",14
"Uttar Pradesh_Agra_Shahjahan Garden, Agra - UPPCB.csv",14
"Uttar Pradesh_Agra_Shahjahan Garden, Agra - UPPCB.csv",14
"Punjab_Ludhiana_Punjab Agricultural University, Ludhiana - PPCB.csv",14
"Bihar_Aurangabad_Gurdeo Nagar, Aurangabad - BSPCB.csv",14
"Uttar Pradesh_Kanpur_FTI Kidwai Nagar, Kanpur - UPPCB.csv",14
"Rajasthan_Kota_Shrinath Puram, Kota - RSPCB.csv",14
"Maharashtra_Mumbai_Bandra Kurla Complex, Mumbai - IITM.csv",14
"Maharashtra_Mumbai_Malad West, Mumbai - IITM.csv",14
"Uttar Pradesh_Moradabad_Eco Herbal Park, Moradabad - UPPCB.csv",14
"Delhi_Delhi_Lodhi Road, Delhi - IMD.csv",15
"Delhi_Delhi_Najafgarh, Delhi - DPCC.csv",15
"Delhi_Delhi_Aya Nagar, Delhi - IMD.csv",15
"West Bengal_Kolkata_Rabindra Bharati University, Kolkata - WBPCB.csv",15
"Uttar Pradesh_Agra_Sanjay Palace, Agra - UPPCB.csv",15
"Maharashtra_Pune_Revenue Colony-Shivajinagar, Pune - IITM.csv",16
"Delhi_Delhi_East Arjun Nagar, Delhi - CPCB.csv",16
"Maharashtra_Pune_Karve Road, Pune - MPCB.csv",16
"Madhya Pradesh_Indore_Chhoti Gwaltoli, Indore - MPPCB.csv",17
"Chandigarh_Chandigarh_Sector 22, Chandigarh - CPCC.csv",17
"Telangana_Hyderabad_IDA Pashamylaram, Hyderabad - TSPCB.csv",17
"Madhya Pradesh_Jabalpur_Marhatal, Jabalpur - MPPCB.csv",17
"Maharashtra_Mumbai_Kurla, Mumbai - MPCB.csv",17
"Maharashtra_Mumbai_Sion, Mumbai - MPCB.csv",17
"Rajasthan_Jaipur_Adarsh Nagar, Jaipur - RSPCB.csv",17
"Andhra Pradesh_Visakhapatnam_GVM Corporation, Visakhapatnam - APPCB.csv",17
"Delhi_Delhi_North Campus, DU, Delhi - IMD.csv",18
"Delhi_Delhi_Okhla Phase-2, Delhi - DPCC.csv",18
"Delhi_Delhi_Patparganj, Delhi - DPCC.csv",18
"Delhi_Delhi_Burari Crossing, Delhi - IMD.csv",18
"Delhi_Delhi_R K Puram, Delhi - DPCC.csv",18
"Delhi_Delhi_Alipur, Delhi - DPCC.csv",18
"Delhi_Delhi_CRRI Mathura Road, Delhi - IMD.csv",18
"Manipur_Imphal_DM College of Science, Imphal - Manipur PCB.csv",19
