date,open_SO2,sate_SO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2021-01-24,36.79541666666667,0.1060000032,8.75,12.69,17.43,19.225,9.13,10.4675,7.07,10.4675,8.53,3.05,9.98,15.39,9.98,11.82,9.63,8.39,13.63,2.55,19.225,15.37,17.49,14.23,3.75,5.01,12.88,10.4675,11.07,17.19,4.0,6.32,16.33,16.33,11.93,3.33,9.34,4.83,11.866666666666667,3.17,20.96,20.38
2021-01-25,55.304166666666674,-0.0020000027999999,8.8,14.24,17.64,20.465,6.28,10.892499999999998,6.53,10.892499999999998,8.206666666666665,2.96,13.83,14.23,13.83,9.57,8.35,9.16,16.0,10.39,20.465,15.84,15.78,13.13,3.53,4.71,15.1,10.892499999999998,11.98,17.84,3.66,9.21,15.68,15.68,13.27,4.09,7.18,4.68,11.06,2.53,23.37,21.01
2021-01-26,48.507,-0.469999999,10.03,15.02,17.17,17.89,9.03,12.685,6.2,12.685,8.643333333333333,4.08,10.06,23.3,10.06,10.42,11.75,9.79,14.68,2.71,17.89,16.77,17.89,13.28,4.49,9.19,16.03,12.685,10.59,20.76,4.71,11.08,15.54,15.54,15.24,7.53,7.64,9.57,10.84,4.17,21.6,22.33
2021-01-27,52.095,-0.07,14.96,16.37,23.63,18.785,7.94,15.4075,6.49,15.4075,12.396666666666668,3.87,13.69,26.73,13.69,14.25,13.23,11.97,19.67,5.21,18.785,18.86,18.04,8.120000000000001,4.81,13.15,17.83,15.4075,11.63,23.29,6.72,11.86,18.59,18.59,16.66,8.3,8.1,8.94,13.35,4.6,26.88,25.6
2021-01-28,62.59499999999999,0.1659999995999999,12.87,26.93,26.7,18.335,9.89,18.03,8.55,18.03,10.356666666666667,6.12,17.5,28.7,17.5,12.94,21.39,11.22,22.36,6.26,18.335,21.27,18.62,17.04,5.89,20.45,21.25,18.03,13.01,25.23,7.57,18.23,29.25,29.25,26.45,10.54,10.33,13.39,11.26,9.15,25.7,29.71
2021-01-29,41.97166666666666,0.270000011,13.08,15.02,19.95,20.64,8.68,13.56,9.36,13.56,11.566666666666668,4.94,12.73,26.76,12.73,12.26,16.15,9.98,14.97,5.91,20.64,17.52,18.46,18.47,5.84,11.8,16.9,13.56,11.29,20.56,6.49,12.93,22.91,22.91,14.11,8.94,11.89,11.69,12.24,5.81,30.65,24.9
2021-01-30,32.95166666666666,0.3159999926,17.64,19.43,25.44,23.285,8.39,14.9475,4.28,14.9475,14.526666666666666,4.76,15.7,25.86,15.7,11.9,17.79,11.91,18.39,5.01,23.285,16.76,19.84,20.73,7.17,16.51,12.73,14.9475,12.22,18.0,7.38,16.85,22.64,22.64,16.77,11.93,4.72,8.96,17.06,8.79,27.1,27.48
2021-01-31,81.44041666666665,0.569999993,13.83,18.67,21.01,24.395,9.34,15.525,4.88,15.525,20.19333333333333,4.43,16.42,26.8,16.42,12.43,16.4,12.0,20.65,6.18,24.395,17.54,20.14,19.49,12.17,14.63,20.61,15.525,13.54,21.79,6.32,16.78,18.38,18.38,20.16,8.28,10.97,10.08,13.63,8.46,25.27,31.39
2021-02-01,102.04375,0.2619999984,15.57,30.49,21.13,22.19,10.11,16.96,11.64,16.96,15.136666666666663,4.76,14.98,37.12,14.98,15.17,20.69,14.23,18.65,16.47,22.19,16.8,18.7,17.59,10.09,19.85,18.12,16.96,12.02,23.39,11.17,12.23,22.19,22.19,17.71,9.3,12.04,15.04,15.74,7.11,35.36,33.51
2021-02-02,99.22208333333332,-1.19000006,19.76,23.87,27.44,20.465,10.43,19.9525,4.2,19.9525,18.66333333333333,6.06,19.04,34.14,19.04,18.17,29.84,34.6,19.15,2.93,20.465,20.45,20.92,26.22,10.89,24.55,17.43,19.9525,14.12,23.91,11.05,25.25,28.78,28.78,25.09,14.71,13.11,14.17,25.62,9.48,35.08,39.9
