date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2021-05-15,1.3608333333333331,3219908000000000.0,4.55,4.55
2021-05-16,2.2808333333333337,3560654000000000.0,3.09,3.09
2021-05-17,1.9387499999999995,3873830000000000.0,3.33,3.33
2021-05-18,1.6779166666666667,3189664000000000.0,5.07,5.07
2021-05-19,3.37375,3256498000000000.0,4.18,4.18
2021-05-20,3.852083333333334,3855440000000000.0,3.56,3.56
2021-05-21,1.5525,3704156000000000.0,3.71,3.71
2021-05-22,1.7095833333333337,2582590000000000.0,4.72,4.72
2021-05-23,10.914583333333333,4377702000000000.0,7.2,7.2
2021-05-24,12.803333333333336,4916510000000000.0,3.92,3.92
2021-05-25,3.080833333333333,3057356180000000.0,3.46,3.46
2021-05-26,6.347083333333335,3518378000000000.0,1.96,1.96
2021-05-27,5.606666666666666,3060100000000000.0,1.95,1.95
2021-05-28,8.562083333333334,4151560000000000.0,2.94,2.94
2021-05-29,2.5775,3269666000000000.0,2.88,2.88
2021-05-30,2.2637499999999995,4198970000000000.0,3.93,3.93
2021-05-31,3.907083333333333,4267146000000000.0,3.44,3.44
2021-06-01,6.447499999999999,3126028000000000.0,3.92,3.92
2021-06-02,2.605833333333333,4257042000000000.0,2.38,2.38
2021-06-03,2.33625,3755240000000000.0,3.52,3.52
2021-06-04,2.206666666666667,5380130000000000.0,2.4,2.4
2021-06-05,2.50625,4505680000000000.0,3.42,3.42
2021-06-06,3.4762500000000003,3073950800000000.0,2.16,2.16
2021-06-07,4.057916666666666,3794946000000000.0,3.59,3.59
2021-06-08,4.747083333333333,2903376000000000.0,4.02,4.02
2021-06-09,18.49708333333333,4850228000000000.0,5.0,5.0
2021-06-10,17.190833333333334,3106098000000000.0,2.6,2.6
2021-06-11,5.588333333333332,3347148000000000.0,2.51,2.51
2021-06-12,7.236666666666667,3098316000000000.0,1.83,1.83
2021-06-13,5.018333333333332,6133010000000000.0,1.69,1.69
2021-06-14,2.7991666666666664,4175450000000000.0,2.32,2.32
2021-06-15,3.4058333333333333,6834130000000000.0,2.28,2.28
2021-06-16,2.960833333333333,4665210000000000.0,2.19,2.19
2021-06-17,2.31875,3008540000000000.0,2.53,2.53
2021-06-18,2.0850000000000004,3632326000000000.0,1.79,1.79
2021-06-19,3.01375,3150164000000000.0,2.09,2.09
2021-06-20,4.465,2291106000000000.0,1.81,1.81
2021-06-21,6.693750000000001,2559178180000000.0,3.02,3.02
2021-06-22,2.994583333333333,2834396180000000.0,3.14,3.14
2021-06-23,3.52125,5559350000000000.0,2.3,2.3
2021-06-24,3.415833333333333,3689704000000000.0,3.34,3.34
2021-06-25,2.5708333333333333,2755344000000000.0,2.83,2.83
2021-06-26,2.105833333333333,3076892000000000.0,3.01,3.01
2021-06-27,2.0854166666666667,3166796000000000.0,2.54,2.54
2021-06-28,4.521666666666667,2789888800000000.0,3.44,3.44
2021-06-29,6.039166666666667,2552892180000000.0,3.32,3.32
2021-06-30,5.937083333333335,3246214000000000.0,3.65,3.65
2021-07-01,5.001249999999999,3560184000000000.0,2.55,2.55
2021-07-02,5.249166666666665,3580528180000000.0,2.76,2.76
2021-07-03,3.880416666666667,3759458000000000.0,2.63,2.63
2021-07-04,2.6587499999999995,3451142000000000.0,1.35,1.35
2021-07-05,3.900000000000001,2964812180000000.0,3.51,3.51
2021-07-06,4.587083333333333,2849458000000000.0,2.75,2.75
2021-07-07,14.119583333333331,2857424000000000.0,2.22,2.22
2021-07-08,6.386666666666667,2699900180000000.0,2.69,2.69
2021-07-09,28.850416666666664,3229794000000000.0,2.53,2.53
2021-07-10,11.017916666666665,4217654000000000.0,2.01,2.01
2021-07-11,8.018333333333333,3699252000000000.0,1.77,1.77
2021-07-12,10.31166666666667,3273150000000000.0,2.32,2.32
2021-07-13,4.760000000000001,3080360000000000.0,2.12,2.12
2021-07-14,2.925416666666667,3584500000000000.0,3.26,3.26
2021-07-15,3.5600000000000005,3731828000000000.0,3.15,3.15
2021-07-16,4.245416666666666,3609268000000000.0,3.86,3.86
2021-07-17,4.785833333333332,2827620000000000.0,2.42,2.42
2021-07-18,5.033333333333333,3028012000000000.0,2.42,2.42
2021-07-19,15.8975,3073424000000000.0,2.43,2.43
2021-07-20,10.041666666666666,3002174180000000.0,2.97,2.97
2021-07-21,13.815416666666664,3446086000000000.0,2.89,2.89
2021-07-22,5.102916666666666,3903150000000000.0,1.78,1.78
2021-07-23,2.0358333333333336,3246472000000000.0,1.46,1.46
2021-07-24,2.58625,3500748000000000.0,0.44,0.44
2021-07-25,3.3212500000000005,3102526000000000.0,1.21,1.21
2021-07-26,15.85875,3747112000000000.0,2.65,2.65
2021-07-27,3.142083333333334,3878112000000000.0,2.16,2.16
2021-07-28,2.155,3141492800000000.0,1.45,1.45
2021-07-29,1.4587500000000002,5989800000000000.0,1.04,1.04
2021-07-30,2.816666666666667,2924172000000000.0,1.49,1.49
2021-07-31,3.22,2835406000000000.0,1.22,1.22
2021-08-01,7.562916666666669,3862060000000000.0,1.32,1.32
2021-08-02,7.116250000000001,3029422000000000.0,3.92,3.92
2021-08-03,7.582083333333331,4146304000000000.0,2.37,2.37
2021-08-04,7.645833333333333,3126660000000000.0,1.99,1.99
2021-08-05,13.75291666666667,3008630000000000.0,2.85,2.85
2021-08-06,7.090833333333333,3046472800000000.0,2.12,2.12
2021-08-07,3.4275,3975316000000000.0,2.95,2.95
2021-08-08,2.805,3224680000000000.0,2.66,2.66
2021-08-09,4.17,3390244000000000.0,2.43,2.43
2021-08-10,4.50375,4003750000000000.0,3.03,3.03
2021-08-11,4.623749999999999,4365510000000000.0,2.58,2.58
2021-08-12,4.012916666666668,3381944000000000.0,3.09,3.09
2021-08-13,6.022083333333332,2812310000000000.0,3.14,3.14
2021-08-14,4.731666666666667,3834240000000000.0,2.72,2.72
2021-08-15,6.023333333333333,3196152000000000.0,2.43,2.43
2021-08-16,4.148749999999999,2252238000000000.0,2.78,2.78
2021-08-17,4.330833333333333,3542858000000000.0,3.67,3.67
2021-08-18,3.9254166666666666,2987348000000000.0,2.4,2.4
2021-08-19,4.385416666666667,3524618000000000.0,1.92,1.92
2021-08-20,5.517916666666667,4037174000000000.0,4.56,4.56
2021-08-21,2.18625,3464764000000000.0,3.03,3.03
2021-08-22,3.772916666666666,3329246000000000.0,2.23,2.23
2021-08-23,4.622916666666666,2563456000000000.0,3.36,3.36
2021-08-24,4.065833333333333,4443566000000000.0,3.27,3.27
2021-08-25,5.142916666666667,3212544000000000.0,3.13,3.13
2021-08-26,5.33875,3591200000000000.0,3.88,3.88
2021-08-27,13.117916666666666,2766420000000000.0,3.22,3.22
2021-08-28,12.07375,6338670000000000.0,2.97,2.97
2021-08-29,10.552083333333334,3033634000000000.0,2.53,2.53
2021-08-30,32.9775,2873550000000000.0,3.62,3.62
2021-08-31,13.222500000000002,3716616000000000.0,2.98,2.98
2021-09-01,19.535833333333333,2820074000000000.0,7.6,7.6
2021-09-02,12.499166666666667,3791486000000000.0,5.65,5.65
2021-09-03,17.106249999999992,3394654000000000.0,4.91,4.91
2021-09-04,15.852916666666667,4365744000000000.0,5.56,5.56
