date,open_NO2,sate_NO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2021-06-06,6.098749999999999,4905920000000000.0,45.81,45.81,45.81
2021-06-07,10.704166666666667,4280486000000000.0,71.92,71.92,71.92
2021-06-08,7.031666666666669,6561190000000000.0,79.02,79.02,79.02
2021-06-09,5.751666666666668,2451510000000000.0,53.89,53.89,53.89
2021-06-10,6.305833333333333,4711358000000000.0,35.59,35.59,35.59
2021-06-11,9.36125,4942240000000000.0,45.36,45.36,45.36
2021-06-12,5.026666666666667,5330550000000000.0,49.59,49.59,49.59
2021-06-13,6.24625,5146600000000000.0,43.09,43.09,43.09
2021-06-14,10.768333333333333,4164389800000000.0,44.64,44.64,44.64
2021-06-15,13.895833333333336,7056630000000000.0,42.54,42.54,42.54
2021-06-16,9.113749999999998,7917570000000000.0,36.6,36.6,36.6
2021-06-17,7.94,5835460000000000.0,28.56,28.56,28.56
2021-06-18,8.587499999999999,4065088000000000.0,36.61,36.61,36.61
2021-06-19,14.320416666666668,4480882000000000.0,30.8,30.8,30.8
2021-06-20,18.37541666666667,4019117800000000.0,40.72,40.72,40.72
2021-06-21,13.079583333333334,5722710000000000.0,47.53,47.53,47.53
2021-06-22,13.204166666666673,5304460000000000.0,46.28,46.28,46.28
2021-06-23,7.777916666666666,4784524000000000.0,33.18,33.18,33.18
2021-06-24,19.70458333333333,4078156000000000.0,27.58,27.58,27.58
2021-06-25,16.151666666666667,5140280000000000.0,25.21,25.21,25.21
2021-06-26,6.760000000000001,4438690000000000.0,23.09,23.09,23.09
2021-06-27,9.002083333333331,4618836000000000.0,22.19,22.19,22.19
2021-06-28,21.00333333333333,5498120000000000.0,31.43,31.43,31.43
2021-06-29,13.387499999999998,6730370000000000.0,64.82,64.82,64.82
2021-06-30,12.046250000000002,3894410000000000.0,75.35,75.35,75.35
2021-07-01,8.472083333333334,3719200000000000.0,38.35,38.35,38.35
2021-07-02,8.860000000000001,7442150000000000.0,36.85,36.85,36.85
2021-07-03,14.619166666666665,3343910000000000.0,35.88,35.88,35.88
2021-07-04,10.682083333333331,5175676000000000.0,30.88,30.88,30.88
2021-07-05,14.309583333333334,5562210000000000.0,37.77,37.77,37.77
2021-07-06,13.562916666666668,4706898000000000.0,34.75,34.75,34.75
2021-07-07,21.175833333333337,4676826000000000.0,40.51,40.51,40.51
2021-07-08,13.477500000000004,4219330000000000.0,36.3,36.3,36.3
2021-07-09,8.525,4517132000000000.0,30.61,30.61,4.62
2021-07-10,5.9745833333333325,5032990000000000.0,22.81,22.81,4.8
2021-07-11,8.339166666666666,4982214000000000.0,21.48,21.48,3.87
2021-07-12,5.853750000000001,5083610000000000.0,24.72,24.72,2.77
2021-07-13,4.867083333333333,4923306000000000.0,26.33,26.33,2.11
2021-07-14,4.6066666666666665,4877470000000000.0,23.58,23.58,5.44
2021-07-15,5.982916666666667,5293680000000000.0,22.22,22.22,4.24
2021-07-16,8.572916666666668,4040320000000000.0,24.8,24.8,3.49
2021-07-17,11.331666666666663,4665728000000000.0,31.85,31.85,6.16
2021-07-18,11.950833333333334,5000302000000000.0,25.89,25.89,5.13
2021-07-19,18.20125,4594780000000000.0,33.31,33.31,4.17
2021-07-20,12.81375,4436894000000000.0,28.66,28.66,4.85
2021-07-21,17.930000000000003,4717846000000000.0,23.87,23.87,3.78
2021-07-22,16.333333333333332,4255586000000000.0,28.91,28.91,3.23
2021-07-23,10.155,5556322000000000.0,34.1,34.1,3.55
2021-07-24,4.105416666666667,5727990000000000.0,23.29,23.29,3.03
2021-07-25,6.152083333333334,5270848000000000.0,20.51,20.51,2.46
2021-07-26,10.134166666666664,3552260000000000.0,22.33,22.33,4.86
2021-07-27,17.036666666666672,5019080000000000.0,32.44,32.44,5.01
2021-07-28,13.83125,5169274000000000.0,32.93,32.93,4.14
2021-07-29,14.951250000000002,4744856000000000.0,27.35,27.35,4.43
2021-07-30,14.955416666666666,4900264000000000.0,30.4,30.4,8.02
2021-07-31,7.425833333333334,3945540000000000.0,29.43,29.43,4.84
2021-08-01,6.867916666666666,4829580000000000.0,13.57,13.57,2.37
2021-08-02,5.775416666666666,4118673800000000.0,19.29,19.29,4.43
2021-08-03,6.450833333333333,4740422000000000.0,19.2,19.2,4.42
2021-08-04,7.883333333333333,5080247800000000.0,20.4,20.4,5.29
2021-08-05,8.405,5070684000000000.0,25.27,25.27,3.51
2021-08-06,9.33,4539510000000000.0,27.84,27.84,4.78
2021-08-07,9.439583333333331,4577670000000000.0,26.77,26.77,5.16
2021-08-08,11.94875,5011582000000000.0,24.25,24.25,3.44
2021-08-09,18.41541666666667,2959710000000000.0,37.25,37.25,3.71
2021-08-10,14.302916666666668,4777464000000000.0,38.37,38.37,6.81
2021-08-11,11.15,5040040000000000.0,42.98,42.98,6.15
2021-08-12,15.081250000000002,4421630000000000.0,37.5,37.5,5.67
2021-08-13,11.64875,5148958000000000.0,43.38,43.38,9.93
2021-08-14,8.794583333333335,5059711800000000.0,40.8,40.8,8.19
2021-08-15,11.153333333333334,4830710000000000.0,35.55,35.55,6.35
2021-08-16,20.5875,4969208800000000.0,47.1,47.1,10.86
2021-08-17,12.432083333333336,4486340000000000.0,44.53,44.53,13.2
2021-08-18,10.527083333333332,5088650000000000.0,39.67,39.67,12.66
2021-08-19,12.527916666666664,5260740000000000.0,36.41,36.41,8.09
2021-08-20,20.76708333333334,5185748000000000.0,31.59,31.59,4.16
2021-08-21,10.389583333333334,5220874000000000.0,30.72,30.72,7.3
2021-08-22,14.70125,4259910000000000.0,29.57,29.57,7.84
2021-08-23,12.588333333333331,4908172000000000.0,32.43,32.43,8.2
2021-08-24,10.20625,4450498000000000.0,33.6,33.6,7.2
2021-08-25,9.146666666666668,3260750000000000.0,32.6,32.6,7.04
2021-08-26,11.857916666666666,4750812000000000.0,31.71,31.71,8.6
2021-08-27,16.351666666666667,4006098000000000.0,31.83,31.83,9.89
2021-08-28,10.09375,4606480000000000.0,69.91,69.91,6.74
2021-08-29,6.8525,4712928000000000.0,67.35,67.35,6.03
2021-08-30,9.3775,4408716000000000.0,77.42,77.42,7.13
2021-08-31,14.022916666666664,5238340000000000.0,73.03,73.03,11.17
2021-09-01,10.751666666666669,4262010000000000.0,70.43,70.43,15.02
2021-09-02,16.355,4111080000000000.0,78.5,78.5,15.5
2021-09-03,21.521666666666665,4379920000000000.0,5.42,58.15,14.74
2021-09-04,13.967916666666666,5223570000000000.0,5.58,27.09,14.64
2021-09-05,20.36208333333333,4011460000000000.0,6.81,32.46,10.35
2021-09-06,10.027083333333334,4823640000000000.0,8.19,68.63,10.15
2021-09-07,5.999583333333335,5898780000000000.0,4.77,91.76,6.0
2021-09-08,11.385416666666664,4706526000000000.0,3.75,56.65,5.71
2021-09-09,13.662916666666666,5589810000000000.0,4.15,54.02,5.28
2021-09-10,13.531666666666666,4423420000000000.0,4.24,57.06,5.97
2021-09-11,11.070833333333336,4104958000000000.0,6.56,56.11,6.48
2021-09-12,9.228750000000002,4114290000000000.0,5.87,44.46,10.0
2021-09-13,6.847916666666667,3477080000000000.0,5.54,51.85,8.27
2021-09-14,4.61375,4533034000000000.0,5.29,49.85,5.03
2021-09-15,12.400416666666668,5359986000000000.0,3.96,43.98,3.11
2021-09-16,15.65625,4607236000000000.0,4.54,41.74,3.45
2021-09-17,10.3875,3930080000000000.0,4.24,38.09,5.24
2021-09-18,10.377916666666668,2994430000000000.0,4.61,38.79,11.06
2021-09-19,14.371250000000003,4859680000000000.0,6.67,36.23,13.06
2021-09-20,9.685416666666669,7332420000000000.0,7.52,43.54,9.47
2021-09-21,9.706666666666663,4319210000000000.0,5.82,48.98,8.61
2021-09-22,7.937500000000003,5073494000000000.0,6.74,58.84,8.09
2021-09-23,6.44625,5431840000000000.0,6.2,44.82,4.72
2021-09-24,15.080833333333333,4962024000000000.0,5.16,42.95,4.6
2021-09-25,15.3625,4151186000000000.0,5.05,47.24,5.36
2021-09-26,8.947083333333335,5458610000000000.0,6.98,46.91,6.04
2021-09-27,5.437499999999999,4735456000000000.0,12.74,42.02,5.23
2021-09-28,5.1379166666666665,4787040000000000.0,6.26,37.87,5.06
2021-09-29,8.06,5377152000000000.0,5.95,39.58,8.34
2021-09-30,16.225833333333334,4473650000000000.0,5.94,39.93,8.51
2021-10-01,19.75,5028498000000000.0,7.38,41.8,11.02
2021-10-02,13.771666666666665,4317010000000000.0,6.59,46.88,12.55
2021-10-03,9.932083333333331,4336338000000000.0,7.51,55.38,13.49
2021-10-04,20.34,4701420000000000.0,6.9,47.64,14.56
2021-10-05,29.07,5070320000000000.0,8.35,1.46,13.57
2021-10-06,30.373750000000005,5502602000000000.0,8.96,8.96,15.65
2021-10-07,21.18875,6077600000000000.0,11.13,11.13,20.08
2021-10-08,25.43875,4399818000000000.0,14.63,4.61,27.99
2021-10-09,22.194166666666664,5164390000000000.0,15.72,15.72,30.2
2021-10-10,27.36958333333333,4714768000000000.0,16.98,16.98,22.92
2021-10-11,33.65708333333333,5194730000000000.0,20.5,0.38,24.04
2021-10-12,39.78416666666666,6298440000000000.0,18.45,18.45,20.31
2021-10-13,12.966666666666669,5444560000000000.0,20.68,20.68,17.47
2021-10-14,21.97708333333333,5525720000000000.0,17.4,17.4,16.86
2021-10-15,40.91416666666666,4469114000000000.0,25.08,25.08,17.89
2021-10-16,7.322916666666664,5529900000000000.0,22.09,0.5,14.69
2021-10-17,5.706250000000001,4558926000000000.0,12.32,12.32,9.06
2021-10-18,10.770416666666664,5137980000000000.0,9.87,9.87,7.49
2021-10-19,11.420000000000002,5455574000000000.0,11.6,11.6,9.2
2021-10-20,13.814583333333331,5189760000000000.0,15.33,15.33,13.92
2021-10-21,11.177083333333336,4462540000000000.0,13.18,13.18,13.54
2021-10-22,19.754166666666663,8573250000000000.0,15.75,15.75,14.28
2021-10-23,29.197916666666668,4699720000000000.0,18.05,18.05,12.79
2021-10-24,27.68583333333334,4018862000000000.0,12.1,12.1,9.24
2021-10-25,24.10041666666666,4408960000000000.0,11.85,11.85,11.86
2021-10-26,25.547083333333333,5937224000000000.0,12.23,12.23,10.59
2021-10-27,31.136666666666677,4324590000000000.0,17.36,115.94,15.19
2021-10-28,38.38708333333333,5469450000000000.0,24.54,9.3,17.61
2021-10-29,42.13625000000001,5403734000000000.0,26.78,2.1,20.34
2021-10-30,14.98833333333333,5445740000000000.0,28.51,0.3,22.02
2021-10-31,26.640000000000004,4691510000000000.0,28.55,28.55,20.59
2021-11-01,39.6925,4883410000000000.0,33.41,104.47,17.7
2021-11-02,36.875,4105538000000000.0,27.14,69.71,14.32
2021-11-03,55.173333333333325,4638320000000000.0,29.28,79.04,13.73
2021-11-04,51.39458333333334,4124860000000000.0,22.73,86.14,18.75
2021-11-05,36.63708333333333,5709280000000000.0,21.46,76.03,14.47
2021-11-06,14.0925,5044870000000000.0,19.35,75.41,15.37
2021-11-07,34.605599999999995,4049836000000000.0,29.19,82.47,16.79
2021-11-08,40.02875,5472940000000000.0,29.73,92.94,18.16
2021-11-09,28.55708333333334,4632606000000000.0,34.77,98.6,19.75
2021-11-10,40.45,4378750000000000.0,30.7,97.9,26.06
2021-11-11,59.681666666666665,4860984000000000.0,32.5,108.91,19.61
2021-11-12,75.52833333333334,4400660000000000.0,29.66,111.8,24.06
