date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2021-03-11,6.846249999999999,0.1036121704,3.99,8.72
2021-03-12,12.644583333333337,-0.0119382759999999,4.44,8.43
2021-03-13,4.874999999999999,-0.303304583,1.31,9.12
2021-03-14,6.084782608695653,-0.02219799,7.47,9.0
2021-03-15,4.692916666666666,0.170082062,1.6,8.27
2021-03-16,5.3,-0.047879797,4.36,8.47
2021-03-17,8.285833333333334,0.0708875548,4.56,8.18
2021-03-18,5.730833333333333,0.159976915,3.66,7.87
2021-03-19,1.6720833333333334,-0.1256441282,3.62,8.27
2021-03-20,1.1204166666666666,0.0360500104,3.0,9.18
2021-03-21,3.52125,0.006674403,2.69,8.42
2021-03-22,6.871250000000001,0.0673012224,3.25,9.04
2021-03-23,7.061666666666668,-0.027756717,4.74,8.89
2021-03-24,4.504166666666666,0.234952852,5.59,9.04
2021-03-25,5.973333333333333,0.0700584778,3.77,8.61
2021-03-26,5.135833333333334,0.0160391028,3.24,8.17
2021-03-27,2.6254166666666667,0.0111131699999999,4.62,8.57
2021-03-28,3.150416666666666,0.0217493855999999,4.95,8.91
2021-03-29,1.9291666666666665,-0.224280775,2.81,9.76
2021-03-30,2.0237500000000006,0.02492568497905236,2.31,8.74
2021-03-31,0.7095833333333333,-0.183283821,1.75,9.14
2021-04-01,3.282083333333333,-0.0581613976,3.84,8.01
2021-04-02,1.0508333333333333,-0.0080374358,4.32,8.59
2021-04-03,0.96625,0.020023014,2.81,7.55
2021-04-04,2.4658333333333333,0.0111512314,5.74,9.34
2021-04-05,2.981666666666666,0.069260587,3.96,9.43
2021-04-06,3.951666666666666,-0.161067411,3.09,9.08
2021-04-07,2.6529166666666666,-0.243463054,4.85,9.89
2021-04-08,2.4258333333333333,-0.13219808,0.73,8.96
2021-04-09,1.3708333333333338,-0.013308532,4.48,11.75
2021-04-10,1.829583333333333,-0.129958495,4.57,10.58
2021-04-11,2.642916666666667,0.004470311,2.73,9.5
2021-04-12,4.674999999999999,0.0844260706,2.49,12.52
2021-04-13,3.2937500000000006,0.0164441611999999,5.76,8.95
2021-04-14,0.8775000000000001,-0.300045878,3.95,8.48
2021-04-15,1.3949999999999998,-0.061093517,2.23,8.29
2021-04-16,0.9775,0.065538049,5.31,8.94
2021-04-17,1.019583333333333,0.289999992,3.85,10.47
2021-04-18,2.1325,0.0825050852,5.5,6.69
2021-04-19,1.7475000000000005,-0.029999999,2.86,8.81
2021-04-20,2.0270833333333336,-0.0156589704,2.34,8.24
2021-04-21,2.806666666666666,-0.0032459124,4.1,8.04
2021-04-22,2.6279166666666667,0.003288569,4.3,9.53
2021-04-23,2.5391666666666666,-0.039999999,4.06,6.1
2021-04-24,2.061666666666667,0.161039516,3.79,7.57
2021-04-25,1.6720833333333334,-0.098938607,3.05,9.12
2021-04-26,2.338333333333333,0.219999999,1.43,9.0
2021-04-27,1.7220833333333332,-0.0023876846,2.3,8.02
2021-04-28,1.1508333333333336,0.0704133228,4.63,9.51
2021-04-29,1.0233333333333332,-0.0346572686,0.9,8.06
2021-04-30,2.1066666666666665,0.130029365,3.62,8.72
2021-05-01,1.22,0.115037501,4.44,8.7
2021-05-02,3.0125000000000006,-0.045524031,4.09,9.38
2021-05-03,1.382083333333333,0.1048874901999999,1.21,9.63
2021-05-04,3.067083333333334,0.0088581028,3.84,10.69
2021-05-05,4.288333333333333,0.0598466955999999,3.77,8.55
2021-05-06,2.4845833333333336,0.1557055695999999,1.34,10.11
2021-05-07,3.4066666666666667,0.0714831703999999,2.4,7.63
2021-05-08,2.0050000000000003,-0.124957971,2.54,9.58
2021-05-09,3.4166666666666665,0.0853436155999999,4.0,8.01
2021-05-10,0.5133333333333334,0.03570883,1.47,8.86
2021-05-11,0.41125,0.0261700937999999,1.45,8.03
2021-05-12,0.4800000000000001,-0.061047942,2.63,8.78
2021-05-13,0.3804166666666667,0.06028898,2.82,7.61
2021-05-14,0.52875,-0.0259412615999999,9.69,9.69
2021-05-15,0.48375,0.0777878912,8.98,8.98
2021-05-16,0.8574999999999999,0.0579939248,8.92,8.92
2021-05-17,0.8825000000000002,0.170050383,8.54,8.54
2021-05-18,0.50625,-0.057123154,9.43,9.43
2021-05-19,0.4033333333333333,0.07,7.88,7.88
2021-05-20,0.3654166666666667,0.0442909948,8.02,8.02
2021-05-21,0.455,0.0295681059999999,9.77,9.77
2021-05-22,0.3062500000000001,-0.0297099648,8.94,8.94
2021-05-23,0.5829166666666667,0.0564534471999999,10.06,10.06
2021-05-24,0.3566666666666665,0.114200585,1.45,11.58
