date,open_NO2,sate_NO2,"Bapuji Nagar, Bengaluru - KSPCB","BTM Layout, Bengaluru - CPCB","BWSSB Kadabesanahalli, Bengaluru - CPCB","City Railway Station, Bengaluru - KSPCB","Hebbal, Bengaluru - KSPCB","Hombegowda Nagar, Bengaluru - KSPCB","Jayanagar 5th Block, Bengaluru - KSPCB","Peenya, Bengaluru - CPCB","Sanegurava Halli, Bengaluru - KSPCB","Silk Board, Bengaluru - KSPCB"
2021-02-19,9.814583333333331,4343570000000000.0,38.02,29.11,17.36,27.66,29.37,19.64,26.8,22.85,13.09,48.59
2021-02-20,12.5075,4236816000000000.0,3.05,18.1,18.07,27.97,34.65,21.06,26.75,23.98,12.71,46.12
2021-02-21,13.672083333333331,2944870000000000.0,2.86,17.68,40.33,28.06,36.59,16.12,24.58,18.25,12.1,40.33
2021-02-22,18.62833333333333,4997138000000000.0,3.26,28.91,13.24,27.97,40.47,22.36,25.64,19.7,12.36,35.47
2021-02-23,19.7175,4037680000000000.0,39.54,16.06,31.74,26.77,43.63,25.91,27.11,23.68,13.91,47.99
2021-02-24,24.894166666666667,3586094000000000.0,70.0,28.29,30.88,27.77,50.81,27.86,27.15,25.67,15.23,39.61
2021-02-25,34.500416666666666,4146590000000000.0,76.46,66.23,47.04,27.55,47.22,39.35,31.39,25.02,15.39,66.23
2021-02-26,38.60833333333334,4800430000000000.0,71.35,46.79,37.9,27.6,43.62,36.43,32.19,29.83,15.09,46.79
2021-02-27,20.57791666666667,5909890000000000.0,73.06,52.69,52.69,27.49,47.44,35.12,29.26,28.59,15.37,52.69
2021-02-28,16.61375,4748680000000000.0,56.47,38.56,37.66,15.22,53.46,31.8,26.03,22.29,15.22,37.66
2021-03-01,19.8125,4445350000000000.0,62.2,52.57,45.0,26.03,66.12,34.71,28.24,28.64,15.34,76.98
2021-03-02,15.684583333333336,4476270000000000.0,52.85,35.15,40.12,26.17,48.84,27.61,28.45,26.49,15.13,56.02
2021-03-03,13.66375,3759346000000000.0,59.51,23.67,40.12,26.18,56.89,33.13,29.26,28.72,15.39,65.67
2021-03-04,14.879166666666668,4643640000000000.0,53.58,55.21,43.53,26.76,54.34,28.85,27.61,31.36,15.58,59.85
2021-03-05,19.126666666666665,4191242000000000.0,41.34,40.31,38.1,27.2,49.91,26.38,28.1,35.07,15.35,47.47
2021-03-06,18.33208333333333,5037530000000000.0,57.07,63.7,41.08,30.25,43.8,30.2,29.47,35.58,11.95,68.02
2021-03-07,10.81875,5220040000000000.0,52.32,46.03,42.26,37.51,48.16,26.75,27.74,32.69,13.58,49.47
2021-03-08,11.732083333333335,5186170000000000.0,41.39,35.22,2.78,33.31,43.51,24.6,29.11,34.89,13.28,36.49
2021-03-09,13.095,4875350000000000.0,29.16,30.12,3.01,13.65,13.65,20.57,26.17,34.0,13.65,20.67
2021-03-10,10.345833333333337,4267812000000000.0,30.19,32.7,2.97,13.08,43.66,21.16,26.61,33.04,13.08,24.63
2021-03-11,12.017916666666666,5512840000000000.0,22.64,27.82,2.97,13.79,27.74,15.95,24.94,29.06,13.79,17.17
2021-03-12,13.342083333333331,3862988000000000.0,33.08,34.89,2.59,14.06,45.82,23.05,26.75,31.65,14.06,22.74
2021-03-13,10.42625,5827230000000000.0,37.03,31.37,2.94,18.56,43.23,21.71,26.39,32.1,18.56,37.72
2021-03-14,13.055652173913044,4170910000000000.0,28.0,30.78,2.17,28.0,37.15,19.52,25.33,27.82,19.52,22.01
2021-03-15,16.350833333333338,5342410000000000.0,34.87,39.37,2.99,13.44,44.04,24.35,27.4,31.17,13.44,42.84
2021-03-16,15.970833333333331,6174590000000000.0,71.9,39.57,2.9,13.25,47.91,26.15,24.43,32.97,13.25,35.42
2021-03-17,14.050416666666663,5053240000000000.0,54.87,45.92,2.43,13.39,52.41,28.31,28.7,39.57,13.39,35.48
2021-03-18,16.946250000000003,4863940000000000.0,59.96,39.01,9.11,13.24,52.81,30.35,27.13,43.42,13.24,32.15
2021-03-19,14.50666666666667,3388340000000000.0,54.37,48.04,15.04,13.17,52.9,30.38,27.07,47.91,13.17,40.58
2021-03-20,12.055416666666668,4167480000000000.0,40.94,38.42,13.93,12.99,47.8,27.92,27.62,41.94,12.99,35.38
2021-03-21,13.46125,3876908000000000.0,47.46,44.63,11.98,47.46,45.33,25.16,28.7,35.86,25.16,45.69
2021-03-22,13.662916666666666,4229480000000000.0,50.01,36.9,11.98,22.86,54.65,28.69,27.67,39.37,13.89,36.54
2021-03-23,13.667500000000004,4096790000000000.0,31.91,36.02,11.99,22.56,35.25,24.29,27.23,33.01,13.1,24.42
2021-03-24,14.610416666666666,5805220000000000.0,19.0,38.57,11.98,22.74,52.56,25.77,26.62,29.94,13.0,26.95
2021-03-25,12.929999999999998,5241110000000000.0,8.51,35.3,11.98,22.64,45.91,27.0,26.98,28.77,13.15,33.23
2021-03-26,11.77833333333333,4535288000000000.0,11.92,38.65,38.55,22.44,53.48,28.09,27.09,33.5,12.76,38.55
2021-03-27,10.501666666666669,4056640000000000.0,13.8,35.04,12.78,22.9,48.25,25.96,27.76,28.42,13.01,34.5
2021-03-28,11.416666666666664,5586754000000000.0,7.92,31.2,12.73,23.0,33.72,23.14,26.33,29.15,12.95,43.26
2021-03-29,14.461666666666668,4515120000000000.0,46.0,36.64,12.72,34.11,44.98,28.0,28.33,35.92,13.1,42.0
2021-03-30,28.179166666666664,5254390000000000.0,47.46,58.95,12.74,22.81,25.98,29.75,28.15,30.1,13.17,88.07
2021-03-31,21.20666666666667,4407380000000000.0,64.75,72.92,12.72,22.75,36.31,37.86,28.94,35.49,12.49,113.54
2021-04-01,24.6925,4857840000000000.0,41.73,55.78,12.73,22.63,23.14,23.05,34.58,33.18,12.97,97.43
2021-04-02,31.472916666666677,4568450000000000.0,45.62,61.0,12.73,22.97,21.56,26.77,30.26,29.77,13.59,96.94
2021-04-03,26.879166666666663,3632340000000000.0,36.71,45.91,12.72,13.37,25.76,22.94,29.42,25.52,13.37,70.78
2021-04-04,41.37916666666666,4911830000000000.0,42.03,53.58,91.83,12.95,18.34,23.34,27.67,21.0,12.95,91.83
2021-04-05,19.936666666666667,3327070000000000.0,43.0,31.25,48.89,22.82,44.69,21.23,27.99,24.26,12.3,48.89
2021-04-06,17.569166666666664,4279974000000000.0,32.05,20.15,20.49,22.86,35.79,19.52,27.94,23.49,12.55,20.49
