date,open_NO2,sate_NO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2021-06-22,42.44125,4248590000000000.0,17.01,15.29,10.64,33.09,21.0,8.15
2021-06-23,36.4425,5183746000000000.0,12.57,12.89,9.53,24.82,20.08,6.32
2021-06-24,33.98833333333334,5798336000000000.0,11.35,12.73,7.88,17.49,17.3,4.94
2021-06-25,31.788750000000004,6758420000000000.0,11.66,11.87,7.33,14.4,16.62,4.12
2021-06-26,26.026666666666667,5925862000000000.0,19.86,12.08,7.71,14.89,15.97,3.86
2021-06-27,25.6975,5126916000000000.0,11.93,12.47,6.95,12.74,16.81,3.11
2021-06-28,26.527083333333337,4988520000000000.0,12.15,11.12,7.04,11.59,17.39,5.19
2021-06-29,27.640000000000004,5568090000000000.0,12.06,11.28,7.2,11.35,20.11,4.45
2021-06-30,33.28791666666667,6336580000000000.0,12.64,12.54,7.86,11.8,18.97,5.4
2021-07-01,30.631666666666675,6133106000000000.0,16.92,11.56,9.97,12.86,19.9,7.54
2021-07-02,46.45416666666667,5079694000000000.0,16.51,13.94,11.61,14.24,20.97,9.67
2021-07-03,35.744166666666665,4758326000000000.0,16.81,15.47,10.53,13.37,22.27,8.04
2021-07-04,49.28166666666666,5488044000000000.0,17.46,18.52,10.63,15.13,19.09,9.21
2021-07-05,51.19541666666666,6258750000000000.0,15.52,16.82,8.95,10.41,18.93,6.43
2021-07-06,43.91166666666666,6848680000000000.0,14.51,17.67,6.25,9.95,20.06,6.25
2021-07-07,51.29458333333333,7732268000000000.0,19.71,23.54,21.08,11.52,19.35,5.96
2021-07-08,49.88083333333333,5611258000000000.0,14.84,14.4,11.31,13.32,20.22,5.53
2021-07-09,36.47208333333333,6782900000000000.0,16.6,12.21,12.21,11.87,16.46,4.5
2021-07-10,25.633750000000003,4759016000000000.0,14.92,11.72,13.88,12.86,15.11,3.97
2021-07-11,19.615,4804970000000000.0,11.71,10.4,10.04,7.46,14.55,1.74
2021-07-12,22.24875,4271080000000000.0,13.8,12.35,11.53,9.48,14.65,2.39
2021-07-13,22.870833333333334,8084190000000000.0,14.97,11.87,12.1,12.58,14.05,3.64
2021-07-14,21.665416666666665,7188500000000000.0,11.61,11.46,10.72,12.54,14.83,3.43
2021-07-15,30.295416666666664,6982230000000000.0,12.39,12.36,10.83,10.24,13.85,2.79
2021-07-16,36.30083333333334,5431780000000000.0,9.5,14.66,11.07,9.46,14.11,3.06
2021-07-17,28.760416666666668,6215082000000000.0,10.6,15.41,11.15,8.86,15.46,2.8
2021-07-18,27.241249999999997,4661150000000000.0,10.06,13.07,10.36,8.39,16.61,2.06
2021-07-19,45.62541666666666,5690956000000000.0,14.77,17.7,13.42,10.85,18.74,4.56
2021-07-20,61.07625,1.159437e+16,24.22,22.96,17.7,25.17,19.31,6.79
2021-07-21,39.94958333333333,3248410000000000.0,20.99,15.41,14.41,17.49,19.6,5.56
2021-07-22,20.586666666666662,5776228000000000.0,13.04,13.89,11.95,8.78,14.18,2.26
2021-07-23,26.418333333333333,5323972000000000.0,12.63,13.08,13.34,12.27,14.93,3.58
2021-07-24,35.43041666666667,5711726000000000.0,13.83,14.0,14.79,13.08,15.32,4.7
2021-07-25,52.52291666666667,5785586000000000.0,22.35,18.77,14.54,12.67,16.9,4.84
2021-07-26,41.65541666666667,4984290000000000.0,19.3,24.37,15.64,12.78,19.68,6.53
