date,open_NO2,sate_NO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2021-07-27,32.63000000000001,8647964000000000.0,21.55,23.55,13.04,12.46,20.12,5.86
2021-07-28,31.031250000000004,5154306000000000.0,20.79,23.04,14.1,13.67,20.19,7.02
2021-07-29,33.572916666666664,5275708000000000.0,14.35,19.07,11.11,14.19,17.51,3.79
2021-07-30,27.76958333333333,6491332000000000.0,15.92,17.31,13.67,13.58,18.7,4.56
2021-07-31,29.410833333333333,5629072000000000.0,18.2,17.77,15.39,13.95,20.35,7.04
2021-08-01,41.45583333333334,7431080000000000.0,12.87,17.05,13.18,11.5,20.08,3.51
2021-08-02,44.18375,5870080000000000.0,16.85,22.49,15.43,14.66,20.95,5.73
2021-08-03,53.45125,4716212000000000.0,24.23,33.07,18.09,18.99,22.53,8.32
2021-08-04,56.62125,5991172000000000.0,29.38,27.7,18.1,17.58,22.82,8.59
2021-08-05,68.53083333333332,4733870000000000.0,29.66,33.42,22.01,17.31,20.54,7.0
2021-08-06,56.206666666666656,6182900000000000.0,24.1,28.27,22.65,13.89,25.59,7.25
2021-08-07,36.60125000000001,5873428000000000.0,20.01,18.69,19.55,11.93,22.54,4.95
2021-08-08,38.2,5966300000000000.0,16.5,16.43,16.39,12.54,20.26,3.04
2021-08-09,40.35583333333333,5676648000000000.0,15.46,15.69,14.53,12.24,19.21,2.95
2021-08-10,44.88333333333333,5874850000000000.0,15.41,16.9,14.42,9.97,21.07,2.82
2021-08-11,43.79833333333334,5809458000000000.0,14.76,15.05,15.49,8.99,19.44,2.77
2021-08-12,43.41291666666667,5596498000000000.0,19.53,18.73,19.81,10.5,19.42,4.6
2021-08-13,52.48708333333334,6968614000000000.0,18.97,25.69,18.21,12.39,22.14,4.85
2021-08-14,40.8125,7761130000000000.0,18.89,23.59,15.97,8.97,22.46,3.23
2021-08-15,30.68875,6798750000000000.0,13.07,16.34,11.8,7.69,19.13,1.79
2021-08-16,32.17458333333333,4863210000000000.0,14.49,14.57,13.64,8.95,16.2,2.54
2021-08-17,29.767916666666665,5217046000000000.0,16.28,14.83,14.07,15.08,15.82,3.81
2021-08-18,30.181249999999995,5849914000000000.0,15.53,18.32,13.21,12.58,15.67,4.79
2021-08-19,26.104583333333338,5619876000000000.0,17.06,12.66,12.95,15.99,15.4,3.96
2021-08-20,23.37041666666666,5302904000000000.0,18.06,11.26,12.29,15.39,16.42,3.53
2021-08-21,25.348333333333333,7931928000000000.0,16.85,12.98,12.8,12.24,19.23,3.68
2021-08-22,26.226666666666677,4678120000000000.0,13.37,13.8,11.09,7.47,19.22,2.89
2021-08-23,43.32666666666666,5214640000000000.0,13.71,14.76,11.68,6.41,18.98,2.98
2021-08-24,50.836666666666666,5824230000000000.0,17.7,19.84,14.72,6.74,21.56,4.29
2021-08-25,49.19583333333333,5373506000000000.0,23.81,25.84,16.67,8.32,22.96,5.16
2021-08-26,45.211666666666666,6928064000000000.0,23.79,23.54,20.59,9.59,23.37,7.01
2021-08-27,33.201666666666675,5403556000000000.0,28.66,23.84,20.48,8.57,20.5,6.97
2021-08-28,21.37166666666667,2568760000000000.0,16.6,12.23,14.4,7.45,16.73,7.02
2021-08-29,20.86375,7125116000000000.0,14.32,10.56,11.93,8.49,15.34,6.98
2021-08-30,20.72833333333333,6069894000000000.0,14.5,10.86,13.78,7.42,14.73,7.0
2021-08-31,25.269166666666663,5696540000000000.0,14.4,16.09,14.16,11.62,16.3,6.98
2021-09-01,34.294583333333335,5046870000000000.0,16.31,17.65,13.75,10.72,19.25,7.0
