date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-04-01,13.14708333333333,-0.044883285,24.71,24.71,24.71,24.71,24.71,24.71
2021-04-02,22.255416666666665,-0.120211206,37.68,37.68,37.68,37.68,37.68,37.68
2021-04-03,21.409166666666668,0.380792111,23.36,23.36,23.36,23.36,23.36,23.36
2021-04-04,30.68666666666667,-0.0002255655999999,23.12,23.12,23.12,23.12,23.12,23.12
2021-04-05,31.46166666666666,0.346498817,43.45,43.45,43.45,43.45,43.45,43.45
2021-04-06,20.377916666666668,-0.0097680635999999,22.72,22.72,22.72,22.72,22.72,22.72
2021-04-07,26.251666666666665,-0.148738772,28.26,28.26,28.26,28.26,28.26,28.26
2021-04-08,33.72666666666666,0.1405493706,28.12,28.12,28.12,28.12,28.12,28.12
2021-04-09,29.915000000000003,0.000335708,24.05,24.05,24.05,24.05,24.05,24.05
2021-04-10,17.58375,-0.065272346,34.4,34.4,34.4,34.4,34.4,34.4
2021-04-11,27.259166666666665,-0.011126335,32.96,32.96,32.96,32.96,32.96,32.96
2021-04-12,29.44,0.302796572,34.6,34.6,34.6,34.6,34.6,34.6
2021-04-13,24.790833333333328,0.0814142712,61.52,61.52,61.52,61.52,61.52,61.52
2021-04-14,23.956666666666663,0.046867717,31.97,31.97,31.97,31.97,31.97,31.97
2021-04-15,18.029166666666665,-0.0833917948,26.15,26.15,26.15,26.15,26.15,26.15
2021-04-16,14.587083333333334,0.069087453,21.25,21.25,21.25,21.25,21.25,21.25
2021-04-17,15.435000000000002,0.144961104,18.29,18.29,18.29,18.29,18.29,18.29
2021-04-18,19.66458333333333,0.930255651,25.61,25.61,25.61,25.61,25.61,25.61
2021-04-19,22.933749999999996,0.829154491,32.46,32.46,32.46,32.46,32.46,32.46
2021-04-20,17.236666666666668,0.340000004,34.26,34.26,34.26,34.26,34.26,34.26
2021-04-21,13.75875,-0.040055584,22.59,22.59,22.59,22.59,22.59,22.59
2021-04-22,16.826666666666664,-0.092759458,25.08,25.08,25.08,25.08,25.08,25.08
2021-04-23,12.352916666666664,-0.110696539,18.12,18.12,18.12,18.12,18.12,18.12
2021-04-24,16.84958333333333,0.2153208076,18.36,18.36,18.36,18.36,18.36,18.36
2021-04-25,15.45541666666667,0.252945542,21.17,21.17,21.17,21.17,21.17,21.17
2021-04-26,25.00416666666668,0.215047792,19.42,19.42,19.42,19.42,19.42,19.42
2021-04-27,22.99458333333333,-0.211198598,17.79,17.79,17.79,17.79,17.79,17.79
2021-04-28,27.93916666666666,0.117971092,12.65,12.65,12.65,12.65,12.65,12.65
2021-04-29,23.300833333333333,0.0225752499999999,22.64,22.64,22.64,22.64,22.64,22.64
