date,open_SO2,sate_SO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2021-02-15,39.617916666666666,0.1669931404,1.69,14.42,4.08,4.08,1.11,7.99,7.31,8.74,21.01,5.05,44.84,6.81,3.54,26.72,2.46,10.62,3.54,6.96,23.93,2.26
2021-02-16,40.27291666666666,1.22693431,5.01,2.51,3.04,3.04,1.01,5.64,8.98,9.53,19.38,1.23,45.14,6.87,3.83,22.46,2.47,7.53,3.83,2.51,23.9,1.99
2021-02-17,64.73083333333332,0.324908584,1.82,5.01,1.53,1.53,2.72,6.93,6.54,9.01,18.84,2.81,44.2,7.16,10.59,23.42,2.49,9.83,10.59,5.01,24.06,2.27
2021-02-18,59.13333333333335,0.0690251388,3.94,10.9,6.26,6.26,13.47,11.92,7.25,10.96,19.13,6.45,46.82,7.13,5.0,29.36,5.03,13.13,5.0,10.9,24.1,3.72
2021-02-19,33.71791666666667,0.120304741,6.44,5.2,6.08,6.08,4.39,8.71,8.88,8.07,19.28,5.42,47.08,2.84,7.22,25.81,7.77,10.85,7.22,5.2,23.55,3.41
2021-02-20,20.65833333333333,-0.096473722,6.77,5.9,6.38,6.38,48.6,16.03,9.52,20.34,20.31,2.37,48.6,6.13,11.05,29.58,3.52,12.43,11.05,5.9,23.69,4.08
2021-02-21,26.90125,-0.075133324,2.75,5.82,5.69,5.69,49.0,10.79,15.81,9.31,21.63,2.76,50.74,6.7,16.38,29.44,17.02,13.36,16.38,5.82,23.7,3.29
2021-02-22,61.095416666666665,0.0796725646,6.36,9.43,7.72,7.72,11.98,11.82,22.19,8.65,23.24,3.12,51.12,7.13,12.85,32.32,15.86,14.72,12.85,9.43,23.75,3.64
2021-02-23,82.64125,0.0280045712,11.93,15.26,6.88,6.88,7.14,13.42,24.45,12.76,30.0,7.5,50.36,6.97,4.3,33.04,13.48,14.84,4.3,15.26,23.97,5.09
2021-02-24,70.47375000000001,-0.139958099,11.31,8.31,6.4,6.4,11.21,22.04,21.71,9.25,34.76,9.13,53.61,7.0,18.77,34.7,16.16,13.74,18.77,8.31,24.37,7.29
2021-02-25,44.13833333333333,0.125201896,4.54,18.18,6.19,6.19,25.52,18.26,19.14,28.95,25.26,3.35,55.19,6.6,17.13,36.23,12.66,13.24,17.13,16.27,24.26,5.91
2021-02-26,44.85250000000001,0.065163799,3.58,21.21,6.36,6.36,5.96,15.42,21.29,9.5,18.45,6.74,50.18,6.33,11.6,30.01,13.57,12.08,11.6,10.07,24.71,5.17
2021-02-27,32.93750000000001,0.2955940828,18.21,20.29,6.51,6.51,13.18,9.87,19.24,7.16,18.77,7.4,46.63,3.05,5.33,31.68,4.08,12.33,5.33,8.8,24.27,5.72
2021-02-28,36.66708333333332,0.279977143,53.17,19.97,6.29,6.29,20.33,9.98,14.69,7.09,20.67,9.19,53.17,7.8,18.1,36.79,14.07,12.35,18.1,12.79,24.55,7.42
2021-03-01,44.04625000000001,-0.0509961926,1.94,20.35,6.56,6.56,12.41,14.86,16.9,3.0,22.97,8.04,54.29,3.1,16.36,37.22,18.34,13.37,16.36,15.5,24.31,10.63
2021-03-02,47.55541666666667,-0.0028895333999999,6.48,22.16,5.89,5.89,17.09,19.65,23.63,6.9,26.05,7.81,55.01,6.43,11.82,38.1,8.66,13.3,11.82,14.52,24.19,8.88
2021-03-03,54.33041666666666,0.234071615,9.68,25.82,6.25,6.25,9.97,20.62,27.11,7.05,25.24,4.62,58.39,3.99,9.33,44.33,21.41,14.55,9.33,22.11,24.43,13.43
2021-03-04,46.26375,0.340159982,6.3,26.8,6.6,6.6,18.45,21.69,28.7,55.06,24.25,4.09,55.06,7.27,23.5,47.01,18.03,15.04,23.5,14.96,24.65,11.5
2021-03-05,61.69125,-0.144950479,10.23,25.54,6.24,6.24,20.56,20.56,28.69,52.8,25.44,2.71,52.8,4.84,5.55,47.8,4.43,15.72,5.55,11.05,24.67,7.23
2021-03-06,70.4825,0.049523998,1.2,24.47,6.32,6.32,3.0,14.08,23.07,0.53,18.81,4.57,46.29,8.16,7.45,41.74,5.9,13.64,7.45,7.88,24.36,1.94
2021-03-07,29.97083333333333,0.172399044,2.76,22.28,6.07,6.07,4.29,13.38,25.72,3.79,15.79,3.67,47.3,3.18,5.2,43.57,5.23,12.33,5.2,10.15,24.6,2.99
2021-03-08,38.22749999999999,0.0905529472,12.11,22.04,5.47,5.47,9.01,15.89,61.28,5.55,17.32,7.37,46.78,3.42,11.35,45.71,2.43,11.23,11.35,12.85,24.85,3.11
2021-03-09,44.42625,-0.76401335,9.1,22.38,23.13,23.13,2.49,15.9,107.15,4.33,23.13,11.56,47.79,3.1,8.61,48.11,5.18,15.05,8.61,14.89,24.57,6.65
2021-03-10,46.740833333333335,0.3191038951999999,5.04,11.97,22.23,22.23,1.87,17.67,125.28,8.15,22.23,8.5,46.81,3.04,12.54,48.49,2.98,16.7,12.54,11.97,24.57,5.35
2021-03-11,42.50791666666667,0.0905895209999999,3.93,9.13,3.91,3.91,2.77,15.49,133.19,2.56,18.69,3.7,45.25,2.99,11.24,45.65,5.5,7.4,11.24,9.13,24.49,2.29
2021-03-12,41.019166666666656,0.295118093,8.65,9.88,6.26,6.26,3.22,14.59,102.19,4.99,22.42,4.2,48.23,6.62,9.18,44.19,1.59,5.2,9.18,9.88,24.63,1.48
2021-03-13,30.040833333333328,-0.016785208,12.36,14.26,7.18,7.18,14.01,16.45,113.95,9.28,22.61,3.4,52.48,8.73,17.67,45.96,6.62,9.33,17.67,14.26,24.92,2.63
2021-03-14,51.84043478260869,0.362562865,13.3,17.33,6.95,6.95,4.96,13.94,116.92,10.17,29.26,16.94,52.83,7.0,8.85,49.57,5.1,15.29,8.85,17.33,24.85,4.84
2021-03-15,44.52541666666667,-0.0785552346,7.98,19.24,7.18,7.18,15.54,12.47,52.09,20.93,27.79,12.7,52.48,7.78,5.58,49.37,3.42,13.29,5.58,19.24,25.03,4.7
2021-03-16,39.76583333333334,-0.084737159,7.18,15.39,6.8,6.8,18.07,6.44,180.1,7.39,26.44,10.13,51.48,3.72,7.25,47.73,2.55,7.03,7.25,15.39,24.99,4.68
2021-03-17,44.10708333333333,0.1855590394,5.86,17.42,6.94,6.94,16.89,6.49,12.98,8.98,28.09,4.54,55.64,2.95,6.49,48.88,12.98,9.71,6.49,17.42,24.94,4.19
2021-03-18,50.23708333333333,0.0435072396,24.1,14.61,6.97,6.97,15.54,6.15,96.26,3.29,22.28,10.42,48.84,3.09,7.05,50.17,3.45,11.01,7.05,14.61,24.93,3.81
2021-03-19,35.455000000000005,0.0024737165999999,12.41,12.02,5.34,5.34,4.05,4.98,78.14,7.96,20.51,6.21,47.64,6.91,8.44,49.47,6.59,5.06,8.44,12.02,26.78,4.67
2021-03-20,49.48166666666668,0.620236158,20.8,5.83,2.77,2.77,8.4,3.32,42.25,7.47,17.12,2.6,46.4,3.05,11.18,43.34,0.7,1.76,11.18,5.83,25.66,6.57
2021-03-21,58.09458333333334,0.210000008,19.71,7.59,2.49,2.49,17.51,3.47,107.91,8.69,21.96,1.42,46.26,7.07,6.57,43.15,1.55,4.09,6.57,7.59,26.04,9.9
2021-03-22,44.98208333333334,-0.340000004,12.8,8.51,2.71,2.71,23.52,7.87,64.86,11.9,22.67,3.32,45.23,6.59,14.04,43.27,1.58,3.12,14.04,8.51,25.78,8.44
2021-03-23,46.89875000000001,-0.169916198,10.69,11.53,2.78,2.78,26.61,10.69,97.24,6.2,26.95,2.62,48.02,6.89,4.62,45.65,4.28,6.31,4.62,11.53,25.89,2.26
2021-03-24,51.350000000000016,-0.0119672456,10.74,33.25,3.23,3.23,12.69,9.49,72.96,4.33,31.82,8.31,59.46,3.19,11.13,47.19,8.02,10.14,11.13,16.4,25.99,2.17
2021-03-25,33.60125,-0.025041902,11.16,34.28,2.86,2.86,30.4,10.57,60.4,2.13,26.43,9.01,57.35,3.22,18.38,47.02,7.23,7.85,18.38,17.57,26.03,2.28
2021-03-26,45.50749999999999,0.050539238,14.66,33.2,2.95,2.95,34.6,15.1,88.77,2.92,21.59,8.59,70.76,6.58,14.62,51.13,5.59,9.07,14.62,20.02,26.11,2.3
2021-03-27,37.60041666666667,-0.0060693329999999,19.81,33.27,3.1,3.1,44.08,18.13,104.02,8.62,27.82,4.93,126.06,3.18,13.76,49.39,17.45,12.08,13.76,21.23,26.35,5.88
2021-03-28,52.23333333333332,0.357353359,6.38,34.38,2.69,2.69,47.93,13.75,73.03,9.6,18.83,5.64,78.36,6.68,6.31,44.99,1.69,7.32,6.31,13.69,26.32,9.7
2021-03-29,82.93041666666666,-0.196587071,15.24,34.58,2.82,2.82,8.92,8.92,18.11,7.77,12.26,0.61,55.51,6.92,0.83,44.0,1.9,4.46,0.83,9.24,26.02,11.7
2021-03-30,82.83125000000001,0.04635389579551121,8.8,34.22,2.62,2.62,17.27,10.99,21.72,7.78,8.43,0.35,52.09,3.06,0.42,43.72,0.74,1.34,0.42,4.59,26.02,11.45
2021-03-31,73.27416666666666,-0.070007615,13.79,35.9,2.41,2.41,6.93,12.61,33.29,12.55,8.16,1.32,46.66,3.11,0.91,44.05,0.85,1.2,0.91,5.19,26.11,9.12
