date,open_NO2,sate_NO2,"Solapur, Solapur - MPCB"
2021-05-20,4.579583333333332,5114280000000000.0,13.69
2021-05-21,4.643333333333333,5331540000000000.0,15.98
2021-05-22,3.1116666666666664,3905356000000000.0,18.7
2021-05-23,2.6733333333333333,4521100000000000.0,19.49
2021-05-24,4.232083333333333,4295106000000000.0,14.55
2021-05-25,5.3075,5634710000000000.0,14.97
2021-05-26,2.275416666666666,4844830000000000.0,14.6
2021-05-27,2.169583333333333,5090250000000000.0,12.19
2021-05-28,3.54875,3565730000000000.0,12.37
2021-05-29,3.081666666666667,3184620000000000.0,13.06
2021-05-30,3.771666666666666,4557670000000000.0,11.58
2021-05-31,3.764583333333333,3327406000000000.0,13.19
2021-06-01,4.23125,4338210000000000.0,12.85
2021-06-02,6.943749999999999,1821110000000000.0,11.57
2021-06-03,6.692916666666668,3119080000000000.0,10.54
2021-06-04,7.107083333333333,3659860000000000.0,11.17
2021-06-05,5.340416666666666,2103320000000000.0,12.7
2021-06-06,5.477083333333333,4203940000000000.0,13.72
2021-06-07,4.485416666666667,3700098000000000.0,13.54
2021-06-08,3.5300000000000007,4109160000000000.0,11.7
2021-06-09,4.0808333333333335,5043970000000000.0,9.66
2021-06-10,3.84375,4034932000000000.0,5.82
2021-06-11,2.5225000000000004,4002642000000000.0,4.92
2021-06-12,3.0991666666666657,4088916000000000.0,4.46
2021-06-13,2.764583333333333,4292440000000000.0,4.83
2021-06-14,3.402083333333333,4661596000000000.0,4.33
2021-06-15,4.19625,3239530000000000.0,7.29
2021-06-16,4.017083333333334,4107262000000000.0,7.74
2021-06-17,4.140833333333334,3494656000000000.0,8.19
2021-06-18,3.1054166666666663,4151988000000000.0,8.74
2021-06-19,2.6495833333333336,4005340000000000.0,8.85
2021-06-20,2.517916666666667,3596620000000000.0,9.17
2021-06-21,4.024583333333333,626072000000000.0,9.31
2021-06-22,4.3620833333333335,4170450000000000.0,10.24
2021-06-23,4.285416666666666,4512650000000000.0,13.34
2021-06-24,4.403333333333333,4158176000000000.0,14.39
2021-06-25,4.539166666666668,3693146000000000.0,11.3
2021-06-26,3.724166666666667,3966738000000000.0,8.67
2021-06-27,6.126666666666666,4060210000000000.0,8.4
2021-06-28,5.686666666666667,3416360000000000.0,8.13
2021-06-29,5.1691666666666665,2533980000000000.0,7.48
2021-06-30,4.792083333333333,3670600000000000.0,7.43
2021-07-01,4.473333333333332,3906310000000000.0,8.77
2021-07-02,4.084166666666667,4634640000000000.0,7.85
2021-07-03,3.90375,3649510000000000.0,9.22
