date,open_NO2,sate_NO2,"Rajbagh, Srinagar - JKSPCB"
2021-08-24,40.3625,4585320000000000.0,18.61
2021-08-25,36.3725,6312800000000000.0,22.3
2021-08-26,32.352916666666665,2890130000000000.0,21.8
2021-08-27,35.24999999999999,5719820000000000.0,21.45
2021-08-28,31.97333333333334,4730890000000000.0,21.47
2021-08-29,34.35875000000001,4465776000000000.0,21.24
2021-08-30,37.76833333333333,5173980000000000.0,20.81
2021-08-31,35.585,4374036000000000.0,20.72
2021-09-01,40.653333333333336,3097320000000000.0,19.9
2021-09-02,47.84583333333333,4866580000000000.0,21.48
2021-09-03,53.71000000000001,4168550000000000.0,20.6
2021-09-04,39.4875,5683588000000000.0,31.91
2021-09-05,40.782083333333325,5890030000000000.0,32.87
2021-09-06,44.49791666666666,4398470000000000.0,25.4
2021-09-07,42.82625000000001,4448920000000000.0,23.01
2021-09-08,48.03791666666667,4222586000000000.0,17.65
2021-09-09,70.37333333333335,3731574000000000.0,15.12
2021-09-10,47.480833333333344,4227390000000000.0,15.03
2021-09-11,26.512083333333333,4130388000000000.0,14.9
2021-09-12,52.33666666666667,4567494000000000.0,14.75
2021-09-13,65.93833333333333,4158322000000000.0,15.6
2021-09-14,71.44708333333334,4702780000000000.0,22.62
2021-09-15,65.06083333333335,2897804000000000.0,21.04
2021-09-16,47.359166666666674,4665390000000000.0,11.62
2021-09-17,43.95208333333334,4036850000000000.0,11.7
2021-09-18,56.58458333333334,3805052000000000.0,11.7
2021-09-19,56.59291666666668,4346330000000000.0,11.71
2021-09-20,44.70458333333334,4832776000000000.0,11.67
2021-09-21,55.39125000000001,4256560000000000.0,11.53
2021-09-22,47.93291666666667,4380634000000000.0,1.5
2021-09-23,65.83541666666666,4034610000000000.0,1.0
2021-09-24,48.55166666666667,5604360000000000.0,1.59
2021-09-25,59.75291666666666,3975680000000000.0,0.89
2021-09-26,47.87125,4577760000000000.0,0.89
2021-09-27,78.52541666666667,4870310000000000.0,5.47
2021-09-28,49.30041666666668,5726660000000000.0,10.91
2021-09-29,47.76166666666668,3455084000000000.0,10.91
2021-09-30,80.13958333333335,4507090000000000.0,10.93
2021-10-01,46.08833333333334,3754362000000000.0,11.76
2021-10-02,25.74458333333333,3346790000000000.0,12.95
2021-10-03,34.86625,4172100000000000.0,12.95
2021-10-04,40.114583333333336,4812186000000000.0,12.95
2021-10-05,49.19958333333332,5089296000000000.0,12.97
2021-10-06,50.28791666666667,3552776000000000.0,12.96
2021-10-07,60.18083333333334,3164720000000000.0,12.95
2021-10-08,51.43916666666666,3818130000000000.0,12.95
2021-10-09,39.63375,5575210000000000.0,12.95
2021-10-10,22.10625,5879550000000000.0,12.95
2021-10-11,30.2325,4062220000000000.0,12.93
2021-10-12,54.5325,5662490000000000.0,12.97
2021-10-13,50.81,4204674000000000.0,12.98
2021-10-14,62.39125000000001,3775420000000000.0,12.96
2021-10-15,67.52041666666666,4419152000000000.0,12.97
2021-10-16,62.44708333333333,4102280000000000.0,12.98
2021-10-17,64.05083333333333,5352748000000000.0,12.98
2021-10-18,91.03708333333331,5150916000000000.0,14.53
2021-10-19,65.98875,4504870000000000.0,15.99
2021-10-20,91.06583333333334,3190296000000000.0,15.98
2021-10-21,105.28833333333333,5785040000000000.0,15.98
2021-10-22,50.59583333333333,4078252000000000.0,15.99
2021-10-23,44.9125,4641810000000000.0,15.94
2021-10-24,59.64916666666668,3591324000000000.0,15.98
2021-10-25,52.27333333333334,2415020000000000.0,15.99
2021-10-26,66.11708333333334,4756470000000000.0,15.99
2021-10-27,79.11166666666666,3544034000000000.0,15.99
2021-10-28,76.19958333333334,2899170000000000.0,16.0
2021-10-29,73.05083333333333,4393040000000000.0,15.99
2021-10-30,56.61458333333332,3035970000000000.0,16.0
2021-10-31,74.91375,4860696000000000.0,16.0
2021-11-01,60.005833333333335,2470700000000000.0,15.98
2021-11-02,56.12208333333333,3385056000000000.0,15.99
2021-11-03,78.58375,3073390000000000.0,16.0
2021-11-04,90.08125,3814760000000000.0,16.0
2021-11-05,57.94833333333335,3979736000000000.0,16.01
2021-11-06,88.98166666666668,3051030000000000.0,16.0
2021-11-07,73.76799999999997,4136254000000000.0,16.0
2021-11-08,86.41083333333334,2685460000000000.0,15.99
2021-11-09,91.765,4002444000000000.0,16.0
2021-11-10,83.61083333333335,4004000000000000.0,16.0
2021-11-11,86.45208333333335,3975480000000000.0,16.0
2021-11-12,81.04083333333331,4855654000000000.0,16.0
2021-11-13,94.66291666666667,3351890000000000.0,16.01
2021-11-14,54.51458333333333,4244520000000000.0,16.0
2021-11-15,87.33791666666666,3971800000000000.0,16.21
2021-11-16,95.40625,4262656000000000.0,17.06
2021-11-17,82.6825,3583700000000000.0,17.05
2021-11-18,82.45541666666666,4479388000000000.0,17.09
2021-11-19,72.07333333333332,2401630000000000.0,17.11
2021-11-20,60.33500000000001,4519860000000000.0,17.12
2021-11-21,60.649166666666666,4541452000000000.0,17.1
2021-11-22,87.66708333333332,3780910000000000.0,17.05
2021-11-23,111.30125,3761678000000000.0,17.1
2021-11-24,96.30666666666669,3136030000000000.0,17.1
2021-11-25,86.66666666666669,3243088000000000.0,17.1
2021-11-26,116.24208333333333,4493820000000000.0,17.1
2021-11-27,71.11625000000001,7033350000000000.0,17.11
2021-11-28,71.30125,4528776000000000.0,17.1
2021-11-29,82.38333333333334,3503460000000000.0,17.09
2021-11-30,97.1925,4051302000000000.0,17.08
2021-12-01,81.66916666666667,2383940000000000.0,17.1
2021-12-02,82.92541666666666,3742264000000000.0,17.87
2021-12-03,93.25041666666668,3010740000000000.0,16.27
2021-12-04,64.50416666666665,3264678000000000.0,12.11
2021-12-05,38.35666666666667,4013972000000000.0,9.97
2021-12-06,78.14166666666668,3531540000000000.0,14.78
2021-12-07,112.78625,5418782000000000.0,17.08
2021-12-08,101.98958333333336,2778710000000000.0,17.03
2021-12-09,81.64041666666667,3980354000000000.0,17.1
2021-12-10,96.5775,2792780000000000.0,17.09
2021-12-11,87.82416666666667,3103864000000000.0,17.11
2021-12-12,100.19,3332788000000000.0,17.08
2021-12-13,84.65291666666666,4350030000000000.0,17.13
2021-12-14,67.73208333333332,4630690000000000.0,17.1
2021-12-15,76.75708333333334,2993810000000000.0,17.08
2021-12-16,73.77166666666666,4515962000000000.0,17.12
2021-12-17,83.54083333333334,2530160000000000.0,17.1
2021-12-18,69.0875,3945154000000000.0,0.35
2021-12-19,94.07958333333332,4385770000000000.0,17.11
2021-12-20,125.46708333333332,2404872000000000.0,17.09
2021-12-21,108.70125000000002,3236380000000000.0,2.93
2021-12-22,117.18333333333332,2530400000000000.0,2.56
2021-12-23,82.35416666666666,4282576000000000.0,1.88
2021-12-24,82.11125,2840350000000000.0,1.92
2021-12-25,75.68416666666667,3326710000000000.0,1.91
2021-12-26,57.4075,6137370000000000.0,1.91
2021-12-27,63.190416666666685,4066526000000000.0,2.81
2021-12-28,88.71,2202400000000000.0,4.92
2021-12-29,86.58166666666666,3970840000000000.0,4.9
2021-12-30,103.04625,3252252000000000.0,4.93
2021-12-31,98.96249999999998,2988220000000000.0,4.92
