date,open_SO2,sate_SO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2021-06-26,5.7475,0.1470000074,16.0,4.11,9.62,4.11
2021-06-27,7.237083333333334,-0.0140000055999999,16.12,4.07,9.62,4.07
2021-06-28,19.04666666666667,-0.1589999988,18.83,4.14,11.57,4.14
2021-06-29,11.678750000000004,-0.0070000008,16.16,3.68,11.74,3.68
2021-06-30,11.0125,-0.2739999922,15.72,3.42,8.27,3.42
2021-07-01,10.294999999999998,0.1210000082,15.46,4.31,9.15,4.31
2021-07-02,9.11875,0.1959999993999999,15.98,7.95,10.56,7.95
2021-07-03,9.946666666666667,0.330000013,16.5,18.21,10.93,18.21
2021-07-04,10.704166666666664,0.050000001,18.06,3.91,12.43,3.91
2021-07-05,17.226250000000004,0.2070000021999999,14.51,5.55,12.95,5.55
2021-07-06,12.621666666666664,0.0099999982,16.51,19.32,13.51,19.32
2021-07-07,12.53208333333333,-0.1800000006,16.0,4.05,9.91,0.74
2021-07-08,11.63625,0.297000005,15.31,3.93,7.37,0.88
2021-07-09,6.3791666666666655,0.059999999,18.38,4.46,7.67,1.04
2021-07-10,7.930416666666665,0.0130000085999999,15.97,4.55,9.31,1.09
2021-07-11,7.673333333333332,-0.123999997,16.73,4.57,9.26,1.02
2021-07-12,8.722916666666668,0.050000001,16.22,4.61,9.38,0.92
2021-07-13,8.459999999999999,-0.0120000038,15.06,4.63,9.24,0.87
2021-07-14,8.727083333333331,-0.07,16.95,4.52,10.21,0.94
2021-07-15,7.971666666666664,-0.0640000002,14.6,4.71,10.9,1.36
2021-07-16,16.63,0.1079999998,15.71,4.7,11.24,2.02
2021-07-17,10.87,0.1540000038,15.49,4.48,10.0,2.0
2021-07-18,12.177916666666668,0.0940000012,15.27,4.75,11.23,1.89
2021-07-19,14.30125,0.349999994,21.77,4.8,12.85,2.92
2021-07-20,14.728333333333332,-0.0899999929999999,15.6,4.92,11.23,1.99
2021-07-21,12.657916666666669,0.0579999956,15.58,5.09,12.7,1.92
2021-07-22,6.845833333333334,-0.0429999995999999,14.65,5.04,13.49,1.7
2021-07-23,6.859999999999999,0.219999999,14.46,5.09,14.54,1.41
2021-07-24,6.431666666666666,0.4980000018,14.83,5.08,15.61,1.39
2021-07-25,12.480000000000002,-0.0209999978,13.59,5.25,11.45,1.81
2021-07-26,12.288750000000002,-0.1879999972,15.16,5.2,9.34,2.2
2021-07-27,16.56083333333334,0.191000003,15.07,5.19,8.5,2.01
2021-07-28,9.781250000000002,0.1090000015999999,17.9,5.25,7.75,1.79
2021-07-29,8.6275,-0.0239999905999999,15.47,5.29,7.49,1.95
2021-07-30,10.722083333333336,0.3129999994,15.18,5.59,9.26,2.17
2021-07-31,9.337499999999997,0.0220000026,14.81,5.86,5.91,2.21
2021-08-01,12.658750000000005,0.2429999909999999,16.4,5.56,11.76,2.8
2021-08-02,31.69416666666667,0.2370000034,13.98,5.84,18.49,4.11
2021-08-03,12.089583333333335,-0.0410000004,14.11,6.32,18.2,2.73
2021-08-04,14.240833333333333,0.0219999983999999,15.38,6.64,22.27,2.56
2021-08-05,10.84875,-0.209999993,15.16,6.6,21.75,2.77
2021-08-06,11.314583333333331,0.0769999958,20.56,6.46,20.85,2.86
2021-08-07,19.635416666666668,0.6269999928000001,14.29,6.53,21.44,3.06
2021-08-08,11.105,0.1479999958,14.37,6.33,22.55,3.29
2021-08-09,12.433333333333332,0.0449999995999999,14.66,6.32,20.4,3.15
2021-08-10,11.0625,0.2429999957999999,15.74,6.23,22.44,3.03
2021-08-11,12.418333333333331,-0.0579999996,16.04,6.37,21.71,3.21
2021-08-12,12.775416666666668,0.2300000004,14.87,6.55,21.65,3.31
2021-08-13,10.739583333333334,0.0670000026,15.66,6.74,22.22,3.74
2021-08-14,8.519166666666669,-0.256999994,27.17,7.15,22.79,3.97
2021-08-15,9.310833333333337,-0.0739999958,12.69,7.06,23.71,4.06
2021-08-16,11.8425,0.1099999988,4.01,6.96,21.81,4.01
2021-08-17,8.54583333333333,-0.0549999966,3.22,6.94,22.29,3.22
2021-08-18,9.412916666666664,0.2270000098,3.68,6.58,22.15,3.68
2021-08-19,8.426666666666668,0.449999988,3.52,5.88,21.14,3.52
2021-08-20,5.5370833333333325,-0.1009999984,4.37,5.97,20.58,3.85
2021-08-21,9.00625,0.123999997,4.83,5.94,19.95,4.14
2021-08-22,11.0425,-0.1599999942,4.89,5.91,19.84,4.04
2021-08-23,11.553333333333333,0.2709999986,10.56,6.1,19.77,3.91
2021-08-24,11.047083333333331,0.3149999975999999,18.09,6.76,20.08,4.46
2021-08-25,10.41291666666667,0.0350000097999999,16.52,6.81,20.59,3.82
2021-08-26,12.194583333333334,0.0680000014,16.61,6.43,20.87,3.4
2021-08-27,10.001666666666669,-0.0419999994,15.19,6.04,21.3,3.55
2021-08-28,6.262083333333333,0.0999999994,19.04,6.39,20.77,3.72
2021-08-29,7.344166666666667,0.3170000002,23.03,6.58,20.9,3.8
2021-08-30,8.486249999999998,0.0669999952,22.2,6.65,21.1,4.0
2021-08-31,7.513750000000001,-0.2790000136,20.14,6.35,22.79,4.11
2021-09-01,17.949583333333333,0.0120000034,18.53,7.63,22.28,4.86
2021-09-02,13.362500000000002,-0.1019999991999999,22.66,7.26,21.73,3.73
2021-09-03,25.37791666666666,0.0120000015999999,22.59,7.44,20.85,3.74
2021-09-04,10.134166666666667,-0.2009999945999999,21.26,7.67,20.4,3.85
2021-09-05,9.520833333333332,-0.1140000114,22.71,7.5,20.28,4.36
2021-09-06,9.687916666666666,0.2139999896,20.32,7.54,22.54,5.44
2021-09-07,7.486250000000001,0.0389999997999999,21.63,7.66,23.03,5.01
2021-09-08,8.878333333333334,0.0079999954,19.54,7.62,15.0,5.43
2021-09-09,6.4433333333333325,-0.024999995,15.36,7.49,8.72,6.52
2021-09-10,8.71875,-0.2020000096,14.61,7.57,9.26,5.37
2021-09-11,5.635416666666667,0.075000003,15.89,7.92,9.43,5.42
2021-09-12,6.107499999999999,-0.155000001,16.06,7.85,10.5,5.32
2021-09-13,7.979999999999999,0.1859999955999999,17.46,7.49,8.08,5.4
2021-09-14,6.948333333333333,0.3020000012,16.64,7.52,7.73,5.89
2021-09-15,7.045833333333334,0.049999998,11.8,8.13,5.86,5.87
2021-09-16,7.617916666666666,0.2079999981999999,11.18,8.1,6.43,6.07
2021-09-17,10.906666666666666,-0.0599999998,12.07,8.14,5.81,6.04
2021-09-18,11.17875,0.2340000038,12.16,8.29,5.74,6.34
2021-09-19,19.48875,-0.328999999,11.62,8.32,5.97,6.31
2021-09-20,8.260000000000002,0.1759999952,11.07,7.87,3.04,6.21
2021-09-21,9.273333333333332,-0.060000002,12.11,7.55,4.67,6.41
2021-09-22,9.940833333333332,0.0369999987999999,11.97,7.73,10.8,6.52
2021-09-23,7.658333333333332,-0.2939999915999999,10.14,7.83,11.38,6.62
2021-09-24,8.799999999999997,0.2489999919999999,11.18,8.07,11.96,6.69
2021-09-25,7.72375,0.0080000038,11.3,8.23,12.41,6.67
2021-09-26,6.758749999999998,0.2890000024,10.56,8.33,12.44,6.7
2021-09-27,8.128749999999997,0.74000001,12.55,10.37,12.29,7.14
2021-09-28,9.43875,-0.0619999973999999,11.33,9.03,12.39,7.31
2021-09-29,8.632500000000002,0.3350000022,11.63,10.24,10.54,8.68
2021-09-30,8.519583333333335,0.5000000038000001,10.04,8.31,2.94,7.89
2021-10-01,7.223333333333333,0.063999996,14.67,8.62,7.1,7.78
2021-10-02,7.947916666666667,-0.1690000148,19.42,8.7,15.58,7.69
2021-10-03,9.84666666666667,-0.0190000006,19.26,8.7,16.6,7.73
2021-10-04,14.361249999999998,0.2200000032,22.05,8.97,16.6,7.82
2021-10-05,21.21041666666667,0.1120000024,19.68,9.15,15.69,8.1
2021-10-06,19.180416666666662,-0.1150000089999999,19.71,8.95,14.94,8.51
2021-10-07,12.752083333333337,0.389999986,18.64,8.89,14.89,8.5
2021-10-08,13.405,-0.0360000008,19.69,9.0,17.97,8.69
2021-10-09,12.741249999999996,0.1410000036,20.31,9.2,16.8,8.85
2021-10-10,18.577916666666667,0.0050000004,18.03,9.16,15.94,9.05
2021-10-11,20.758333333333336,0.1799999987999999,27.0,8.89,15.76,9.7
2021-10-12,23.330416666666668,0.2530000034,19.11,8.82,16.02,10.03
2021-10-13,23.246250000000007,-0.379999995,19.31,9.29,16.77,9.7
2021-10-14,29.562083333333334,-0.07,19.32,9.04,17.31,9.65
2021-10-15,31.494583333333328,0.1270000002,18.43,9.09,17.42,9.69
2021-10-16,7.0233333333333325,0.0460000098,18.51,8.79,17.49,9.63
2021-10-17,4.482500000000001,0.0139999948,17.19,8.39,16.09,9.44
2021-10-18,8.241666666666667,0.1399999938,14.93,8.93,15.51,9.38
2021-10-19,15.994999999999996,0.357000003,15.42,9.56,14.99,9.47
2021-10-20,12.89458333333333,-0.0269999996,15.16,9.63,16.3,9.2
2021-10-21,14.638750000000002,0.3660000086,13.97,9.3,17.07,9.63
2021-10-22,12.83083333333333,-0.109999999,15.36,8.91,22.81,9.66
2021-10-23,13.273333333333332,0.594999969,15.7,9.01,22.92,10.21
2021-10-24,14.504999999999995,0.4290000048,16.54,9.2,22.86,10.2
2021-10-25,13.823333333333336,-0.041999996,15.56,9.73,23.46,10.5
2021-10-26,14.30208333333333,-0.0249999939999999,14.92,9.97,22.62,10.62
2021-10-27,15.849166666666664,0.289999992,17.37,9.66,21.04,10.32
2021-10-28,27.804999999999996,0.2470000024,15.82,9.53,16.2,10.69
2021-10-29,17.065416666666668,0.375,12.72,9.98,10.75,11.36
2021-10-30,16.088749999999997,0.264999986,14.82,9.82,10.64,11.2
2021-10-31,17.235416666666662,0.0819999996,14.45,9.55,11.55,11.26
2021-11-01,27.46291666666666,0.189999998,16.52,9.69,6.25,12.15
2021-11-02,18.20416666666667,-0.3229999984,16.61,9.77,0.8,12.27
2021-11-03,26.69833333333333,0.379999995,16.11,9.85,0.83,11.85
2021-11-04,38.11666666666667,-0.0579999932,16.41,11.11,3.11,13.15
2021-11-05,20.381250000000005,0.1369999972,24.12,11.14,8.17,12.63
2021-11-06,13.22375,-0.0449999933999999,19.74,10.05,8.28,12.1
2021-11-07,12.3048,0.2940000072,18.61,9.93,8.59,11.97
2021-11-08,16.482916666666664,0.164999992,18.0,10.07,8.74,12.05
2021-11-09,19.83125,-0.223000004,20.07,10.32,9.01,12.99
2021-11-10,24.209166666666665,0.1129999942,17.43,10.34,9.07,13.17
2021-11-11,17.33541666666667,-0.1980000019999999,16.78,10.56,9.25,13.24
2021-11-12,17.27541666666666,-0.2340000002,18.47,10.32,9.62,12.87
2021-11-13,11.677499999999997,-0.0619999973999999,21.94,10.42,9.82,12.57
2021-11-14,14.744999999999996,0.600000024,17.9,10.63,10.27,12.5
2021-11-15,21.02958333333333,-0.059999999,17.77,10.56,10.01,12.76
2021-11-16,29.10708333333333,0.1120000052,17.06,10.74,10.28,13.13
2021-11-17,17.339999999999996,0.3379999995999999,18.83,10.78,10.54,13.62
2021-11-18,23.84708333333333,0.1459999915999999,18.59,10.68,10.96,13.11
