date,open_NO2,sate_NO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-07-03,8.277916666666668,6297540000000000.0,3.25,8.36,8.36,4.24,8.36,4.24
2021-07-04,14.621249999999998,4021446000000000.0,3.32,7.97,7.97,4.36,7.97,4.36
2021-07-05,9.757083333333334,5797230000000000.0,3.64,15.82,15.82,9.16,15.82,9.16
2021-07-06,5.957083333333333,5502460000000000.0,3.28,14.82,14.82,8.5,14.82,8.5
2021-07-07,5.875416666666666,4471060000000000.0,3.56,14.25,14.25,9.3,14.25,9.3
2021-07-08,12.685000000000004,4557970000000000.0,3.58,8.94,8.94,6.19,8.94,6.19
2021-07-09,6.229583333333332,6137870000000000.0,4.28,7.02,7.02,5.66,7.02,5.66
2021-07-10,5.079583333333334,5062680000000000.0,3.53,4.56,4.56,5.46,4.56,5.46
2021-07-11,7.815,5517244000000000.0,4.72,4.14,4.14,5.51,4.14,5.51
2021-07-12,8.010833333333334,4400880000000000.0,5.91,7.14,7.14,8.92,7.14,8.92
2021-07-13,7.540000000000002,4790456000000000.0,5.81,11.17,11.17,7.76,11.17,7.76
2021-07-14,6.789166666666667,5552670000000000.0,6.28,10.74,10.74,8.31,10.74,8.31
2021-07-15,4.994166666666666,5139600000000000.0,4.12,7.64,7.64,4.58,7.64,4.58
2021-07-16,11.055833333333332,5017680000000000.0,3.15,6.79,6.79,4.63,6.79,4.63
2021-07-17,16.40833333333333,3954750000000000.0,3.84,8.98,8.98,4.35,8.98,4.35
2021-07-18,6.821666666666666,4836354000000000.0,4.12,5.86,5.86,3.77,5.86,3.77
2021-07-19,16.894166666666667,4991668000000000.0,4.49,13.05,13.05,4.81,13.05,4.81
2021-07-20,14.1425,4927968000000000.0,3.86,5.91,5.91,4.26,5.91,4.26
2021-07-21,24.67333333333333,5032238000000000.0,3.57,10.25,10.25,5.63,10.25,5.63
2021-07-22,19.87875,3968050000000000.0,4.0,7.24,7.24,6.41,7.24,6.41
2021-07-23,14.063333333333333,4951720000000000.0,3.51,7.78,7.78,7.66,7.78,7.66
2021-07-24,7.183749999999999,4217740000000000.0,4.11,9.75,9.75,8.74,9.75,8.74
2021-07-25,7.829166666666668,4876770000000000.0,1.92,2.95,2.95,4.93,2.95,4.93
2021-07-26,18.432916666666667,4151594000000000.0,2.24,11.81,5.05,5.36,5.05,5.36
2021-07-27,9.21875,6389482000000000.0,2.5,9.21,5.36,4.81,5.36,4.81
2021-07-28,16.23375,5661974000000000.0,1.02,6.16,19.87,2.41,19.87,2.41
2021-07-29,21.25708333333333,4422978000000000.0,0.95,7.87,9.87,2.29,9.87,2.29
2021-07-30,15.457083333333337,4705196000000000.0,1.07,7.12,8.74,2.66,8.74,2.66
2021-07-31,7.058333333333334,3789840000000000.0,1.74,2.58,3.62,3.72,3.62,3.72
2021-08-01,6.350833333333334,4564500000000000.0,0.73,3.99,3.26,1.59,3.26,1.59
2021-08-02,8.514583333333333,4479712000000000.0,0.46,6.15,8.27,2.28,8.27,2.28
2021-08-03,7.59875,5370808000000000.0,0.24,3.13,4.2,2.21,4.2,2.21
2021-08-04,7.853333333333334,4505068000000000.0,1.02,4.71,7.15,3.98,7.15,3.98
2021-08-05,13.845416666666669,5180806000000000.0,3.51,9.36,8.72,3.66,8.72,3.66
2021-08-06,21.1825,3649620000000000.0,1.9,16.03,13.08,4.66,13.08,4.66
2021-08-07,15.0125,5192344000000000.0,1.28,10.98,6.59,3.73,6.59,3.73
2021-08-08,26.596666666666664,5076390000000000.0,0.01,10.5,14.7,5.12,14.7,5.12
2021-08-09,21.178750000000004,4491844000000000.0,11.21,10.28,11.21,2.8,11.21,2.8
2021-08-10,6.144583333333334,4756120000000000.0,0.13,7.73,8.19,1.59,8.19,1.59
2021-08-11,6.900416666666668,4303490000000000.0,0.75,7.93,7.5,1.3,7.5,1.3
2021-08-12,8.813333333333334,4192874000000000.0,1.94,7.89,7.63,1.11,7.63,1.11
2021-08-13,6.7491666666666665,4804980000000000.0,1.9,8.28,10.03,1.31,10.03,1.31
2021-08-14,5.597083333333333,4210600000000000.0,2.16,8.84,10.95,1.41,10.95,1.41
