date,open_SO2,sate_SO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2021-07-09,2.82625,0.053571109,5.58,20.44
2021-07-10,2.2758333333333334,0.01,6.93,19.3
2021-07-11,2.17625,0.301048255,3.42,20.12
2021-07-12,3.5291666666666672,0.1220888066,3.65,21.28
2021-07-13,4.086666666666666,0.0164697836,6.3,21.34
2021-07-14,4.336250000000001,0.0493768916,7.57,18.29
2021-07-15,3.7345833333333336,0.1494301702,4.75,17.67
2021-07-16,6.109583333333333,0.0612514656,3.84,22.24
2021-07-17,8.5725,0.0855429942,3.89,20.78
2021-07-18,11.8575,0.1270335116,3.95,17.81
2021-07-19,17.777916666666666,-0.0325480417999999,3.87,17.97
2021-07-20,10.605,-0.0575928747999999,3.93,20.58
2021-07-21,3.86375,-0.246901273,4.01,23.06
2021-07-22,3.915416666666667,0.0213425838,3.89,17.54
2021-07-23,8.56,0.010362904,4.15,20.07
2021-07-24,4.652500000000001,0.030808944,4.49,18.61
2021-07-25,3.3204166666666666,-0.316727894,4.39,20.38
2021-07-26,5.771666666666668,0.0986074552,4.49,19.32
2021-07-27,21.16208333333334,0.0493285208,4.49,20.67
2021-07-28,5.699166666666666,-0.0213760055999999,4.84,18.37
2021-07-29,9.1925,0.0158291584,5.35,19.03
2021-07-30,3.75,-0.2054288344,5.14,20.52
2021-07-31,9.634583333333332,0.118738462,5.1,19.66
2021-08-01,7.889166666666665,0.0075895822,5.98,21.42
2021-08-02,4.291666666666667,0.023349293,7.72,18.74
2021-08-03,6.075833333333335,0.096670657,6.35,18.23
2021-08-04,6.2508333333333335,-0.059999999,5.72,20.12
2021-08-05,5.339583333333335,0.0730927728,7.67,18.7
2021-08-06,5.7625,0.0937932988,8.6,20.49
2021-08-07,4.223750000000001,0.0335997171999999,6.88,22.1
2021-08-08,6.260833333333333,-0.0088319752,5.01,21.3
2021-08-09,9.816250000000002,0.2056783416,5.1,19.87
2021-08-10,12.050833333333332,-0.142543797,5.02,20.34
2021-08-11,11.054166666666664,0.027493998,5.36,22.91
2021-08-12,13.506666666666666,0.1566807146,5.43,21.94
2021-08-13,12.536666666666669,-0.0423721972,5.61,21.9
2021-08-14,9.909583333333332,0.047780477,5.79,21.43
2021-08-15,7.719583333333333,0.0644298544,5.54,22.86
2021-08-16,11.856250000000005,0.070094273,5.94,21.7
2021-08-17,11.625833333333333,0.119812444,6.19,21.53
2021-08-18,7.254583333333333,0.132625429,6.06,23.59
2021-08-19,4.588333333333333,0.0286696238,6.24,21.1
2021-08-20,3.627916666666667,0.284829049,5.77,20.51
2021-08-21,4.630416666666666,-0.309584815,5.8,18.44
2021-08-22,11.584166666666668,0.1367121614,6.13,18.39
2021-08-23,12.080416666666665,0.0970118438,6.08,20.97
2021-08-24,12.861666666666665,-0.1144007889999999,6.24,18.89
2021-08-25,10.125833333333333,0.0965557666,6.39,18.9
2021-08-26,12.231666666666664,0.118622974,6.27,21.95
2021-08-27,15.557500000000005,-0.130454053,6.36,20.07
2021-08-28,8.599583333333333,-0.0309625387999999,6.47,19.68
2021-08-29,6.185416666666669,-0.1229787602,6.66,18.37
2021-08-30,3.9699999999999993,0.0371895664,6.61,22.08
2021-08-31,4.376250000000001,0.2877012244,6.66,15.83
2021-09-01,7.920416666666665,0.1613874348,6.76,18.01
2021-09-02,14.479166666666666,0.230105504,6.89,18.16
2021-09-03,21.27875,0.200000003,6.85,19.61
