date,open_NO2,sate_NO2,"Sector 22, Chandigarh - CPCC","Sector-25, Chandigarh - CPCC","Sector-53, Chandigarh - CPCC"
2021-05-11,24.2175,9246030000000000.0,22.91,22.91,22.91
2021-05-12,23.816666666666663,7189846000000000.0,32.3,32.3,32.3
2021-05-13,19.8075,6464106000000000.0,25.41,25.41,25.41
2021-05-14,19.359166666666667,8052410000000000.0,22.11,22.11,22.11
2021-05-15,17.462500000000002,5963130000000000.0,29.15,29.15,29.15
2021-05-16,16.438750000000002,8035860000000000.0,21.28,21.28,21.28
2021-05-17,22.013750000000005,6901572000000000.0,24.38,24.38,24.38
2021-05-18,9.825416666666667,7987412000000000.0,25.26,25.26,25.26
2021-05-19,15.02375,8063318000000000.0,24.87,24.87,24.87
2021-05-20,13.935000000000004,1.03e+16,15.23,15.23,15.23
2021-05-21,16.236666666666668,6660440000000000.0,25.76,25.76,25.76
2021-05-22,15.557916666666666,5519660000000000.0,17.22,17.22,17.22
2021-05-23,10.524166666666668,6796338000000000.0,16.26,16.26,16.26
2021-05-24,10.515,7172156000000000.0,14.13,14.13,14.13
2021-05-25,15.10625,7028510000000000.0,19.35,19.35,19.35
2021-05-26,20.2975,6367338000000000.0,23.3,23.3,23.3
2021-05-27,13.569583333333332,9503290000000000.0,31.52,31.52,31.52
2021-05-28,8.287083333333332,4956940000000000.0,22.51,22.51,22.51
2021-05-29,4.459583333333334,6726310000000000.0,12.91,12.91,12.91
2021-05-30,13.159166666666666,9112970000000000.0,16.58,16.58,16.58
2021-05-31,13.985,7038100000000000.0,18.42,18.42,18.42
2021-06-01,17.425000000000004,5565630000000000.0,17.88,17.88,17.88
2021-06-02,20.919583333333332,7371362000000000.0,22.28,22.28,22.28
2021-06-03,22.320416666666663,1.06e+16,21.93,21.93,21.93
2021-06-04,21.45958333333333,9156840000000000.0,23.73,23.73,23.73
2021-06-05,17.993333333333336,6423170000000000.0,27.65,27.65,27.65
2021-06-06,19.266250000000003,1.09e+16,14.33,14.33,14.33
2021-06-07,16.587083333333336,7003390000000000.0,23.06,23.06,23.06
2021-06-08,17.829583333333332,6509040000000000.0,25.18,25.18,25.18
2021-06-09,12.07375,7084884000000000.0,33.78,33.78,33.78
2021-06-10,4.642499999999999,6621630000000000.0,15.1,15.1,15.1
2021-06-11,7.161666666666665,8638512000000000.0,17.72,17.72,17.72
2021-06-12,3.906249999999999,6293610000000000.0,16.2,16.2,16.2
2021-06-13,8.295833333333333,4589500000000000.0,15.38,15.38,15.38
2021-06-14,12.987083333333333,1.03e+16,14.6,14.6,14.6
2021-06-15,13.318333333333335,1.04e+16,15.44,15.44,15.44
2021-06-16,18.593333333333334,6855910000000000.0,16.56,16.56,16.56
2021-06-17,22.91333333333333,6608950000000000.0,21.56,21.56,21.56
2021-06-18,17.46666666666667,6168814000000000.0,15.52,15.52,15.52
2021-06-19,6.715416666666666,1.1e+16,14.8,14.8,14.8
2021-06-20,10.73125,8721930000000000.0,12.29,12.29,12.29
2021-06-21,17.975833333333338,1.02e+16,11.65,11.65,11.65
2021-06-22,18.250833333333333,8848040000000000.0,13.72,13.72,13.72
2021-06-23,16.109583333333337,9461580000000000.0,26.07,26.07,26.07
2021-06-24,16.88083333333333,7142750000000000.0,16.12,16.12,16.12
2021-06-25,15.12,7076196000000000.0,15.61,15.61,15.61
2021-06-26,10.11375,9861130000000000.0,18.07,18.07,18.07
2021-06-27,10.99125,8124230000000000.0,16.7,16.7,16.7
2021-06-28,19.2525,8874650000000000.0,16.4,16.4,16.4
2021-06-29,18.29791666666667,7335280000000000.0,16.4,16.4,16.4
2021-06-30,20.073333333333338,7522740000000000.0,21.42,21.42,21.42
2021-07-01,21.407916666666665,6747020000000000.0,21.21,21.21,21.21
2021-07-02,19.179583333333333,5738550000000000.0,24.24,24.24,24.24
2021-07-03,18.37291666666667,6654280000000000.0,14.53,14.53,14.53
2021-07-04,14.693333333333332,7304138000000000.0,18.76,18.76,18.76
2021-07-05,16.661250000000003,7975960000000000.0,14.13,14.13,14.13
2021-07-06,17.284583333333334,8112520000000000.0,15.91,15.91,15.91
2021-07-07,19.863333333333333,7664090000000000.0,12.19,12.19,12.19
2021-07-08,19.11,9835420000000000.0,15.16,15.16,15.16
2021-07-09,14.407083333333333,4835360000000000.0,15.12,15.12,15.12
2021-07-10,4.308749999999999,6401680000000000.0,21.75,21.75,21.75
2021-07-11,2.7404166666666665,7502982000000000.0,16.02,16.02,16.02
2021-07-12,3.840416666666668,8810570000000000.0,17.58,17.58,17.58
2021-07-13,10.856666666666667,7424662000000000.0,16.11,16.11,16.11
2021-07-14,16.674583333333338,7609670000000000.0,21.28,21.28,21.28
2021-07-15,9.797083333333331,6590036000000000.0,23.21,23.21,23.21
2021-07-16,18.076666666666668,8498730000000000.0,21.77,21.77,21.77
2021-07-17,11.882083333333334,5398410000000000.0,18.36,18.36,18.36
2021-07-18,7.311666666666666,6408490000000000.0,15.69,15.69,15.69
2021-07-19,7.952916666666664,7328206000000000.0,16.6,16.6,16.6
2021-07-20,8.146250000000002,7366998000000000.0,22.33,22.33,22.33
2021-07-21,20.175,6541300000000000.0,18.28,18.28,18.28
2021-07-22,15.148749999999998,6466870000000000.0,22.96,22.96,22.96
2021-07-23,18.44583333333333,7166480000000000.0,21.65,21.65,21.65
2021-07-24,14.781666666666666,9181910000000000.0,15.08,15.08,15.08
2021-07-25,7.784999999999999,6850830000000000.0,12.12,12.12,12.12
2021-07-26,10.653333333333334,5983948000000000.0,15.41,15.41,15.41
2021-07-27,10.232083333333334,6692726000000000.0,18.1,18.1,18.1
2021-07-28,11.7025,6202280000000000.0,15.28,15.28,15.28
2021-07-29,16.001249999999995,6453546000000000.0,19.16,19.16,19.16
2021-07-30,18.02916666666667,5723384000000000.0,15.7,15.7,15.7
2021-07-31,18.231666666666666,5469210000000000.0,13.89,13.89,13.89
2021-08-01,12.3425,5750700000000000.0,13.52,13.52,13.52
2021-08-02,20.700416666666666,6223556000000000.0,20.53,20.53,20.53
2021-08-03,23.086250000000003,6774936000000000.0,17.85,17.85,17.85
2021-08-04,11.189166666666669,5344450000000000.0,26.94,26.94,26.94
2021-08-05,21.66,6508038000000000.0,26.8,26.8,26.8
2021-08-06,22.032083333333336,5490910000000000.0,86.07,18.07,18.07
2021-08-07,12.066250000000002,1.11e+16,56.34,21.69,21.69
2021-08-08,12.510416666666666,6357406000000000.0,47.37,18.88,18.88
2021-08-09,18.012916666666666,9083890000000000.0,41.11,15.18,15.18
2021-08-10,16.480416666666667,5558530000000000.0,58.51,12.6,12.6
2021-08-11,20.58333333333334,6220360000000000.0,51.65,13.01,13.01
2021-08-12,20.95625,6613284000000000.0,64.98,18.68,18.68
2021-08-13,20.292916666666667,6503900000000000.0,54.17,14.94,14.94
2021-08-14,16.27375,6015514000000000.0,54.66,17.57,17.57
2021-08-15,12.280416666666666,7348390000000000.0,47.09,14.17,14.17
2021-08-16,16.958333333333332,7535110000000000.0,41.32,14.95,14.95
2021-08-17,17.205416666666665,6808820000000000.0,42.71,15.79,15.79
2021-08-18,18.127916666666668,6146000000000000.0,44.6,12.88,12.88
2021-08-19,20.398750000000003,6138058000000000.0,52.58,17.69,17.69
2021-08-20,9.328333333333331,7499812000000000.0,44.67,21.25,21.25
2021-08-21,10.057916666666667,7254496000000000.0,41.82,15.21,15.21
2021-08-22,12.812916666666666,7310444000000000.0,27.99,11.99,11.99
2021-08-23,23.9825,7202768000000000.0,27.19,13.79,13.79
2021-08-24,21.402500000000003,8307630000000000.0,29.37,11.06,11.06
2021-08-25,19.57708333333333,6492250000000000.0,27.09,8.98,8.98
2021-08-26,18.08,4604130000000000.0,48.72,8.33,8.33
2021-08-27,8.747916666666669,7946190000000000.0,43.83,20.42,20.42
2021-08-28,12.149166666666666,5611860000000000.0,42.71,16.76,16.76
2021-08-29,11.72,6213026000000000.0,32.03,13.77,13.77
2021-08-30,10.023333333333332,6522578000000000.0,25.38,13.13,13.13
2021-08-31,11.784999999999998,6329060000000000.0,25.37,13.34,13.34
